timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,245.3100,250.4500,245.1300,249.2100,249.2100,272202,0.0000,1.0000
2019-11-12,245.0000,247.8500,244.2900,246.1800,246.1800,429800,0.0000,1.0000
2019-11-11,242.6800,246.9300,240.0600,245.0000,245.0000,212500,0.0000,1.0000
2019-11-08,246.5300,247.1500,243.8500,245.0000,245.0000,369900,0.0000,1.0000
2019-11-07,242.5800,247.6900,242.1200,246.6800,246.6800,505300,0.0000,1.0000
2019-11-06,239.3100,241.3700,238.5200,241.2800,241.2800,356500,0.0000,1.0000
2019-11-05,245.8000,246.7300,236.3900,238.4700,238.4700,588400,0.0000,1.0000
2019-11-04,247.8800,249.2500,243.5800,245.7900,245.7900,447000,0.0000,1.0000
2019-11-01,236.8300,246.0000,236.8300,245.9100,245.9100,533300,0.0000,1.0000
2019-10-31,233.9200,237.3500,231.3300,234.5600,234.5600,764500,0.0000,1.0000
2019-10-30,227.0000,229.1400,223.8200,229.1400,229.1400,492300,0.0000,1.0000
2019-10-29,224.4700,230.5600,224.4700,228.0700,228.0700,481500,0.0000,1.0000
2019-10-28,224.4000,226.4600,222.7200,225.0300,225.0300,346800,0.0000,1.0000
2019-10-25,221.8600,224.2500,221.2800,222.2000,222.2000,232300,0.0000,1.0000
2019-10-24,219.1800,224.1100,218.8600,222.5800,222.5800,325800,0.0000,1.0000
2019-10-23,216.1600,218.7300,214.1200,218.3300,218.3300,894900,0.0000,1.0000
2019-10-22,226.1500,226.8900,215.4900,216.3800,216.3800,499000,0.0000,1.0000
2019-10-21,225.8000,226.3800,222.5000,226.1500,226.1500,295000,0.0000,1.0000
2019-10-18,228.0700,228.1100,222.7700,224.4000,224.4000,279600,0.0000,1.0000
2019-10-17,226.6900,229.2900,226.0700,229.0300,229.0300,240400,0.0000,1.0000
2019-10-16,226.9400,227.6900,221.3900,225.9800,225.9800,334500,0.0000,1.0000
2019-10-15,226.5000,229.1600,225.7200,227.0800,227.0800,285700,0.0000,1.0000
2019-10-14,225.2900,227.7100,224.5700,225.1100,225.1100,259300,0.0000,1.0000
2019-10-11,228.6600,228.6600,225.0000,225.3300,225.3300,366700,0.0000,1.0000
2019-10-10,218.7400,223.9500,217.5800,222.6500,222.6500,404100,0.0000,1.0000
2019-10-09,217.9700,221.2300,217.2800,219.4700,219.4700,269200,0.0000,1.0000
2019-10-08,218.5400,219.0500,213.0100,214.5100,214.5100,388600,0.0000,1.0000
2019-10-07,219.6800,222.4600,219.5300,220.7900,220.7900,305900,0.0000,1.0000
2019-10-04,218.9500,221.5000,217.5400,221.0100,221.0100,353900,0.0000,1.0000
2019-10-03,212.5600,218.6800,210.3400,217.8400,217.8400,684200,0.0000,1.0000
2019-10-02,214.3300,214.8100,211.2500,212.7000,212.7000,608100,0.0000,1.0000
2019-10-01,217.8200,220.6300,216.1500,216.2300,216.2300,473500,0.0000,1.0000
2019-09-30,215.9000,219.9800,214.2200,217.7500,217.7500,617200,0.0000,1.0000
2019-09-27,226.7200,228.1200,213.0700,215.8900,215.8900,783000,0.0000,1.0000
2019-09-26,226.1200,226.9900,222.8100,223.5500,223.5500,383200,0.0000,1.0000
2019-09-25,225.6700,227.8300,222.5700,227.0600,227.0600,341900,0.0000,1.0000
2019-09-24,227.7700,230.2200,224.6000,225.6100,225.6100,479100,0.0000,1.0000
2019-09-23,225.6700,226.9300,224.0600,225.9600,225.9600,437600,0.0000,1.0000
2019-09-20,236.0700,237.0800,225.6600,225.7300,225.7300,882000,0.0000,1.0000
2019-09-19,233.7700,236.9700,232.3700,235.3900,235.3900,390600,0.0000,1.0000
2019-09-18,240.0000,240.0000,230.7300,233.7500,233.7500,603200,0.0000,1.0000
2019-09-17,230.4600,240.6700,230.3400,240.1500,240.1500,824700,0.0000,1.0000
2019-09-16,227.4700,230.2700,227.2300,230.0000,230.0000,574400,0.0000,1.0000
2019-09-13,232.9900,233.4400,225.7200,229.6400,229.6400,550800,0.0000,1.0000
2019-09-12,229.3100,235.4500,229.3100,232.3900,232.3900,848400,0.0000,1.0000
2019-09-11,226.8200,227.8800,221.7300,226.7100,226.7100,909200,0.0000,1.0000
2019-09-10,236.3100,236.3100,225.8400,228.4300,228.4300,983900,0.0000,1.0000
2019-09-09,243.4000,244.7100,235.1000,237.5100,237.5100,764300,0.0000,1.0000
2019-09-06,236.3300,242.1400,236.3300,241.2700,241.2700,561500,0.0000,1.0000
2019-09-05,232.7600,236.0800,230.6900,235.4300,235.4300,385100,0.0000,1.0000
2019-09-04,233.3600,235.5200,227.3600,230.2000,230.2000,608700,0.0000,1.0000
2019-09-03,233.0000,235.0500,230.8800,233.4900,233.4900,408600,0.0000,1.0000
2019-08-30,237.3200,237.7700,232.2400,234.6300,234.6300,331800,0.0000,1.0000
2019-08-29,234.6400,236.2300,232.3300,235.6100,235.6100,347100,0.0000,1.0000
