timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,224.9000,228.1800,224.9000,227.9100,227.9100,1751773,0.0000,1.0000
2019-11-12,222.1900,224.0000,222.0900,223.2200,223.2200,1449600,0.0000,1.0000
2019-11-11,222.3600,223.4800,221.7100,222.2200,222.2200,1535700,0.0000,1.0000
2019-11-08,223.1000,224.6900,221.0400,222.0800,222.0800,1607900,0.0000,1.0000
2019-11-07,226.6200,226.6400,220.6600,223.0900,223.0900,3118300,0.0000,1.0000
2019-11-06,227.5000,228.5000,226.6000,227.4900,227.4900,1744100,0.0000,1.0000
2019-11-05,227.4100,229.3000,224.7100,227.1100,227.1100,2375600,0.0000,1.0000
2019-11-04,235.2300,235.2300,228.1900,229.6000,229.6000,3364900,0.0000,1.0000
2019-11-01,238.6900,238.8900,235.0900,235.7100,235.7100,2004500,0.0000,1.0000
2019-10-31,235.5200,238.5000,234.9200,238.3400,238.3400,2057100,0.0000,1.0000
2019-10-30,233.3300,236.6300,233.0100,235.4600,235.4600,1239800,0.0000,1.0000
2019-10-29,232.2700,233.1700,231.2000,232.6000,232.6000,1715300,0.0000,1.0000
2019-10-28,236.5000,236.7100,232.6400,233.2300,233.2300,1791100,0.0000,1.0000
2019-10-25,237.6200,237.6500,235.5700,236.8800,236.8800,1518100,0.0000,1.0000
2019-10-24,236.0000,237.6700,234.8200,237.5500,237.5500,1602800,0.0000,1.0000
2019-10-23,237.5500,238.6000,235.7100,236.0000,236.0000,2228100,0.0000,1.0000
2019-10-22,233.7900,239.8900,233.0100,236.2400,236.2400,3159200,0.0000,1.0000
2019-10-21,232.4100,233.0400,230.6500,232.8000,232.8000,1622100,0.0000,1.0000
2019-10-18,231.1900,232.7800,230.3100,232.4800,232.4800,2196100,0.0000,1.0000
2019-10-17,229.2700,231.5900,229.2700,231.0900,231.0900,1341600,0.0000,1.0000
2019-10-16,227.6700,230.3400,226.5800,229.9100,229.9100,1915500,0.0000,1.0000
2019-10-15,229.3400,229.8200,226.8300,227.5400,227.5400,1418100,0.0000,1.0000
2019-10-14,230.0100,230.3800,227.5500,228.9000,228.9000,1177900,0.0000,1.0000
2019-10-11,231.7900,232.3800,228.5500,229.5400,229.5400,2075400,0.0000,1.0000
2019-10-10,232.0200,232.8600,230.2400,232.0000,232.0000,1866400,0.0000,1.0000
2019-10-09,232.2300,234.2700,231.0000,233.3600,233.3600,1501000,0.0000,1.0000
2019-10-08,232.1400,232.1800,229.9600,229.9700,229.9700,1742000,0.0000,1.0000
2019-10-07,233.4500,233.8200,231.1700,232.5500,232.5500,1538500,0.0000,1.0000
2019-10-04,230.1100,233.8600,230.0000,233.5900,233.5900,1638200,0.0000,1.0000
2019-10-03,228.8600,230.2900,228.5600,230.1700,230.1700,2004400,0.0000,1.0000
2019-10-02,231.6900,232.4800,228.5300,229.1100,229.1100,2034600,0.0000,1.0000
2019-10-01,232.1600,233.1700,230.6500,232.0300,232.0300,1681900,0.0000,1.0000
2019-09-30,232.0200,233.4500,231.7500,232.9900,232.9900,2234400,0.0000,1.0000
2019-09-27,232.2500,232.5700,230.1500,231.2600,231.2600,1875300,0.0000,1.0000
2019-09-26,229.9900,232.7900,229.5800,231.7200,231.7200,2175900,0.0000,1.0000
2019-09-25,228.9000,229.4900,227.5100,229.3700,229.3700,2105900,0.0000,1.0000
