timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,20.2900,20.9700,20.2200,20.5600,20.5600,3558441,0.0000,1.0000
2019-11-12,20.5800,20.8800,20.3700,20.4500,20.4500,3802200,0.0000,1.0000
2019-11-11,20.2800,20.6600,20.1700,20.6000,20.6000,4084300,0.0000,1.0000
2019-11-08,19.9000,20.4000,19.5300,20.3500,20.3500,6317300,0.0000,1.0000
2019-11-07,19.3100,20.0400,17.9400,19.9100,19.9100,25568900,0.0000,1.0000
2019-11-06,20.8100,20.8100,19.9900,20.0900,20.0900,4618700,0.0000,1.0000
2019-11-05,20.8400,21.0700,20.6700,20.8900,20.8900,2236000,0.0000,1.0000
2019-11-04,20.5400,20.9800,20.4700,20.7900,20.7900,2279600,0.0000,1.0000
2019-11-01,20.2700,20.4400,20.1400,20.4400,20.4400,2251500,0.0000,1.0000
2019-10-31,20.0900,20.2400,19.8800,20.1600,20.1600,3340100,0.0000,1.0000
2019-10-30,20.7800,20.9500,20.0200,20.2000,20.2000,2879300,0.0000,1.0000
2019-10-29,20.8200,20.9700,20.6800,20.8900,20.8900,2855900,0.0000,1.0000
2019-10-28,20.7100,21.0100,20.6800,20.9500,20.9500,1525800,0.0000,1.0000
2019-10-25,21.2600,21.3000,20.5300,20.6000,20.6000,2800000,0.0000,1.0000
2019-10-24,21.5100,21.5900,21.0000,21.3100,21.3100,2694000,0.0000,1.0000
2019-10-23,21.2500,21.4300,21.0400,21.4100,21.4100,1850300,0.0000,1.0000
2019-10-22,20.9600,21.3700,20.7900,21.2800,21.2800,2688600,0.0000,1.0000
2019-10-21,21.0600,21.2200,20.8900,20.9700,20.9700,1952800,0.0000,1.0000
2019-10-18,20.5000,20.9400,20.5000,20.8800,20.8800,2889200,0.0000,1.0000
2019-10-17,20.7200,20.7900,20.5500,20.6100,20.6100,2607500,0.0000,1.0000
2019-10-16,20.6200,20.7800,20.5700,20.6600,20.6600,1840500,0.0000,1.0000
2019-10-15,20.5500,20.7700,20.4700,20.6200,20.6200,1551000,0.0000,1.0000
2019-10-14,20.6100,20.6600,20.4300,20.5600,20.5600,1033200,0.0000,1.0000
2019-10-11,20.5100,20.8700,20.5100,20.6900,20.6900,2082000,0.0000,1.0000
2019-10-10,20.1300,20.4900,20.1200,20.2600,20.2600,1576300,0.0000,1.0000
2019-10-09,20.4400,20.4400,20.0800,20.2000,20.2000,1697600,0.0000,1.0000
2019-10-08,20.8000,20.8000,20.1300,20.2700,20.2700,3043400,0.0000,1.0000
2019-10-07,21.2900,21.3700,20.9300,20.9400,20.9400,1794900,0.0000,1.0000
2019-10-04,20.7400,21.3800,20.7400,21.3500,21.3500,3342300,0.0000,1.0000
2019-10-03,20.2300,20.7000,19.8600,20.7000,20.7000,4479800,0.0000,1.0000
2019-10-02,20.8200,20.9200,20.2200,20.3000,20.3000,2698900,0.0000,1.0000
2019-10-01,21.3300,21.5000,20.8900,20.9700,20.9700,2667900,0.0000,1.0000
2019-09-30,21.0800,21.3900,20.9800,21.2500,21.2500,5305800,0.0000,1.0000
2019-09-27,21.4100,21.4900,20.9600,21.0500,21.0500,3331300,0.0000,1.0000
2019-09-26,22.1200,22.2400,21.3400,21.3500,21.3500,2282300,0.0000,1.0000
2019-09-25,22.0300,22.2700,21.9800,22.1900,22.1900,3167900,0.0000,1.0000
2019-09-24,22.4300,22.5300,22.0000,22.0700,22.0700,3353300,0.0000,1.0000
2019-09-23,22.3400,22.5200,22.3300,22.4000,22.4000,2083800,0.0000,1.0000
2019-09-20,22.7000,22.9300,22.3800,22.3800,22.3800,4208800,0.0000,1.0000
2019-09-19,22.8100,23.3100,22.6000,22.6300,22.6300,2898400,0.0000,1.0000
2019-09-18,22.5200,22.8300,22.3900,22.7400,22.7400,2040900,0.0000,1.0000
2019-09-17,22.6100,22.6700,22.3300,22.5700,22.5700,2210400,0.0000,1.0000
2019-09-16,22.4600,22.7900,22.4200,22.6500,22.6500,2114900,0.0000,1.0000
2019-09-13,22.5100,22.8500,22.4300,22.4600,22.4600,2401000,0.0000,1.0000
2019-09-12,22.9400,22.9500,22.4900,22.5100,22.5100,2272500,0.0000,1.0000
2019-09-11,22.2700,22.9100,22.1000,22.8400,22.8400,3009700,0.0000,1.0000
2019-09-10,21.7000,22.3900,21.6400,22.3900,22.3900,2530900,0.0000,1.0000
2019-09-09,21.2500,21.6800,21.2500,21.6700,21.6700,2015500,0.0000,1.0000
2019-09-06,21.0700,21.4800,21.0700,21.2100,21.2100,3103000,0.0000,1.0000
2019-09-05,20.7800,21.1000,20.6900,21.0200,21.0200,4549700,0.0000,1.0000
2019-09-04,20.6300,20.7400,20.5600,20.5800,20.5800,1547500,0.0000,1.0000
2019-09-03,20.5800,20.7500,20.3500,20.5100,20.5100,1968900,0.0000,1.0000
2019-08-30,21.0700,21.1500,20.6300,20.7600,20.7600,1984500,0.0000,1.0000
2019-08-29,20.6900,20.9000,20.6900,20.9000,20.9000,2233400,0.0000,1.0000
2019-08-28,20.2100,20.5500,20.1100,20.5200,20.5200,2741300,0.0000,1.0000
2019-08-27,20.4200,20.5300,20.2000,20.3200,20.3200,2770400,0.0000,1.0000
2019-08-26,20.1800,20.3100,20.0700,20.2800,20.2800,2024900,0.0000,1.0000
2019-08-23,20.5900,20.6200,19.9600,20.0200,20.0200,2695800,0.0000,1.0000
2019-08-22,20.7400,20.9100,20.5700,20.6800,20.6800,1691800,0.0000,1.0000
2019-08-21,20.5500,20.9000,20.5500,20.6900,20.6900,2588600,0.3500,1.0000
2019-08-20,20.6800,20.8100,20.4200,20.7300,20.3800,4069000,0.0000,1.0000
2019-08-19,20.5400,20.8300,20.4700,20.7200,20.3702,3771400,0.0000,1.0000
2019-08-16,20.4100,20.9700,20.1500,20.3500,20.0064,3165000,0.0000,1.0000
2019-08-15,20.9700,20.9700,20.2200,20.2300,19.8884,2700100,0.0000,1.0000
2019-08-14,20.9700,21.0300,20.6750,20.9200,20.5668,4987600,0.0000,1.0000
2019-08-13,21.0300,21.4500,20.9100,21.2700,20.9109,2689000,0.0000,1.0000
2019-08-12,21.6100,21.6100,20.9621,21.1300,20.7732,2285500,0.0000,1.0000
2019-08-09,22.0794,22.0900,21.6650,21.7000,21.3336,1216200,0.0000,1.0000
2019-08-08,21.8800,22.2150,21.8300,22.1200,21.7465,2385600,0.0000,1.0000
2019-08-07,21.5000,21.8400,21.1522,21.7200,21.3533,3173300,0.0000,1.0000
2019-08-06,21.9500,22.0300,21.5000,21.7600,21.3926,2524300,0.0000,1.0000
