timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,352.4600,355.7500,350.5200,353.7200,353.7200,485613,0.0000,1.0000
2019-11-12,349.4300,352.6800,349.3900,351.6900,351.6900,514800,0.0000,1.0000
2019-11-11,348.6000,351.7300,347.4200,350.0000,350.0000,547100,0.0000,1.0000
2019-11-08,342.9300,350.6900,342.9300,350.1100,350.1100,807800,0.0000,1.0000
2019-11-07,344.0100,345.3200,341.1600,343.4300,343.4300,1154900,0.0000,1.0000
2019-11-06,339.1800,344.3700,338.1000,344.0200,344.0200,1168000,0.0000,1.0000
2019-11-05,340.0000,343.1700,335.9400,337.8500,337.8500,2410700,0.0000,1.0000
2019-11-04,353.6500,353.6500,338.4600,340.6700,340.6700,1984800,0.0000,1.0000
2019-11-01,353.3500,355.9600,351.1300,352.1300,352.1300,1167500,0.0000,1.0000
2019-10-31,353.3800,355.8100,350.3500,352.4800,352.4800,829200,0.0000,1.0000
2019-10-30,348.0500,354.7300,347.2500,354.0800,354.0800,840200,0.0000,1.0000
2019-10-29,346.4500,350.1600,345.8500,347.1700,347.1700,737000,0.0000,1.0000
2019-10-28,345.7400,348.4400,344.2800,346.5300,346.5300,1348400,0.0000,1.0000
2019-10-25,357.5800,358.2100,344.8900,345.0000,345.0000,1563500,0.0000,1.0000
2019-10-24,348.0000,360.2300,340.2000,356.9100,356.9100,1312100,0.0000,1.0000
2019-10-23,352.0000,353.7700,348.3400,353.2000,353.2000,1117000,0.0000,1.0000
2019-10-22,347.5000,355.1600,347.0000,352.3800,352.3800,1154800,0.0000,1.0000
2019-10-21,352.6100,354.1400,349.8200,350.3900,350.3900,1102700,0.0000,1.0000
2019-10-18,357.3500,357.5100,347.7400,349.6200,349.6200,2198400,0.0000,1.0000
2019-10-17,364.5300,366.0100,355.8900,356.2700,356.2700,1081400,0.0000,1.0000
2019-10-16,361.9400,365.1600,361.3100,364.6900,364.6900,553600,0.0000,1.0000
2019-10-15,366.3100,368.4800,361.1300,361.9400,361.9400,744800,0.0000,1.0000
2019-10-14,363.0500,369.3000,362.6800,366.4200,366.4200,658000,0.0000,1.0000
2019-10-11,372.4500,372.4500,358.7300,362.2200,362.2200,1535100,0.0000,1.0000
2019-10-10,367.5300,371.0300,366.5400,368.7500,368.7500,967900,0.0000,1.0000
2019-10-09,370.1700,371.3300,366.0200,367.6300,367.6300,1268900,0.0000,1.0000
2019-10-08,366.0000,372.1700,363.6200,368.4400,368.4400,736100,0.0000,1.0000
2019-10-07,368.0200,371.1000,366.9600,367.9200,367.9200,592000,0.0000,1.0000
2019-10-04,365.2900,370.1300,363.5800,368.9800,368.9800,953800,0.0000,1.0000
2019-10-03,362.3400,364.9900,359.2500,364.3300,364.3300,835600,0.0000,1.0000
2019-10-02,366.3500,368.5500,359.2300,362.5000,362.5000,1451000,0.0000,1.0000
2019-10-01,375.9700,377.0900,367.6600,367.7900,367.7900,1045700,0.0000,1.0000
2019-09-30,372.3800,378.5800,372.3800,374.7900,374.7900,877100,0.0000,1.0000
2019-09-27,381.1700,382.9000,368.8100,371.1800,371.1800,1117300,0.0000,1.0000
2019-09-26,376.2100,383.8900,373.6800,382.1500,382.1500,1255000,0.0000,1.0000
2019-09-25,371.0300,375.3700,369.1300,375.0100,375.0100,1349500,0.0000,1.0000
2019-09-24,371.4700,374.5200,366.5500,369.5100,369.5100,1120700,0.0000,1.0000
2019-09-23,368.1700,372.2800,365.8000,369.1300,369.1300,979000,0.0000,1.0000
2019-09-20,376.5700,377.6800,368.1100,368.1800,368.1800,3489400,0.0000,1.0000
2019-09-19,376.8800,380.4600,374.5300,375.5800,375.5800,1029400,0.0000,1.0000
2019-09-18,376.4000,378.6900,371.0400,377.4200,377.4200,1205200,0.0000,1.0000
