timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,38.7800,39.1100,38.7300,38.7900,38.7900,2451788,0.0000,1.0000
2019-11-12,38.5700,39.0800,38.4300,38.7400,38.7400,2292400,0.0000,1.0000
2019-11-11,38.6400,38.7600,38.4000,38.5400,38.5400,3451800,0.0000,1.0000
2019-11-08,39.7600,39.8300,38.3900,38.4400,38.4400,6554200,0.0000,1.0000
2019-11-07,39.9400,41.7800,39.8900,40.0400,40.0400,6602400,0.0000,1.0000
2019-11-06,39.7500,40.2000,39.5400,39.5800,39.5800,3780800,0.0000,1.0000
2019-11-05,40.8100,40.9200,39.6000,39.6100,39.6100,4309200,0.0000,1.0000
2019-11-04,40.8000,41.0900,40.4700,40.8100,40.8100,1878200,0.0000,1.0000
2019-11-01,40.3000,40.8200,40.2500,40.6900,40.6900,2129900,0.0000,1.0000
2019-10-31,40.7100,40.9800,40.0300,40.1200,40.1200,1892000,0.0300,1.0000
2019-10-30,40.6200,40.8500,40.3500,40.7500,40.7200,1232400,0.0000,1.0000
2019-10-29,40.2600,40.6900,40.1700,40.5100,40.4802,1771100,0.0000,1.0000
2019-10-28,40.9200,41.1900,40.3600,40.3800,40.3503,1963500,0.0000,1.0000
2019-10-25,40.5600,40.9200,40.4100,40.8100,40.7800,1791400,0.0000,1.0000
2019-10-24,40.7200,40.8700,40.4900,40.8400,40.8099,1793700,0.0000,1.0000
2019-10-23,40.6500,40.8700,40.4100,40.6200,40.5901,1447300,0.0000,1.0000
2019-10-22,40.5100,40.8300,40.2800,40.7500,40.7200,2127200,0.0000,1.0000
2019-10-21,40.2900,40.4500,40.0600,40.3500,40.3203,1529500,0.0000,1.0000
2019-10-18,39.6200,40.2200,39.5000,40.1500,40.1204,3082400,0.0000,1.0000
2019-10-17,39.6200,39.9000,39.5200,39.7500,39.7207,1453500,0.0000,1.0000
2019-10-16,39.3800,39.6400,39.2400,39.5200,39.4909,2136500,0.0000,1.0000
2019-10-15,39.1500,39.6900,39.1100,39.3800,39.3510,1206000,0.0000,1.0000
2019-10-14,39.3000,39.5200,39.0300,39.1200,39.0912,1615900,0.0000,1.0000
2019-10-11,39.0600,39.6500,38.9800,39.1800,39.1512,1646900,0.0000,1.0000
2019-10-10,38.7000,38.9600,38.5000,38.8000,38.7714,1518800,0.0000,1.0000
2019-10-09,39.1000,39.3100,38.4200,38.7600,38.7315,2102700,0.0000,1.0000
2019-10-08,38.8300,39.4600,38.6600,39.0000,38.9713,2484900,0.0000,1.0000
2019-10-07,39.0100,39.2100,38.8300,38.9200,38.8913,1596300,0.0000,1.0000
2019-10-04,38.7600,39.1900,38.5500,39.1600,39.1312,1756400,0.0000,1.0000
2019-10-03,38.2400,38.6700,37.8000,38.6600,38.6315,2272800,0.0000,1.0000
2019-10-02,38.9300,39.0000,38.2000,38.2100,38.1819,3188300,0.0000,1.0000
2019-10-01,39.5400,39.6200,39.0300,39.1400,39.1112,1859400,0.0000,1.0000
2019-09-30,39.3100,39.7900,39.3100,39.6000,39.5708,1899600,0.0000,1.0000
2019-09-27,39.5400,39.8300,39.1700,39.4400,39.4110,1520300,0.0000,1.0000
2019-09-26,39.9400,40.0200,39.4400,39.5000,39.4709,2256800,0.0000,1.0000
2019-09-25,39.2400,39.8300,39.2400,39.7600,39.7307,2605600,0.0000,1.0000
2019-09-24,39.4800,39.8500,39.2900,39.3300,39.3010,2831400,0.0000,1.0000
2019-09-23,38.9900,39.6200,38.8500,39.2800,39.2511,2497100,0.0000,1.0000
2019-09-20,39.0200,39.2600,38.7200,39.0700,39.0412,4399900,0.0000,1.0000
2019-09-19,39.0700,39.1700,38.7000,38.8000,38.7714,2081000,0.0000,1.0000
2019-09-18,39.0800,39.1300,38.5700,38.9500,38.9213,3035100,0.0000,1.0000
2019-09-17,39.1000,39.3700,38.8000,39.0300,39.0013,2801000,0.0000,1.0000
2019-09-16,38.5300,39.0400,38.3500,39.0300,39.0013,2435200,0.0000,1.0000
2019-09-13,38.1400,38.7100,37.7300,38.5000,38.4717,2929100,0.0000,1.0000
2019-09-12,38.5200,38.7600,38.2600,38.2900,38.2618,2339800,0.0000,1.0000
2019-09-11,38.1000,38.9300,37.8200,38.6100,38.5816,2100800,0.0000,1.0000
2019-09-10,37.7900,38.2400,37.6900,37.9900,37.9620,2088100,0.0000,1.0000
2019-09-09,37.8800,38.0600,37.5700,37.8400,37.8121,1855600,0.0000,1.0000
2019-09-06,38.0900,38.5300,37.6600,37.7400,37.7122,2230700,0.0000,1.0000
2019-09-05,37.1600,37.8900,37.0000,37.6000,37.5723,2918600,0.0000,1.0000
2019-09-04,37.1100,37.2800,36.8200,37.2100,37.1826,2287200,0.0000,1.0000
2019-09-03,36.2600,36.8400,36.1400,36.8000,36.7729,2386400,0.0000,1.0000
2019-08-30,35.8200,36.5300,35.7300,36.4000,36.3732,2009700,0.0000,1.0000
2019-08-29,35.5900,35.8100,35.4700,35.6600,35.6337,1554100,0.0000,1.0000
2019-08-28,35.3700,35.6100,35.2300,35.3500,35.3240,1469300,0.0000,1.0000
2019-08-27,35.8200,36.1600,35.3300,35.3700,35.3440,2678300,0.0000,1.0000
2019-08-26,35.2600,35.6800,35.1200,35.6600,35.6337,2000700,0.0000,1.0000
2019-08-23,35.8200,35.8300,34.8300,35.0200,34.9942,4258900,0.0000,1.0000
2019-08-22,35.7900,36.0800,35.6900,35.8500,35.8236,2306700,0.0000,1.0000
2019-08-21,35.4600,35.8200,35.2800,35.7800,35.7537,2260300,0.0000,1.0000
2019-08-20,35.3900,35.3900,34.9300,35.3000,35.2740,2058700,0.0000,1.0000
2019-08-19,35.7100,35.7400,35.0700,35.4600,35.4339,3602800,0.0000,1.0000
2019-08-16,34.4600,35.5800,33.8724,35.4700,35.4439,3132200,0.0000,1.0000
2019-08-15,33.9700,34.5300,33.8700,34.3200,34.2947,2338900,0.0000,1.0000
2019-08-14,34.3000,34.4300,33.8850,33.9800,33.9550,2153000,0.0000,1.0000
2019-08-13,34.0100,34.6100,33.7700,34.5900,34.5645,2383700,0.0000,1.0000
2019-08-12,34.0400,34.4500,33.5700,33.9400,33.9150,2287900,0.0000,1.0000
2019-08-09,35.0900,35.1400,33.9400,34.1500,34.1249,3310400,0.0000,1.0000
2019-08-08,33.4300,35.1300,33.3300,35.1200,35.0941,4843800,0.0000,1.0000
2019-08-07,33.9800,34.7507,32.6300,33.3000,33.2755,4928200,0.0000,1.0000
2019-08-06,33.7200,34.0500,33.1600,33.9300,33.9050,3232700,0.0000,1.0000
2019-08-05,34.6700,34.6700,33.5200,33.7200,33.6952,2976200,0.0000,1.0000
2019-08-02,34.4300,35.0000,34.3200,34.7400,34.7144,2797500,0.0000,1.0000
2019-08-01,34.1070,34.9800,34.1000,34.3200,34.2947,4325300,0.0000,1.0000
2019-07-31,34.7500,34.7600,34.0200,34.1400,34.1149,3579100,0.0300,1.0000
2019-07-30,34.3000,34.8105,34.3000,34.7900,34.7344,2227600,0.0000,1.0000
2019-07-29,34.4500,34.5200,34.1100,34.4900,34.4349,1995800,0.0000,1.0000
2019-07-26,34.9800,35.1300,34.3300,34.4600,34.4049,2070600,0.0000,1.0000
2019-07-25,34.5400,35.1811,34.4700,34.8700,34.8143,1897400,0.0000,1.0000
2019-07-24,34.5300,35.0600,34.5300,34.7600,34.7045,2226600,0.0000,1.0000
2019-07-23,35.0000,35.0128,34.2600,34.4900,34.4349,2684000,0.0000,1.0000
2019-07-22,35.1600,35.2300,34.4900,34.9400,34.8842,2471700,0.0000,1.0000
2019-07-19,35.0500,35.5500,34.8212,35.1400,35.0839,4132300,0.0000,1.0000
2019-07-18,34.7300,35.1000,34.3600,35.1000,35.0439,2420100,0.0000,1.0000
2019-07-17,34.0500,35.0300,34.0500,34.8000,34.7444,6674700,0.0000,1.0000
2019-07-16,35.4000,35.6200,33.9200,34.0900,34.0355,4879000,0.0000,1.0000
2019-07-15,35.9200,36.2400,35.5200,35.6400,35.5831,2700400,0.0000,1.0000
2019-07-12,36.0200,36.1600,35.7900,35.9900,35.9325,2029800,0.0000,1.0000
2019-07-11,35.8800,36.0900,35.6600,35.9900,35.9325,1991600,0.0000,1.0000
2019-07-10,35.9200,36.1100,35.6500,35.9600,35.9025,2649600,0.0000,1.0000
2019-07-09,35.6200,35.9200,35.2400,35.5900,35.5331,2676000,0.0000,1.0000
2019-07-08,36.0100,36.2700,35.4300,35.7100,35.6529,3541900,0.0000,1.0000
2019-07-05,35.5600,36.1000,35.5000,36.0900,36.0323,2102800,0.0000,1.0000
