timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,191.4900,192.1850,190.4200,190.8800,190.8800,929362,0.0000,1.0000
2019-11-12,193.7800,194.0300,192.1800,193.0100,193.0100,1260500,0.0000,1.0000
2019-11-11,193.9400,194.4500,192.3900,193.9800,193.9800,883200,0.0000,1.0000
2019-11-08,195.3000,196.5000,194.4800,195.4400,195.4400,895500,0.0000,1.0000
2019-11-07,194.5200,197.6700,194.3700,195.5800,195.5800,2009700,0.0000,1.0000
2019-11-06,193.8300,193.9600,191.3900,192.9600,192.9600,1921200,0.0000,1.0000
2019-11-05,191.9600,196.1200,191.9600,193.7800,193.7800,2443200,0.0000,1.0000
2019-11-04,191.3000,193.2600,189.3500,192.6400,192.6400,2760700,0.0000,1.0000
2019-11-01,183.6000,189.9300,182.9800,189.9200,189.9200,1953700,0.0000,1.0000
2019-10-31,182.8300,184.0500,179.8400,182.0000,182.0000,1427300,0.9400,1.0000
2019-10-30,184.8800,185.2800,181.9600,184.9900,184.0500,1288000,0.0000,1.0000
2019-10-29,186.6400,187.9200,184.9400,185.0400,184.0997,1586500,0.0000,1.0000
2019-10-28,188.3800,190.6800,186.3600,187.7600,186.8059,1625500,0.0000,1.0000
2019-10-25,183.6400,188.5000,182.8000,188.2500,187.2934,1619000,0.0000,1.0000
2019-10-24,185.0000,186.0300,182.4800,183.1800,182.2492,1594900,0.0000,1.0000
2019-10-23,185.7200,188.2000,182.8700,184.8700,183.9306,3119900,0.0000,1.0000
2019-10-22,186.0900,189.2400,184.6600,188.9600,187.9998,2275700,0.0000,1.0000
2019-10-21,182.9900,186.3800,182.9900,186.1900,185.2439,1876700,0.0000,1.0000
2019-10-18,183.2000,184.0400,180.7200,181.9100,180.9857,1593200,0.0000,1.0000
2019-10-17,182.1300,184.8100,181.7000,183.7100,182.7765,2371500,0.0000,1.0000
2019-10-16,179.9500,182.0500,179.5100,181.1300,180.2096,1762900,0.0000,1.0000
2019-10-15,178.5400,181.4500,177.7200,180.7100,179.7917,1569300,0.0000,1.0000
2019-10-14,177.3600,178.6400,176.1600,178.5400,177.6328,1191600,0.0000,1.0000
2019-10-11,173.9200,179.6000,173.9200,178.5000,177.5930,1884200,0.0000,1.0000
2019-10-10,168.5100,172.0400,168.5100,172.0200,171.1459,1166900,0.0000,1.0000
2019-10-09,169.0700,169.8000,167.9900,169.1100,168.2507,1021300,0.0000,1.0000
2019-10-08,169.3400,169.6400,166.5700,166.7400,165.8927,1403200,0.0000,1.0000
2019-10-07,172.1100,173.3000,171.0100,171.6700,170.7977,1118700,0.0000,1.0000
2019-10-04,171.5000,172.8800,170.7000,172.8200,171.9418,1343600,0.0000,1.0000
2019-10-03,169.7500,171.2800,166.5800,170.6100,169.7431,2283100,0.0000,1.0000
2019-10-02,173.3200,173.7000,169.4300,169.6900,168.8277,2023400,0.0000,1.0000
2019-10-01,180.4000,182.1200,174.3100,174.9800,174.0909,1569600,0.0000,1.0000
2019-09-30,182.0400,182.6500,179.2000,179.6600,178.7471,1995700,0.0000,1.0000
2019-09-27,183.4500,184.0600,180.5400,180.8700,179.9509,1182300,0.0000,1.0000
2019-09-26,183.0100,184.2400,182.2700,182.9700,182.0403,1037100,0.0000,1.0000
2019-09-25,182.4600,183.4900,181.2600,182.7000,181.7716,1498200,0.0000,1.0000
2019-09-24,181.9600,186.9900,181.9600,182.9100,181.9806,2639300,0.0000,1.0000
2019-09-23,178.7700,180.2600,177.0500,179.5100,178.5978,1197300,0.0000,1.0000
2019-09-20,183.9700,184.8000,178.8000,180.4900,179.5729,2878600,0.0000,1.0000
