timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,70.1400,71.1405,69.7100,70.6600,70.6600,1395316,0.0000,1.0000
2019-11-12,70.0600,70.9200,69.9400,70.2000,70.2000,1742900,0.0000,1.0000
2019-11-11,69.7200,70.2600,69.5300,69.9200,69.9200,1528500,0.0000,1.0000
2019-11-08,69.7800,70.5000,69.3100,70.4800,70.4800,1755000,0.0000,1.0000
2019-11-07,71.2300,71.3900,69.5200,69.7700,69.7700,2083100,0.0000,1.0000
2019-11-06,71.5500,72.0300,70.5400,70.7600,70.7600,2005000,0.0000,1.0000
2019-11-05,72.2600,72.5600,71.1800,71.8400,71.8400,1613600,0.0000,1.0000
2019-11-04,71.3600,72.1400,70.9600,71.9200,71.9200,2153800,0.0000,1.0000
2019-11-01,69.1700,70.3100,68.6600,70.2500,70.2500,1747300,0.9150,1.0000
2019-10-31,69.6900,70.3400,69.0700,69.8300,68.9150,2631500,0.0000,1.0000
2019-10-30,71.3400,72.5000,69.1800,69.9900,69.0729,2964500,0.0000,1.0000
2019-10-29,70.9500,71.9200,70.6600,71.6200,70.6815,2352000,0.0000,1.0000
2019-10-28,71.7700,72.4700,70.8900,71.1800,70.2473,1878000,0.0000,1.0000
2019-10-25,71.3300,71.6900,70.7500,71.5500,70.6125,1287300,0.0000,1.0000
2019-10-24,71.4700,72.0100,71.0800,71.2900,70.3559,1674900,0.0000,1.0000
2019-10-23,70.0400,70.9700,69.5300,70.9100,69.9809,1687800,0.0000,1.0000
2019-10-22,69.8200,71.6600,69.7100,70.3300,69.4084,2900600,0.0000,1.0000
2019-10-21,69.3400,69.6700,69.0800,69.6000,68.6880,1314400,0.0000,1.0000
2019-10-18,68.7300,69.5800,68.6700,69.2000,68.2933,1772900,0.0000,1.0000
2019-10-17,68.5100,68.9200,68.0700,68.6700,67.7702,1324600,0.0000,1.0000
2019-10-16,68.8200,69.1100,68.2000,68.4500,67.5531,1915300,0.0000,1.0000
2019-10-15,69.0600,70.0800,69.0400,69.2500,68.3426,1844200,0.0000,1.0000
2019-10-14,69.1300,69.3200,68.3300,69.1400,68.2340,1387400,0.0000,1.0000
2019-10-11,69.5300,70.0600,69.1500,69.5100,68.5992,1960500,0.0000,1.0000
2019-10-10,68.7300,69.3400,68.1600,68.9700,68.0663,1697600,0.0000,1.0000
2019-10-09,68.9000,69.4600,68.5000,68.6100,67.7110,1902900,0.0000,1.0000
2019-10-08,70.2000,70.5100,68.0800,68.2000,67.3064,2990000,0.0000,1.0000
2019-10-07,72.0500,72.1100,70.7200,70.7200,69.7933,1398600,0.0000,1.0000
2019-10-04,71.9900,72.4400,71.6300,72.0300,71.0862,1400900,0.0000,1.0000
2019-10-03,71.1800,72.3100,70.6600,71.9900,71.0467,1448100,0.0000,1.0000
2019-10-02,72.3600,72.4400,71.5700,71.6300,70.6914,1873300,0.0000,1.0000
2019-10-01,73.9500,74.2200,72.6900,72.7100,71.7573,1618600,0.0000,1.0000
2019-09-30,73.1000,73.7400,73.1000,73.6900,72.7244,1775300,0.0000,1.0000
2019-09-27,73.3200,73.8500,73.0400,73.3000,72.3395,1651600,0.0000,1.0000
2019-09-26,73.3200,73.6700,72.8400,73.4900,72.5270,3012200,0.0000,1.0000
2019-09-25,73.7700,74.0500,73.3100,73.6300,72.6652,3102600,0.0000,1.0000
2019-09-24,74.9800,75.1900,73.4600,74.1400,73.1685,2426400,0.0000,1.0000
2019-09-23,75.3400,75.8900,74.7700,74.8100,73.8297,2261000,0.0000,1.0000
2019-09-20,75.3400,75.8500,74.7600,75.7700,74.7772,3109600,0.0000,1.0000
2019-09-19,76.9300,76.9500,74.5300,75.0900,74.1061,2716700,0.0000,1.0000
2019-09-18,75.7800,76.5400,75.5000,76.5000,75.4976,2020000,0.0000,1.0000
2019-09-17,75.9700,76.7800,75.2700,76.2000,75.2015,2132700,0.0000,1.0000
2019-09-16,76.1400,77.2100,75.4300,75.8300,74.8364,2866900,0.0000,1.0000
2019-09-13,74.1500,74.9700,74.1100,74.4800,73.5041,1797700,0.0000,1.0000
2019-09-12,73.6400,74.6500,73.6400,73.9300,72.9613,1726800,0.0000,1.0000
2019-09-11,73.6300,74.1800,73.2100,74.0600,73.0896,1777600,0.0000,1.0000
2019-09-10,73.6600,74.3800,73.0300,73.5200,72.5566,2057600,0.0000,1.0000
2019-09-09,72.2000,73.9600,72.0600,73.6700,72.7047,2353200,0.0000,1.0000
2019-09-06,70.7000,71.8700,70.1600,71.8300,70.8888,1767200,0.0000,1.0000
2019-09-05,71.6200,71.8900,70.8900,71.0200,70.0894,1810400,0.0000,1.0000
2019-09-04,71.2800,71.4500,70.8700,71.0400,70.1091,1571700,0.0000,1.0000
2019-09-03,70.3100,70.9700,70.0600,70.6100,69.6848,2154600,0.0000,1.0000
2019-08-30,71.2500,71.5300,70.2800,71.2800,70.3460,1868100,0.0000,1.0000
2019-08-29,70.0200,70.9100,69.8100,70.8200,69.8920,1672600,0.0000,1.0000
2019-08-28,68.6900,69.7400,68.5300,69.5300,68.6189,1672200,0.0000,1.0000
2019-08-27,68.4900,69.2200,67.8000,68.3200,67.4248,1481700,0.0000,1.0000
2019-08-26,68.2200,68.5600,67.8900,68.2000,67.3064,1395800,0.0000,1.0000
2019-08-23,69.5500,69.8200,67.1600,67.4100,66.5267,2500800,0.0000,1.0000
2019-08-22,71.3600,71.4400,70.1400,70.2800,69.3591,1809600,0.0000,1.0000
2019-08-21,71.5700,71.9000,70.9100,71.1800,70.2473,1971000,0.0000,1.0000
2019-08-20,70.8900,72.0900,70.5600,71.0600,70.1289,1579000,0.0000,1.0000
2019-08-19,70.0800,71.0800,69.5800,70.9100,69.9809,1677800,0.0000,1.0000
2019-08-16,68.1500,69.4925,67.5600,69.3000,68.3919,2117100,0.0000,1.0000
2019-08-15,67.6400,68.5865,67.5600,67.9500,67.0596,1300000,0.0000,1.0000
2019-08-14,68.6700,69.0100,67.5200,67.7100,66.8228,2742300,0.0000,1.0000
2019-08-13,69.1600,69.8100,68.7800,69.6400,68.7275,2069000,0.0000,1.0000
2019-08-12,69.7500,70.3500,68.8900,69.2700,68.3623,2253800,0.0000,1.0000
2019-08-09,69.0522,69.9600,68.7100,69.0500,68.1452,1750900,0.0000,1.0000
2019-08-08,67.1800,68.9500,66.8500,68.9400,68.0367,2434300,0.0000,1.0000
2019-08-07,67.0000,67.4300,65.9700,66.7600,65.8852,2850400,0.0000,1.0000
2019-08-06,68.1700,68.4900,67.3100,68.1000,67.2077,1895500,0.0000,1.0000
2019-08-05,69.0000,69.1600,67.0400,67.6700,66.7833,2560900,0.8900,1.0000
2019-08-02,71.4000,72.0200,70.3500,70.9900,69.1815,2183500,0.0000,1.0000
2019-08-01,69.9300,72.3800,69.7700,70.9900,69.1815,3845600,0.0000,1.0000
2019-07-31,67.5300,71.4708,67.2400,70.0800,68.2946,4271100,0.0000,1.0000
2019-07-30,66.5440,67.2800,66.1500,67.2100,65.4978,1923200,0.0000,1.0000
2019-07-29,68.5600,68.5600,66.6700,66.8000,65.0982,2474700,0.0000,1.0000
2019-07-26,68.6900,68.7900,68.0200,68.4900,66.7452,1496600,0.0000,1.0000
2019-07-25,69.0000,69.0000,68.2500,68.5700,66.8231,1697100,0.0000,1.0000
2019-07-24,68.3383,68.5800,67.5100,68.4300,66.6867,1255900,0.0000,1.0000
2019-07-23,69.0600,69.2042,68.3700,68.5100,66.7646,1203700,0.0000,1.0000
2019-07-22,68.5900,69.2300,68.3600,69.1400,67.3786,1552600,0.0000,1.0000
2019-07-19,69.1800,69.4200,68.5200,68.5300,66.7841,1881500,0.0000,1.0000
2019-07-18,69.3400,69.4200,68.8100,69.1600,67.3981,1908200,0.0000,1.0000
2019-07-17,70.3200,70.3200,69.5000,69.6400,67.8659,1995700,0.0000,1.0000
2019-07-16,70.9000,70.9000,69.7700,70.1500,68.3629,1925600,0.0000,1.0000
2019-07-15,71.3900,71.4300,70.7100,70.9800,69.1717,1542400,0.0000,1.0000
2019-07-12,71.2600,71.4100,70.9100,71.3000,69.4836,1376800,0.0000,1.0000
2019-07-11,70.7300,71.1600,70.4900,71.0600,69.2497,1951100,0.0000,1.0000
2019-07-10,70.0800,70.7200,69.8800,70.4500,68.6552,1686200,0.0000,1.0000
2019-07-09,69.6300,69.9300,69.1900,69.8200,68.0413,1770900,0.0000,1.0000
2019-07-08,70.1600,70.3200,69.3000,69.5700,67.7976,1688500,0.0000,1.0000
2019-07-05,69.9800,70.2900,69.5297,70.2800,68.4895,1287000,0.0000,1.0000
2019-07-03,69.4800,70.2300,69.2937,70.2000,68.4116,1226400,0.0000,1.0000
2019-07-02,69.4300,69.5900,68.7634,69.3600,67.5930,2044600,0.0000,1.0000
2019-07-01,69.6400,69.9946,69.3000,69.5900,67.8171,2278300,0.0000,1.0000
2019-06-28,67.5300,68.8400,67.4600,68.8100,67.0570,2657200,0.0000,1.0000
2019-06-27,67.2800,67.5533,67.1000,67.4000,65.6829,1261000,0.0000,1.0000
2019-06-26,67.2800,67.8440,66.8360,67.3500,65.6342,1483700,0.0000,1.0000
2019-06-25,67.2500,67.2900,66.6530,66.7200,65.0202,1389200,0.0000,1.0000
2019-06-24,69.0039,69.3050,67.0200,67.2900,65.5757,2389200,0.0000,1.0000
2019-06-21,67.6000,68.9600,67.6000,68.9400,67.1837,3847100,0.0000,1.0000
2019-06-20,67.0300,67.8800,66.9100,67.7600,66.0337,2536900,0.0000,1.0000
2019-06-19,65.7200,66.4577,65.4000,66.2500,64.5622,2100900,0.0000,1.0000
2019-06-18,65.3700,65.8300,65.0600,65.6700,63.9970,1844600,0.0000,1.0000
2019-06-17,64.3500,65.0700,64.1900,64.8100,63.1589,1775700,0.0000,1.0000
2019-06-14,65.0400,65.1400,64.0500,64.4600,62.8178,1573900,0.0000,1.0000
2019-06-13,65.0400,65.1500,64.6300,65.0300,63.3733,1874400,0.0000,1.0000
2019-06-12,65.3400,65.8900,64.1100,64.4500,62.8081,2187200,0.0000,1.0000
2019-06-11,66.2100,66.2500,65.5900,65.7200,64.0457,1376700,0.0000,1.0000
