timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,82.8600,83.6800,82.7850,83.5300,83.5300,1384535,0.0000,1.0000
2019-11-12,82.8000,83.2900,82.6400,83.0400,83.0400,1194800,0.0000,1.0000
2019-11-11,82.9700,83.4800,82.5600,82.8300,82.8300,1014900,0.0000,1.0000
2019-11-08,82.9900,83.2800,82.4200,83.2500,83.2500,1718500,0.0000,1.0000
2019-11-07,83.2000,83.4500,82.5400,82.8800,82.8800,1381000,0.0000,1.0000
2019-11-06,82.8600,83.2300,82.1000,82.6600,82.6600,1478200,0.0000,1.0000
2019-11-05,83.3800,83.9700,81.8900,82.5900,82.5900,1735000,0.0000,1.0000
2019-11-04,84.3800,84.4800,83.2400,83.4600,83.4600,981100,0.0000,1.0000
2019-11-01,84.1600,84.5400,83.4700,83.8900,83.8900,983500,0.0000,1.0000
2019-10-31,84.0000,84.2900,83.2900,83.6400,83.6400,1174400,0.6200,1.0000
2019-10-30,84.6300,84.7500,83.5000,84.6500,84.0300,1138600,0.0000,1.0000
2019-10-29,84.6100,85.1200,84.3800,84.5500,83.9307,1155300,0.0000,1.0000
2019-10-28,85.0300,85.0800,84.0500,84.4200,83.8017,1033700,0.0000,1.0000
2019-10-25,84.2900,84.9700,84.0900,84.5300,83.9109,923400,0.0000,1.0000
2019-10-24,84.0900,84.8100,83.6900,84.7000,84.0796,1002100,0.0000,1.0000
2019-10-23,83.1700,84.0900,83.0700,84.0700,83.4542,1495100,0.0000,1.0000
2019-10-22,84.8100,85.2600,83.1800,83.2700,82.6601,1098500,0.0000,1.0000
2019-10-21,84.8100,84.8100,83.8300,84.6800,84.0598,1066900,0.0000,1.0000
2019-10-18,84.9900,85.4000,84.0000,84.2500,83.6329,1570300,0.0000,1.0000
2019-10-17,84.8500,85.4100,84.5100,84.7300,84.1094,1092600,0.0000,1.0000
2019-10-16,84.2800,84.8500,84.0000,84.7500,84.1293,1160800,0.0000,1.0000
2019-10-15,84.7200,85.0000,84.3200,84.8600,84.2385,1004400,0.0000,1.0000
2019-10-14,84.5600,85.0000,84.5100,84.7000,84.0796,991800,0.0000,1.0000
2019-10-11,84.8900,85.4200,84.5600,84.6300,84.0101,1367300,0.0000,1.0000
2019-10-10,82.9900,84.2200,82.8100,83.9400,83.3252,1069500,0.0000,1.0000
2019-10-09,82.1700,83.4300,82.1700,83.1000,82.4913,1332000,0.0000,1.0000
2019-10-08,82.6200,83.0800,81.7900,82.0800,81.4788,1346700,0.0000,1.0000
2019-10-07,83.8400,84.0800,82.8900,82.9300,82.3226,1399100,0.0000,1.0000
2019-10-04,83.0100,84.4900,82.6800,84.3500,83.7322,1767000,0.0000,1.0000
2019-10-03,83.1400,83.3500,80.0000,82.5600,81.9553,2168600,0.0000,1.0000
2019-10-02,82.8000,83.9000,81.3300,83.3500,82.7395,3862500,0.0000,1.0000
2019-10-01,83.1500,83.6000,81.6500,81.8900,81.2902,1833300,0.0000,1.0000
2019-09-30,81.9500,82.8900,81.5500,82.7700,82.1638,1495500,0.0000,1.0000
