timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,119.9000,121.0500,119.8700,120.6500,120.6500,6472593,0.0000,1.0000
2019-11-12,119.4900,119.6000,118.5500,119.2700,119.2700,4759600,0.0000,1.0000
2019-11-11,119.4800,120.0000,119.0900,119.3300,119.3300,3850400,0.0000,1.0000
2019-11-08,119.8500,120.5900,119.1600,119.7000,119.7000,4249900,0.0000,1.0000
2019-11-07,120.3400,120.3400,118.8100,119.6200,119.6200,8909700,0.0000,1.0000
2019-11-06,119.1000,120.3500,118.6600,120.3200,120.3200,6755900,0.0000,1.0000
2019-11-05,118.8300,119.5900,118.2400,118.9000,118.9000,9239600,0.0000,1.0000
2019-11-04,123.9200,123.9200,118.6400,119.0700,119.0700,10351400,0.0000,1.0000
2019-11-01,124.8300,125.1400,123.2500,123.8700,123.8700,6010100,0.0000,1.0000
2019-10-31,124.7900,125.4500,123.3600,124.5100,124.5100,6399500,0.0000,1.0000
2019-10-30,123.9900,125.1700,123.5000,124.9400,124.9400,4734400,0.0000,1.0000
2019-10-29,123.2000,124.5600,123.1000,123.6000,123.6000,5659800,0.0000,1.0000
2019-10-28,123.4800,124.1200,122.6000,123.4800,123.4800,5459100,0.0000,1.0000
2019-10-25,124.8200,124.8200,123.1700,123.2500,123.2500,6093300,0.0000,1.0000
2019-10-24,123.7600,125.7700,123.3400,124.7900,124.7900,6725600,0.0000,1.0000
2019-10-23,121.9900,123.7300,121.8400,123.0000,123.0000,8249300,0.0000,1.0000
2019-10-22,124.0000,124.2200,121.6000,122.1800,122.1800,14410500,0.0000,1.0000
2019-10-21,117.4200,119.1200,117.3500,119.0800,119.0800,6731600,0.0000,1.0000
2019-10-18,116.5500,117.7500,116.1700,117.4700,117.4700,9016700,0.0000,1.0000
2019-10-17,117.3100,117.6400,116.5500,116.6300,116.6300,5956900,0.7460,1.0000
2019-10-16,117.6700,117.7700,116.5100,117.5300,116.7840,7973100,0.0000,1.0000
2019-10-15,120.1900,120.5600,116.7000,117.2000,116.4561,11113900,0.0000,1.0000
2019-10-14,121.6200,121.6200,119.5800,120.0500,119.2880,7360200,0.0000,1.0000
2019-10-11,122.0400,122.0600,120.8200,121.0900,120.3214,6292200,0.0000,1.0000
2019-10-10,121.3300,122.1900,120.8000,121.9400,121.1660,3943400,0.0000,1.0000
2019-10-09,121.8100,122.3900,121.4300,121.9800,121.2058,3775600,0.0000,1.0000
2019-10-08,122.6600,122.9300,120.8800,120.9300,120.1624,5545300,0.0000,1.0000
2019-10-07,123.5300,123.8900,122.6800,122.8400,122.0603,4749700,0.0000,1.0000
2019-10-04,122.1900,124.0600,121.9900,124.0000,123.2129,4377900,0.0000,1.0000
2019-10-03,121.6700,122.5400,120.8400,121.7400,120.9673,5171000,0.0000,1.0000
2019-10-02,123.2000,123.6500,120.2100,121.0800,120.3115,6755100,0.0000,1.0000
2019-10-01,124.3600,124.6400,123.2000,123.8500,123.0639,5415700,0.0000,1.0000
2019-09-30,124.5700,125.3600,124.1300,124.3800,123.5905,5206900,0.0000,1.0000
2019-09-27,124.4100,124.8800,123.7200,124.5700,123.7793,5589800,0.0000,1.0000
2019-09-26,123.6400,125.0000,123.5300,124.3100,123.5210,6984800,0.0000,1.0000
2019-09-25,123.5600,123.8300,122.9500,123.0200,122.2392,5812600,0.0000,1.0000
2019-09-24,123.7000,124.7300,123.3600,123.6100,122.8254,7633200,0.0000,1.0000
2019-09-23,122.2000,123.7700,121.9700,123.2200,122.4379,6060400,0.0000,1.0000
2019-09-20,122.1300,122.6000,121.7500,122.2400,121.4641,15362000,0.0000,1.0000
2019-09-19,121.3900,122.2300,121.2400,121.9000,121.1263,4525800,0.0000,1.0000
2019-09-18,121.2700,121.9600,120.7700,121.4100,120.6394,5684200,0.0000,1.0000
2019-09-17,119.6300,121.9900,119.4400,121.1600,120.3910,6377100,0.0000,1.0000
2019-09-16,121.8100,121.9600,119.0200,119.7500,118.9899,9626700,0.0000,1.0000
2019-09-13,121.8200,122.5800,121.5000,122.1200,121.3449,6777400,0.0000,1.0000
2019-09-12,122.6500,123.2100,121.6200,122.7700,121.9907,6194300,0.0000,1.0000
2019-09-11,119.8600,121.3400,119.3600,121.2700,120.5003,7565500,0.0000,1.0000
2019-09-10,121.0300,121.1800,119.5800,119.8800,119.1191,9582200,0.0000,1.0000
2019-09-09,122.7100,122.7800,121.7800,122.1700,121.3945,7662400,0.0000,1.0000
2019-09-06,123.0000,123.3800,122.5400,122.8700,122.0901,5306900,0.0000,1.0000
2019-09-05,123.2400,123.4300,122.1800,122.7600,121.9808,7491900,0.0000,1.0000
2019-09-04,121.8500,123.2800,121.4600,123.2100,122.4279,5586900,0.0000,1.0000
2019-09-03,119.7900,121.5400,119.6300,121.3600,120.5897,4959300,0.0000,1.0000
2019-08-30,121.9600,122.0000,119.5100,120.2300,119.4669,6007100,0.0000,1.0000
2019-08-29,121.7900,122.0000,120.3200,121.1800,120.4108,5011500,0.0000,1.0000
2019-08-28,120.4600,121.4300,119.6300,121.4000,120.6294,4600300,0.0000,1.0000
2019-08-27,119.9900,121.0500,119.7800,120.5500,119.7848,6996300,0.0000,1.0000
2019-08-26,117.7500,119.6000,117.2200,119.3200,118.5626,5661500,0.0000,1.0000
2019-08-23,119.1400,120.1100,116.4300,117.3200,116.5753,7336800,0.0000,1.0000
2019-08-22,119.0800,119.7900,118.7000,119.4200,118.6620,4558400,0.0000,1.0000
2019-08-21,119.2700,119.6500,118.6800,119.2000,118.4434,4037400,0.0000,1.0000
2019-08-20,120.0500,120.2600,118.7900,118.9000,118.1453,6744300,0.0000,1.0000
2019-08-19,119.9700,120.4500,119.1100,120.2400,119.4768,5867100,0.0000,1.0000
2019-08-16,118.0600,119.5400,116.4400,119.1800,118.4235,8302400,0.0000,1.0000
2019-08-15,116.8000,118.0900,116.4400,117.3900,116.6449,7758000,0.0000,1.0000
2019-08-14,116.4600,117.9400,115.6600,115.7900,115.0550,10148300,0.0000,1.0000
2019-08-13,116.5100,118.0650,116.3400,117.2500,116.5058,6722000,0.0000,1.0000
2019-08-12,116.7800,117.6700,115.5900,116.0300,115.2935,4996200,0.0000,1.0000
2019-08-09,117.6200,118.0400,115.8500,116.7800,116.0388,6939500,0.0000,1.0000
2019-08-08,115.5200,117.4900,115.3394,117.4400,116.6946,7416600,0.0000,1.0000
2019-08-07,113.7548,116.2390,112.6800,115.5200,114.7868,9507600,0.0000,1.0000
2019-08-06,113.6500,115.0000,113.1800,114.2800,113.5546,9490600,0.0000,1.0000
2019-08-05,116.0900,116.3000,112.8300,113.0800,112.3623,12974800,0.0000,1.0000
2019-08-02,116.5100,117.0800,115.6900,116.4400,115.7009,12266100,0.0000,1.0000
2019-08-01,118.5600,119.1700,116.7300,116.7300,115.9891,11308600,0.0000,1.0000
2019-07-31,119.6600,120.6763,117.0700,118.0400,117.2908,12641800,0.0000,1.0000
2019-07-30,119.8200,121.7600,118.8000,120.4100,119.6457,18788800,0.0000,1.0000
2019-07-29,114.7300,116.2100,114.6215,116.0000,115.2637,7768700,0.0000,1.0000
2019-07-26,113.2100,114.8800,112.8800,114.7300,114.0018,5559600,0.0000,1.0000
2019-07-25,111.4800,112.9800,111.3848,112.7700,112.0542,7809400,0.0000,1.0000
2019-07-24,113.8500,113.8800,112.2800,112.6000,111.8853,9635900,0.0000,1.0000
2019-07-23,115.7100,116.0500,113.8400,113.8500,113.1274,8194600,0.0000,1.0000
2019-07-22,115.0400,115.4500,114.5800,115.3000,114.5682,4018800,0.0000,1.0000
2019-07-19,115.5000,115.9500,115.0100,115.0100,114.2800,6547000,0.0000,1.0000
2019-07-18,114.9300,115.7700,114.7900,115.4400,114.7073,5828700,0.7459,1.0000
2019-07-17,115.7300,116.2900,115.7300,115.9400,114.4629,7861700,0.0000,1.0000
2019-07-16,115.7200,116.5200,115.4500,115.8900,114.4136,7644300,0.0000,1.0000
2019-07-15,115.0700,115.8800,114.7900,115.4800,114.0088,6240700,0.0000,1.0000
2019-07-12,114.0700,115.2100,114.0700,114.9900,113.5250,7058600,0.0000,1.0000
2019-07-11,113.6600,114.4000,113.4400,114.3800,112.9228,4625300,0.0000,1.0000
2019-07-10,113.4600,114.5000,113.4000,113.7500,112.3008,5600700,0.0000,1.0000
2019-07-09,113.9000,113.9100,112.3200,112.9100,111.4715,7537700,0.0000,1.0000
2019-07-08,113.3400,114.2300,113.2887,114.0500,112.5970,5317800,0.0000,1.0000
2019-07-05,112.9700,113.4500,112.2250,113.1500,111.7085,8694800,0.0000,1.0000
2019-07-03,111.9600,114.2700,111.8400,114.0800,112.6266,6223300,0.0000,1.0000
2019-07-02,110.6100,111.5000,110.2850,111.4800,110.0598,6578200,0.0000,1.0000
2019-07-01,109.9200,110.7000,109.6100,110.4900,109.0824,6775900,0.0000,1.0000
2019-06-28,111.8600,111.9600,109.0200,109.6500,108.2531,12152000,0.0000,1.0000
2019-06-27,109.9200,110.2700,109.2900,109.7800,108.3814,5613300,0.0000,1.0000
2019-06-26,111.3900,111.4400,109.6600,109.7300,108.3320,7170300,0.0000,1.0000
2019-06-25,112.1100,112.6300,111.3100,111.7200,110.2967,6805600,0.0000,1.0000
2019-06-24,111.8200,112.5000,111.4000,112.3300,110.8989,5518100,0.0000,1.0000
2019-06-21,111.6200,112.4700,111.0200,111.2000,109.7833,13799400,0.0000,1.0000
2019-06-20,110.7800,112.0200,110.4950,111.7400,110.3164,7044200,0.0000,1.0000
2019-06-19,109.5000,110.7250,109.2600,110.4200,109.0133,7028000,0.0000,1.0000
2019-06-18,111.4500,111.5600,109.4300,109.6000,108.2037,7731200,0.0000,1.0000
2019-06-17,111.1600,111.2100,110.2350,110.9900,109.5760,6020000,0.0000,1.0000
2019-06-14,110.9700,111.7500,110.6500,111.2000,109.7833,6438100,0.0000,1.0000
2019-06-13,109.9800,110.9500,109.8550,110.9100,109.4970,8611400,0.0000,1.0000
2019-06-12,109.6000,110.6550,109.5800,109.6800,108.2827,7687800,0.0000,1.0000
2019-06-11,108.9400,109.6000,108.8700,109.3800,107.9865,8074400,0.0000,1.0000
2019-06-10,108.3200,109.0200,107.4580,108.7200,107.3349,4767000,0.0000,1.0000
2019-06-07,107.7400,109.3800,107.7400,108.7700,107.3843,8063400,0.0000,1.0000
2019-06-06,106.8500,107.6800,106.3300,107.3800,106.0120,6681600,0.0000,1.0000
2019-06-05,105.2400,106.7500,104.8900,106.7300,105.3703,6481700,0.0000,1.0000
2019-06-04,104.0100,105.0950,103.8500,104.6800,103.3464,6906400,0.0000,1.0000
2019-06-03,103.1500,103.9600,102.4000,103.8000,102.4776,8532900,0.0000,1.0000
2019-05-31,104.8906,104.9000,102.4050,102.9100,101.5989,10282300,0.0000,1.0000
2019-05-30,104.3700,105.3700,104.3700,105.3300,103.9881,4729200,0.0000,1.0000
2019-05-29,103.9600,104.8100,103.6991,104.1900,102.8626,7137300,0.0000,1.0000
2019-05-28,106.7000,107.2450,104.4200,104.4600,103.1292,7615500,0.0000,1.0000
2019-05-24,107.1500,107.4350,106.5400,106.6900,105.3308,4372100,0.0000,1.0000
2019-05-23,106.6800,107.0300,105.8850,106.7600,105.3999,6175600,0.0000,1.0000
2019-05-22,106.0900,107.0500,105.9400,106.7200,105.3604,4889700,0.0000,1.0000
2019-05-21,107.4700,107.5400,106.2875,106.3700,105.0149,5226400,0.0000,1.0000
2019-05-20,107.4400,108.1224,107.1400,107.3300,105.9626,6565300,0.0000,1.0000
2019-05-17,107.2700,108.0000,107.2550,107.4500,106.0811,6370200,0.0000,1.0000
2019-05-16,106.7400,108.6800,106.5900,108.1100,106.7327,9284200,0.0000,1.0000
2019-05-15,105.6100,106.9950,105.5000,106.7000,105.3406,5535600,0.0000,1.0000
2019-05-14,105.7700,106.5000,105.5700,105.6000,104.2547,7004000,0.0000,1.0000
2019-05-13,105.1400,106.5900,104.8500,106.1100,104.7582,7575500,0.0000,1.0000
2019-05-10,103.9800,106.1480,103.9200,106.0100,104.6594,5815800,0.0000,1.0000
2019-05-09,104.6700,105.0400,103.7800,104.2400,102.9120,6901700,0.0000,1.0000
2019-05-08,104.9900,105.7700,104.1600,105.0700,103.7314,5392600,0.0000,1.0000
2019-05-07,105.0300,105.5806,104.1000,104.7000,103.3661,6021700,0.0000,1.0000
2019-05-06,105.1200,105.8200,105.0400,105.6800,104.3336,4890400,0.0000,1.0000
2019-05-03,105.9900,106.4100,105.5800,106.0800,104.7285,4793400,0.0000,1.0000
2019-05-02,105.2034,105.7600,105.0500,105.5600,104.2152,6270300,0.0000,1.0000
2019-05-01,106.1500,106.3900,104.8100,104.9300,103.5932,6733800,0.0000,1.0000
2019-04-30,104.8600,106.6200,104.6550,106.4800,105.1235,8251300,0.0000,1.0000
2019-04-29,105.5700,105.7500,104.7200,104.7800,103.4451,4787600,0.0000,1.0000
2019-04-26,103.9500,105.8800,103.9087,105.8600,104.5113,7747400,0.0000,1.0000
2019-04-25,103.1000,103.5700,102.5900,103.2800,101.9642,6085300,0.0000,1.0000
2019-04-24,103.3200,104.6505,102.7900,103.6900,102.3690,10094800,0.0000,1.0000
2019-04-23,104.0100,104.1100,102.1300,103.1600,101.8457,15979800,0.0000,1.0000
2019-04-22,106.1300,107.2000,105.7400,106.0100,104.6594,9057200,0.0000,1.0000
2019-04-18,106.0200,106.7100,105.8250,106.0500,104.6989,7248900,0.0000,1.0000
2019-04-17,106.2700,106.5100,105.3500,105.8500,104.5015,6778100,0.7459,1.0000
2019-04-16,105.9800,106.5000,105.6500,106.4200,104.3278,8136100,0.0000,1.0000
2019-04-15,104.9800,105.7800,104.7900,105.7300,103.6514,5639200,0.0000,1.0000
2019-04-12,104.7500,105.0600,104.1700,105.0600,102.9945,6707900,0.0000,1.0000
2019-04-11,104.5800,105.0500,104.3700,104.7500,102.6906,5078400,0.0000,1.0000
2019-04-10,104.6600,105.0000,104.2400,104.6500,102.5926,5394300,0.0000,1.0000
2019-04-09,104.5500,104.7600,104.1400,104.6600,102.6024,5820300,0.0000,1.0000
2019-04-08,103.9300,105.1400,103.5000,104.9700,102.9063,8468600,0.0000,1.0000
2019-04-05,103.6100,103.6883,103.1700,103.6500,101.6123,4281800,0.0000,1.0000
2019-04-04,103.4800,103.6700,102.7850,103.4300,101.3966,4786100,0.0000,1.0000
2019-04-03,103.5800,103.8900,102.7500,103.6900,101.6515,5226500,0.0000,1.0000
2019-04-02,103.6100,104.0150,103.2650,103.7500,101.7103,6088800,0.0000,1.0000
2019-04-01,104.2300,104.2300,103.1360,103.6400,101.6025,6626500,0.0000,1.0000
2019-03-29,103.8600,104.1500,103.1100,104.0500,102.0044,7535400,0.0000,1.0000
2019-03-28,103.3100,103.6800,103.1100,103.5500,101.5142,6793700,0.0000,1.0000
2019-03-27,102.7600,103.0200,102.0291,102.9000,100.8770,6037100,0.0000,1.0000
2019-03-26,102.4400,103.4800,102.4000,103.0200,100.9947,6909400,0.0000,1.0000
2019-03-25,101.6600,102.3400,101.2600,101.9600,99.9555,6955500,0.0000,1.0000
2019-03-22,102.4800,103.1500,99.0900,101.6600,99.6614,11035900,0.0000,1.0000
2019-03-21,101.2800,102.9100,101.2800,102.4900,100.4751,8221000,0.0000,1.0000
2019-03-20,101.7300,102.3100,101.0500,101.7200,99.7202,7513800,0.0000,1.0000
2019-03-19,101.9100,102.1400,101.2900,101.9000,99.8967,7334100,0.0000,1.0000
2019-03-18,102.0600,102.2900,101.2000,101.5100,99.5143,8442800,0.0000,1.0000
2019-03-15,101.7600,102.8900,101.7300,102.4400,100.4261,30802700,0.0000,1.0000
2019-03-14,100.9400,101.7800,100.7200,101.3200,99.3281,8590200,0.0000,1.0000
2019-03-13,99.9900,101.5900,99.9600,101.1800,99.1908,9883300,0.0000,1.0000
2019-03-12,99.7800,100.5200,99.7300,100.0500,98.0830,7597500,0.0000,1.0000
2019-03-11,98.7900,99.6800,98.5100,99.5800,97.6223,7544400,0.0000,1.0000
2019-03-08,98.8200,99.1800,97.7500,98.4100,96.4753,5144500,0.0000,1.0000
2019-03-07,98.9700,99.6000,98.2500,98.5500,96.6125,8408600,0.0000,1.0000
2019-03-06,98.8600,99.1000,98.4000,98.9300,96.9851,4622300,0.0000,1.0000
2019-03-05,98.9100,99.6800,98.9100,99.0900,97.1419,6274600,0.0000,1.0000
2019-03-04,98.5700,98.8800,97.8800,98.8700,96.9263,6895300,0.0000,1.0000
2019-03-01,98.6100,98.7800,97.8300,98.4400,96.5047,7733200,0.0000,1.0000
2019-02-28,98.9100,99.2000,98.0800,98.5500,96.6125,10575400,0.0000,1.0000
2019-02-27,99.3400,99.6290,98.8200,98.9100,96.9655,6013600,0.0000,1.0000
2019-02-26,99.8400,100.1800,99.6300,99.8300,97.8674,7115300,0.0000,1.0000
2019-02-25,100.3600,100.4500,99.3300,99.5700,97.6125,7436100,0.0000,1.0000
2019-02-22,99.6900,100.4000,99.4000,100.2500,98.2791,7925400,0.0000,1.0000
2019-02-21,99.1000,99.8600,98.5900,99.7800,97.8184,7444800,0.0000,1.0000
2019-02-20,99.7800,100.2200,98.9400,99.2800,97.3282,8947400,0.0000,1.0000
2019-02-19,98.5600,100.0000,98.4700,99.9900,98.0242,10098200,0.0000,1.0000
2019-02-15,98.9472,99.2000,98.2500,98.4800,96.5439,12069100,0.0000,1.0000
2019-02-14,98.7000,98.8200,97.8400,98.4600,96.5243,7930100,0.0000,1.0000
2019-02-13,99.2900,99.7000,99.0100,99.2400,97.2890,11587200,0.0000,1.0000
2019-02-12,98.3800,99.3400,97.9733,99.2600,97.3086,11238800,0.0000,1.0000
2019-02-11,97.4900,98.3900,97.4300,98.2700,96.3380,8494100,0.0000,1.0000
2019-02-08,97.0100,97.7200,96.7000,97.7100,95.7891,7483200,0.0000,1.0000
2019-02-07,97.5200,97.6000,96.3400,97.1400,95.2303,8732500,0.0000,1.0000
