timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,150.6400,151.7500,150.0700,150.8200,150.8200,1652969,0.0000,1.0000
2019-11-12,152.1400,153.1700,151.1100,152.3000,152.3000,1182200,0.0000,1.0000
2019-11-11,151.5000,153.2300,151.3800,152.4600,152.4600,1354800,0.0000,1.0000
2019-11-08,152.5700,152.9200,151.6300,152.2000,152.2000,1845800,0.0000,1.0000
2019-11-07,152.9500,154.7500,152.5200,153.0700,153.0700,1565000,0.0000,1.0000
2019-11-06,150.5500,151.7600,149.9500,151.7100,151.7100,1650300,0.0000,1.0000
2019-11-05,150.6300,152.1400,150.0000,151.0300,151.0300,1382700,0.0000,1.0000
2019-11-04,150.3900,150.7300,149.6900,150.0100,150.0100,1192900,0.0000,1.0000
2019-11-01,148.3200,148.9100,147.3100,148.8100,148.8100,1109500,0.0000,1.0000
2019-10-31,146.6700,147.7500,145.0400,146.7000,146.7000,1266900,0.0000,1.0000
2019-10-30,147.8500,148.7700,146.5200,147.7500,147.7500,1168000,0.0000,1.0000
2019-10-29,147.1200,149.3900,147.1200,148.2900,148.2900,1411700,0.0000,1.0000
2019-10-28,147.7200,148.5000,147.1900,147.7700,147.7700,1250700,0.0000,1.0000
2019-10-25,145.2900,147.8600,145.2900,146.6700,146.6700,1072500,0.0000,1.0000
2019-10-24,146.2000,146.6900,144.6900,145.6000,145.6000,1143800,0.0000,1.0000
2019-10-23,144.9800,146.4300,144.7000,146.3700,146.3700,1106400,0.0000,1.0000
2019-10-22,145.5500,146.8800,144.5400,145.4600,145.4600,1697700,0.0000,1.0000
2019-10-21,145.0000,146.3900,144.7100,145.5300,145.5300,1747100,0.0000,1.0000
2019-10-18,142.4500,144.7000,142.0900,143.5200,143.5200,1901000,0.0000,1.0000
2019-10-17,142.4500,144.1000,142.0500,142.6600,142.6600,1748700,0.0000,1.0000
2019-10-16,142.6600,143.2700,139.9200,141.4600,141.4600,2692800,1.1500,1.0000
2019-10-15,140.6700,142.8500,140.0400,141.8700,140.7200,2297700,0.0000,1.0000
2019-10-14,139.7000,140.7700,139.3600,140.5200,139.3810,1444200,0.0000,1.0000
2019-10-11,140.8600,142.4800,140.2700,140.4000,139.2619,2416300,0.0000,1.0000
2019-10-10,137.1400,139.6200,136.8800,138.4200,137.2980,1283600,0.0000,1.0000
2019-10-09,137.3300,137.6800,136.3300,136.5600,135.4530,1459400,0.0000,1.0000
2019-10-08,138.1800,138.4600,136.0400,136.1800,135.0761,2221100,0.0000,1.0000
2019-10-07,140.6900,141.7200,139.1000,139.9500,138.8156,1778100,0.0000,1.0000
2019-10-04,136.8800,140.6900,136.7500,140.4700,139.3314,2087400,0.0000,1.0000
2019-10-03,134.8200,136.7500,133.3700,136.7300,135.6217,2057200,0.0000,1.0000
2019-10-02,136.4700,136.6500,134.7800,135.7000,134.6000,1776200,0.0000,1.0000
2019-10-01,141.1500,141.5500,137.0700,137.2000,136.0879,1518100,0.0000,1.0000
2019-09-30,141.1700,141.1700,139.3600,140.1600,139.0239,1726300,0.0000,1.0000
2019-09-27,141.5100,142.2300,139.7800,140.3900,139.2520,1368600,0.0000,1.0000
2019-09-26,139.9200,140.6500,139.5700,140.1000,138.9644,1041600,0.0000,1.0000
2019-09-25,140.9100,141.6900,139.7100,140.3100,139.1727,1454800,0.0000,1.0000
2019-09-24,140.7500,141.8300,139.6500,140.2700,139.1330,2842500,0.0000,1.0000
2019-09-23,139.7100,141.7500,139.6800,141.2000,140.0554,2475700,0.0000,1.0000
2019-09-20,141.2800,142.2600,140.2500,140.8800,139.7380,4212400,0.0000,1.0000
2019-09-19,139.7600,142.0900,139.7600,141.0000,139.8571,2248500,0.0000,1.0000
2019-09-18,138.7500,141.3100,138.0800,141.2000,140.0554,2073200,0.0000,1.0000
2019-09-17,139.6000,140.0400,138.0000,139.2400,138.1113,2290300,0.0000,1.0000
2019-09-16,137.9500,140.5200,137.3600,140.5000,139.3611,2180200,0.0000,1.0000
2019-09-13,139.0000,140.2900,138.0200,139.2800,138.1510,2902800,0.0000,1.0000
2019-09-12,134.8500,137.3800,133.5400,137.1700,136.0581,3076900,0.0000,1.0000
2019-09-11,138.0000,138.0500,135.4800,136.0000,134.8976,3444900,0.0000,1.0000
2019-09-10,137.2500,138.9600,136.7100,137.8900,136.7723,1893200,0.0000,1.0000
2019-09-09,132.9500,136.9300,132.3400,136.2900,135.1852,2027800,0.0000,1.0000
2019-09-06,131.4600,132.1900,130.6700,131.7200,130.6523,1357400,0.0000,1.0000
2019-09-05,130.8900,132.9400,130.6800,131.5600,130.4936,1185300,0.0000,1.0000
2019-09-04,128.1000,129.0000,127.5000,128.5700,127.5278,1662500,0.0000,1.0000
2019-09-03,127.6100,127.7700,125.2300,126.7600,125.7325,2002900,0.0000,1.0000
2019-08-30,129.2900,130.6700,128.7400,128.9300,127.8849,1457900,0.0000,1.0000
2019-08-29,127.5200,129.2600,127.5000,128.3000,127.2600,1568900,0.0000,1.0000
2019-08-28,123.1800,127.2300,123.1800,126.5600,125.5341,1462800,0.0000,1.0000
2019-08-27,124.6600,125.1200,123.4000,124.1300,123.1238,1744600,0.0000,1.0000
2019-08-26,123.9500,124.2500,123.2700,124.1000,123.0940,2431800,0.0000,1.0000
2019-08-23,126.1300,126.9900,122.3700,123.0900,122.0922,1912900,0.0000,1.0000
2019-08-22,127.1700,127.6100,125.7400,126.4200,125.3952,1321400,0.0000,1.0000
