timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,129.2400,130.7026,129.0600,130.3200,130.3200,846534,0.0000,1.0000
2019-11-12,129.3900,130.8100,129.3000,130.2500,130.2500,843600,0.0000,1.0000
2019-11-11,128.1600,129.4400,127.9800,129.2000,129.2000,916600,0.0000,1.0000
2019-11-08,130.0000,130.0200,128.3000,128.9200,128.9200,863300,0.5100,1.0000
2019-11-07,129.9100,130.4200,129.2500,129.8300,129.3200,1169900,0.0000,1.0000
2019-11-06,128.9700,130.0300,128.3100,129.7700,129.2602,1276100,0.0000,1.0000
2019-11-05,127.9700,129.0800,127.8000,128.8900,128.3837,1509100,0.0000,1.0000
2019-11-04,126.2700,128.1800,125.9900,128.0900,127.5868,1540500,0.0000,1.0000
2019-11-01,125.7200,126.4300,125.1400,125.4400,124.9473,960400,0.0000,1.0000
2019-10-31,125.5100,125.9800,124.6200,125.1200,124.6285,1387600,0.0000,1.0000
2019-10-30,124.6800,126.2800,123.7300,125.9800,125.4851,1264900,0.0000,1.0000
2019-10-29,123.7100,125.3500,123.2800,125.0500,124.5588,1258200,0.0000,1.0000
2019-10-28,124.0400,124.6400,123.4400,123.7100,123.2240,1169400,0.0000,1.0000
2019-10-25,123.1600,124.3300,122.5300,124.0400,123.5527,1210000,0.0000,1.0000
2019-10-24,125.0600,125.1000,123.0400,123.5800,123.0946,1144700,0.0000,1.0000
2019-10-23,125.1200,126.0800,124.2400,124.4700,123.9811,1670400,0.0000,1.0000
2019-10-22,124.9700,125.6300,123.2800,125.2700,124.7779,1505600,0.0000,1.0000
2019-10-21,125.0000,125.6100,124.2500,124.6800,124.1902,1688300,0.0000,1.0000
2019-10-18,123.0000,124.9000,122.7400,124.2300,123.7420,3015800,0.0000,1.0000
2019-10-17,119.0700,121.4600,118.9300,121.2400,120.7637,1784000,0.0000,1.0000
2019-10-16,118.1300,120.0300,117.8500,118.9600,118.4927,1338900,0.0000,1.0000
2019-10-15,117.8400,118.6000,116.8900,118.2100,117.7457,1275300,0.0000,1.0000
2019-10-14,118.5800,119.7300,117.1200,117.2100,116.7496,1168700,0.0000,1.0000
2019-10-11,117.5000,119.8700,117.1000,119.1700,118.7019,1313300,0.0000,1.0000
2019-10-10,114.3500,115.8800,114.2800,115.6600,115.2057,734400,0.0000,1.0000
2019-10-09,113.5000,115.0300,113.2600,114.5800,114.1299,1481800,0.0000,1.0000
2019-10-08,114.9100,114.9500,112.3100,112.3500,111.9087,1146000,0.0000,1.0000
2019-10-07,116.1400,116.9600,115.7100,115.7100,115.2555,996100,0.0000,1.0000
2019-10-04,114.7500,116.9100,114.7500,116.6200,116.1619,997500,0.0000,1.0000
2019-10-03,114.1000,114.6100,112.0200,114.6000,114.1498,674600,0.0000,1.0000
2019-10-02,115.3500,115.8800,113.5500,114.4100,113.9606,1167500,0.0000,1.0000
2019-10-01,119.0700,120.1700,116.5400,116.8700,116.4109,1004700,0.0000,1.0000
2019-09-30,118.6400,119.1500,117.5300,118.5100,118.0445,840700,0.0000,1.0000
2019-09-27,116.7200,118.8100,116.4900,118.2200,117.7556,1136700,0.0000,1.0000
2019-09-26,116.5000,117.1100,115.5200,116.6600,116.2017,995900,0.0000,1.0000
2019-09-25,116.7000,117.1500,116.2500,116.6600,116.2017,675100,0.0000,1.0000
2019-09-24,118.5100,118.7300,116.0200,116.2300,115.7734,1139900,0.0000,1.0000
2019-09-23,118.4100,119.2000,117.9900,118.3500,117.8851,933900,0.0000,1.0000
2019-09-20,120.7300,121.0000,119.0000,119.2600,118.7915,1486500,0.0000,1.0000
2019-09-19,119.5000,120.9600,119.1700,120.6900,120.2159,1215800,0.0000,1.0000
2019-09-18,117.2800,119.5700,116.8000,119.4300,118.9609,1078700,0.0000,1.0000
2019-09-17,115.4700,117.2100,114.6200,117.2100,116.7496,1448400,0.0000,1.0000
2019-09-16,118.1400,118.1900,114.9800,115.3600,114.9068,1246800,0.0000,1.0000
2019-09-13,118.6500,119.9000,118.6400,119.3800,118.9110,843900,0.0000,1.0000
2019-09-12,118.1000,118.3900,117.0000,118.2100,117.7457,851900,0.0000,1.0000
2019-09-11,117.2500,117.8800,116.4800,117.6800,117.2177,892900,0.0000,1.0000
2019-09-10,116.4100,117.2700,115.7400,117.2700,116.8093,938800,0.0000,1.0000
2019-09-09,116.2000,116.5900,114.8600,116.5100,116.0523,1174600,0.0000,1.0000
2019-09-06,114.2000,116.1200,113.7200,115.7800,115.3252,1058000,0.0000,1.0000
2019-09-05,112.9100,114.1800,112.4700,113.3400,112.8948,1047100,0.0000,1.0000
2019-09-04,111.4200,111.9000,110.8200,111.5200,111.0819,958100,0.0000,1.0000
2019-09-03,109.7800,110.6100,108.9500,110.4300,109.9962,848500,0.0000,1.0000
2019-08-30,111.1500,111.5100,110.4700,110.7900,110.3548,762500,0.0000,1.0000
2019-08-29,110.3900,111.0800,110.0700,110.1400,109.7074,586200,0.0000,1.0000
2019-08-28,107.0800,109.2900,106.7600,109.0300,108.6017,1090800,0.0000,1.0000
2019-08-27,108.1600,108.3800,106.9600,107.4100,106.9881,1861700,0.0000,1.0000
