timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,42.3400,42.3900,41.9900,42.1700,42.1700,952730,0.0000,1.0000
2019-11-12,42.7700,42.9100,42.4500,42.6500,42.6500,935700,0.0000,1.0000
2019-11-11,42.5700,43.0500,42.5000,42.8400,42.8400,611900,0.0000,1.0000
2019-11-08,43.0100,43.0800,42.6700,42.9300,42.9300,769400,0.0000,1.0000
2019-11-07,43.7400,44.0300,42.9500,43.1400,43.1400,1607900,0.0000,1.0000
2019-11-06,43.7700,43.8700,43.1400,43.3300,43.3300,1714900,0.0000,1.0000
2019-11-05,44.0000,44.0900,43.4800,43.7500,43.7500,1479400,0.0000,1.0000
2019-11-04,43.4500,43.9200,43.3100,43.7400,43.7400,2536200,0.0000,1.0000
2019-11-01,42.0000,43.1700,41.7800,43.0800,43.0800,3103300,0.0000,1.0000
2019-10-31,42.4200,42.9400,41.4400,42.0500,42.0500,2310100,0.0000,1.0000
2019-10-30,41.9400,42.2900,41.5200,41.9800,41.9800,1744900,0.0000,1.0000
2019-10-29,41.7800,42.6200,41.7000,41.8500,41.8500,2368300,0.0000,1.0000
2019-10-28,41.7000,42.2000,41.7000,42.0800,42.0800,1947800,0.0000,1.0000
2019-10-25,41.2000,41.5400,40.9500,41.4400,41.4400,1148000,0.0000,1.0000
2019-10-24,41.1000,41.3200,40.6600,41.2000,41.2000,781600,0.0000,1.0000
2019-10-23,40.9000,41.4700,40.6000,41.2500,41.2500,1022100,0.0000,1.0000
2019-10-22,40.4300,41.0800,39.9600,40.8600,40.8600,1021400,0.0000,1.0000
2019-10-21,40.4800,41.0000,40.3000,40.5400,40.5400,997600,0.0000,1.0000
2019-10-18,39.4500,40.3300,39.2100,40.2200,40.2200,2185100,0.0000,1.0000
2019-10-17,39.3700,39.5200,39.1200,39.3000,39.3000,1133800,0.0000,1.0000
2019-10-16,38.9800,39.5000,38.9500,39.1400,39.1400,1502600,0.0000,1.0000
2019-10-15,38.9500,39.3300,38.7900,39.2800,39.2800,900500,0.0000,1.0000
2019-10-14,38.7100,38.9400,38.3600,38.8300,38.8300,619500,0.0000,1.0000
2019-10-11,38.4700,39.5500,38.4700,38.8200,38.8200,1799200,0.0000,1.0000
2019-10-10,37.4100,38.3900,37.1200,37.8400,37.8400,672400,0.0000,1.0000
2019-10-09,37.4300,37.6500,37.0600,37.2800,37.2800,904200,0.0000,1.0000
2019-10-08,36.9000,37.6600,36.5600,37.0700,37.0700,2584800,0.0000,1.0000
2019-10-07,36.9400,37.6200,36.7800,37.3300,37.3300,1445900,0.0000,1.0000
2019-10-04,36.5800,37.1600,36.5400,37.1000,37.1000,664100,0.0000,1.0000
2019-10-03,36.1400,36.6100,35.5600,36.5900,36.5900,1014100,0.0000,1.0000
2019-10-02,36.1800,36.6000,35.8600,36.4000,36.4000,1296400,0.0000,1.0000
2019-10-01,38.0300,38.1800,36.5000,36.5500,36.5500,1254700,0.0000,1.0000
2019-09-30,37.6300,38.0000,37.3000,37.8000,37.8000,1237100,0.0400,1.0000
2019-09-27,38.0000,38.3600,37.4800,37.7700,37.7300,2266300,0.0000,1.0000
2019-09-26,37.7100,37.7200,37.2200,37.6200,37.5802,1597300,0.0000,1.0000
2019-09-25,37.4300,38.0000,37.2600,37.7500,37.7100,1192000,0.0000,1.0000
2019-09-24,38.0400,38.2200,37.2800,37.5300,37.4903,940100,0.0000,1.0000
2019-09-23,37.5000,38.3200,37.3500,38.1200,38.0796,951800,0.0000,1.0000
2019-09-20,37.9400,38.0900,37.2600,37.5900,37.5502,1374700,0.0000,1.0000
2019-09-19,38.4000,38.4800,37.7700,37.8800,37.8399,674800,0.0000,1.0000
2019-09-18,38.0800,38.4400,37.6500,38.4000,38.3593,1000000,0.0000,1.0000
2019-09-17,38.4300,38.6000,38.0100,38.2200,38.1795,748100,0.0000,1.0000
2019-09-16,38.2200,39.0000,38.0800,38.9200,38.8788,1238700,0.0000,1.0000
2019-09-13,38.1600,38.8100,37.9800,38.1100,38.0696,1522500,0.0000,1.0000
2019-09-12,38.0000,38.1600,37.3100,38.0300,37.9897,1510000,0.0000,1.0000
2019-09-11,38.2700,38.6000,37.1300,38.1100,38.0696,2696900,0.0000,1.0000
2019-09-10,36.4300,38.2700,36.4100,38.2700,38.2295,2330800,0.0000,1.0000
2019-09-09,34.5000,35.6000,34.3900,35.4700,35.4324,1343700,0.0000,1.0000
2019-09-06,34.4200,34.5600,34.1600,34.2200,34.1838,696400,0.0000,1.0000
