timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,268.6000,268.9250,266.4150,266.9100,266.9100,225609,0.0000,1.0000
2019-11-12,265.6700,270.0900,265.6700,269.7500,269.7500,277800,0.0000,1.0000
2019-11-11,264.3100,267.4900,264.3100,266.6600,266.6600,220800,0.0000,1.0000
2019-11-08,262.9600,265.4800,262.3400,265.3500,265.3500,200500,0.0000,1.0000
2019-11-07,261.7600,263.9900,261.0700,263.5900,263.5900,230100,0.0000,1.0000
2019-11-06,258.3300,262.1000,257.8700,261.6800,261.6800,268100,0.0000,1.0000
2019-11-05,259.1000,260.0900,257.3000,259.1800,259.1800,306700,0.0000,1.0000
2019-11-04,260.1500,261.5800,258.1000,258.4300,258.4300,281600,0.0000,1.0000
2019-11-01,257.6700,259.7400,257.3100,259.3500,259.3500,222800,0.0000,1.0000
2019-10-31,254.4300,257.4100,252.5400,257.0900,257.0900,258500,0.0000,1.0000
2019-10-30,256.6000,257.0000,250.5200,254.5500,254.5500,246400,0.0000,1.0000
2019-10-29,249.5300,256.7300,245.7300,256.2400,256.2400,504000,0.0000,1.0000
2019-10-28,249.0800,249.8800,246.3400,247.0200,247.0200,301100,0.0000,1.0000
2019-10-25,249.4100,250.5600,247.2100,248.5900,248.5900,141800,0.0000,1.0000
2019-10-24,249.5300,250.8800,248.0500,249.6700,249.6700,155000,0.0000,1.0000
2019-10-23,248.7600,250.6500,248.4600,249.3000,249.3000,247800,0.0000,1.0000
2019-10-22,252.2200,252.2200,245.5900,248.5100,248.5100,285000,0.0000,1.0000
2019-10-21,252.5200,254.4600,251.4500,253.0200,253.0200,151800,0.0000,1.0000
2019-10-18,249.1200,252.9200,249.1200,251.0800,251.0800,226300,0.0000,1.0000
2019-10-17,252.9300,252.9300,249.3600,249.4600,249.4600,162300,0.0000,1.0000
2019-10-16,250.1000,254.7300,246.2300,252.7200,252.7200,274900,0.0000,1.0000
2019-10-15,251.4700,254.8800,251.1400,251.5400,251.5400,183300,0.0000,1.0000
2019-10-14,250.2500,250.9300,248.3600,250.6100,250.6100,249400,0.0000,1.0000
2019-10-11,251.2700,252.9600,249.1900,250.5000,250.5000,282100,0.0000,1.0000
2019-10-10,249.8400,252.5200,248.3800,249.5000,249.5000,270600,0.0000,1.0000
2019-10-09,251.4900,251.6900,249.8200,250.4800,250.4800,191800,0.0000,1.0000
2019-10-08,253.6600,253.6600,250.0900,250.4500,250.4500,378600,0.0000,1.0000
2019-10-07,258.8700,259.0300,254.5300,254.6600,254.6600,281500,0.0000,1.0000
2019-10-04,257.8900,260.1300,256.9100,259.7000,259.7000,351000,0.0000,1.0000
2019-10-03,259.1000,259.3500,256.1800,257.6100,257.6100,311600,0.0000,1.0000
2019-10-02,263.8100,265.3700,258.1400,259.2000,259.2000,326900,0.0000,1.0000
2019-10-01,266.4100,266.6500,263.6800,263.8500,263.8500,229000,0.0000,1.0000
2019-09-30,266.3100,268.0800,264.9300,266.0900,266.0900,212300,0.0000,1.0000
2019-09-27,267.5400,267.5400,264.3000,265.9800,265.9800,320300,0.0000,1.0000
2019-09-26,263.4600,266.9400,263.0700,266.3600,266.3600,214700,0.0000,1.0000
2019-09-25,265.5300,266.8600,262.6600,263.0600,263.0600,309200,0.0000,1.0000
2019-09-24,265.6000,268.9500,264.9700,266.7600,266.7600,464100,0.0000,1.0000
2019-09-23,262.9800,265.8200,262.4200,265.0000,265.0000,297500,0.0000,1.0000
2019-09-20,263.0000,264.6100,261.7400,264.5000,264.5000,572600,0.0000,1.0000
2019-09-19,262.2600,264.0100,260.9600,262.2900,262.2900,469200,0.0000,1.0000
2019-09-18,260.0500,262.1500,258.9600,261.7500,261.7500,333300,0.0000,1.0000
2019-09-17,254.4100,260.5000,254.4100,260.4400,260.4400,472700,0.0000,1.0000
2019-09-16,254.3900,255.3600,251.9200,254.9500,254.9500,228700,0.0000,1.0000
2019-09-13,252.3600,257.0600,251.3700,256.3900,256.3900,351000,0.0000,1.0000
2019-09-12,255.0500,255.8400,247.8200,251.7000,251.7000,553800,0.0000,1.0000
2019-09-11,250.8400,254.8800,250.6300,254.8200,254.8200,303000,0.0000,1.0000
2019-09-10,252.0600,252.0600,248.7200,251.0200,251.0200,342000,0.0000,1.0000
2019-09-09,250.1800,251.8600,248.6700,251.7700,251.7700,282200,0.0000,1.0000
2019-09-06,249.0200,250.7900,247.8900,249.0000,249.0000,270200,0.0000,1.0000
2019-09-05,248.1200,250.6100,247.6600,248.7400,248.7400,326800,0.0000,1.0000
2019-09-04,240.7500,246.4600,240.7500,246.3600,246.3600,300900,0.0000,1.0000
2019-09-03,237.1500,246.8900,235.8800,241.6700,241.6700,463900,1.4000,1.0000
2019-08-30,240.3900,240.7800,231.5700,235.8800,234.4800,621600,0.0000,1.0000
2019-08-29,240.2200,241.7100,234.0900,239.8900,238.4662,312600,0.0000,1.0000
2019-08-28,244.2700,245.3200,235.2100,239.5100,238.0885,325600,0.0000,1.0000
2019-08-27,248.4700,248.6200,245.0600,245.5500,244.0926,301800,0.0000,1.0000
2019-08-26,245.9400,247.3000,244.4800,247.1700,245.7030,160400,0.0000,1.0000
2019-08-23,247.7400,250.8900,244.0400,244.8800,243.4266,261800,0.0000,1.0000
2019-08-22,248.7400,250.5500,247.1600,248.8500,247.3730,184700,0.0000,1.0000
2019-08-21,247.6400,248.6800,245.9000,247.8500,246.3790,121800,0.0000,1.0000
2019-08-20,249.3600,249.3600,246.5900,246.7900,245.3252,177700,0.0000,1.0000
2019-08-19,251.0200,251.8400,248.9500,249.9200,248.4367,190100,0.0000,1.0000
2019-08-16,247.7900,249.9300,245.7800,249.2900,247.8104,169900,0.0000,1.0000
2019-08-15,246.9300,248.3100,245.7800,246.7500,245.2855,184900,0.0000,1.0000
2019-08-14,250.7900,252.7700,246.2950,246.5600,245.0966,317300,0.0000,1.0000
2019-08-13,250.7300,252.8100,249.2800,252.6400,251.1405,237200,0.0000,1.0000
2019-08-12,251.5300,253.8200,249.2700,250.0500,248.5659,205400,0.0000,1.0000
2019-08-09,251.0200,253.1300,250.1800,251.8400,250.3453,154900,0.0000,1.0000
2019-08-08,248.7800,251.8219,248.7800,251.6000,250.1067,272300,0.0000,1.0000
2019-08-07,242.7200,249.8600,241.6850,248.2000,246.7269,340400,0.0000,1.0000
2019-08-06,238.8800,245.8100,237.4300,244.8500,243.3968,329900,0.0000,1.0000
2019-08-05,241.4900,243.5600,237.6300,239.1500,237.7306,389400,0.0000,1.0000
2019-08-02,243.9700,245.1100,241.1200,243.1200,241.6770,245700,0.0000,1.0000
2019-08-01,246.6000,247.8900,243.9579,244.3300,242.8799,298700,0.0000,1.0000
2019-07-31,250.9200,252.8000,245.0600,246.6400,245.1761,336000,0.0000,1.0000
2019-07-30,258.2200,260.3600,250.7100,251.6900,250.1962,576400,0.0000,1.0000
2019-07-29,259.3700,260.2900,255.8400,256.8000,255.2758,272200,0.0000,1.0000
2019-07-26,255.4700,259.5300,254.4600,259.5200,257.9797,208700,0.0000,1.0000
2019-07-25,254.6400,257.4500,254.5700,255.5200,254.0034,210100,0.0000,1.0000
2019-07-24,253.5400,255.7600,253.2500,255.0000,253.4865,196900,0.0000,1.0000
2019-07-23,253.3100,254.3024,251.3200,253.2100,251.7072,154200,0.0000,1.0000
2019-07-22,252.3000,254.4601,251.7000,253.4100,251.9060,195900,0.0000,1.0000
2019-07-19,252.8500,254.4300,250.1100,252.0100,250.5143,286100,0.0000,1.0000
2019-07-18,251.4900,253.0700,250.3700,252.0600,250.5640,212200,0.0000,1.0000
2019-07-17,254.5600,254.5600,249.7600,251.2100,249.7190,387400,0.0000,1.0000
2019-07-16,258.3300,258.7100,253.8400,255.2700,253.7549,300500,0.0000,1.0000
2019-07-15,258.1500,260.5100,257.1200,258.3000,256.7669,215400,0.0000,1.0000
2019-07-12,257.4000,258.2600,255.6900,257.7200,256.1904,157000,0.0000,1.0000
2019-07-11,258.3700,259.6100,255.6300,256.8800,255.3554,204500,0.0000,1.0000
2019-07-10,257.7000,260.0200,256.8700,258.2700,256.7371,235000,0.0000,1.0000
2019-07-09,254.4200,257.4600,254.0100,257.3900,255.8624,320100,0.0000,1.0000
2019-07-08,253.8400,255.3800,253.2300,254.5100,252.9994,220200,0.0000,1.0000
2019-07-05,254.5400,255.0900,252.4400,254.5100,252.9994,172800,0.0000,1.0000
2019-07-03,251.7700,255.3600,251.7700,254.9600,253.4468,189700,0.0000,1.0000
2019-07-02,251.5900,252.9800,249.4700,251.1400,249.6494,221200,0.0000,1.0000
2019-07-01,247.6608,250.6350,247.2800,250.4800,248.9933,335200,0.0000,1.0000
2019-06-28,245.1300,248.8648,244.7550,247.1800,245.7129,439600,0.0000,1.0000
2019-06-27,242.4700,245.7100,241.7600,244.3600,242.9097,320000,0.0000,1.0000
2019-06-26,251.6200,252.3800,242.5100,242.9300,241.4882,395000,0.0000,1.0000
2019-06-25,251.8200,252.7300,250.8400,251.3100,249.8184,264800,0.0000,1.0000
2019-06-24,250.6500,254.4000,250.0488,251.5100,250.0172,204400,0.0000,1.0000
2019-06-21,253.1711,253.2300,249.9100,250.1500,248.6653,395100,0.0000,1.0000
2019-06-20,251.7800,252.9750,249.1050,252.5600,251.0610,235900,0.0000,1.0000
2019-06-19,250.7300,252.2450,249.8400,251.9600,250.4646,226200,0.0000,1.0000
2019-06-18,250.7500,251.6900,249.3400,250.1400,248.6554,273400,0.0000,1.0000
2019-06-17,251.6600,252.4400,249.9200,250.1600,248.6753,237400,0.0000,1.0000
2019-06-14,250.7900,251.6450,249.8000,251.0500,249.5600,245400,0.0000,1.0000
2019-06-13,250.5100,251.8300,248.5057,250.1100,248.6255,282900,0.0000,1.0000
2019-06-12,249.2000,250.8973,248.3700,250.2800,248.7945,247500,0.0000,1.0000
2019-06-11,253.2500,253.6500,246.9500,249.0500,247.5718,324300,0.0000,1.0000
2019-06-10,253.1400,253.8052,251.3700,252.1700,250.6733,311700,0.0000,1.0000
2019-06-07,253.6300,254.5700,252.2350,252.6500,251.1505,251700,0.0000,1.0000
2019-06-06,252.7500,254.1600,251.1050,252.9100,251.4089,411100,0.0000,1.0000
2019-06-05,248.8200,253.5700,247.3900,253.3100,251.8065,294400,0.0000,1.0000
2019-06-04,251.9000,252.2300,247.1200,248.2700,246.7965,395200,0.0000,1.0000
2019-06-03,247.4400,252.1700,246.7000,251.9300,250.4347,448400,0.0000,1.0000
2019-05-31,245.0900,248.8600,244.1200,247.6600,246.1901,341300,0.0000,1.0000
2019-05-30,244.9200,246.1150,244.0000,245.4200,243.9634,290100,0.0000,1.0000
2019-05-29,244.1500,244.9710,241.5600,244.6300,243.1781,403600,0.0000,1.0000
2019-05-28,248.4200,249.6600,243.7700,244.0600,242.6115,1058900,1.4000,1.0000
2019-05-24,252.0800,252.9900,249.2600,249.9100,247.0350,323000,0.0000,1.0000
2019-05-23,249.4100,251.6891,247.9600,251.6000,248.7056,378700,0.0000,1.0000
2019-05-22,248.6600,250.4400,247.9700,250.3300,247.4502,370200,0.0000,1.0000
2019-05-21,250.2700,252.7300,247.6500,249.3300,246.4617,399400,0.0000,1.0000
2019-05-20,248.2600,251.4700,247.1100,249.5100,246.6396,428600,0.0000,1.0000
2019-05-17,248.0500,249.7400,247.2000,248.2600,245.4040,997600,0.0000,1.0000
2019-05-16,248.6600,251.6773,248.6600,249.4200,246.5507,426600,0.0000,1.0000
2019-05-15,247.2600,249.6600,246.2000,248.2600,245.4040,297900,0.0000,1.0000
2019-05-14,246.2700,250.0000,246.2700,248.4500,245.5918,337500,0.0000,1.0000
2019-05-13,245.6100,247.9400,244.3900,246.5600,243.7236,372300,0.0000,1.0000
2019-05-10,244.5800,248.9500,244.5800,248.7400,245.8785,285800,0.0000,1.0000
2019-05-09,241.3300,246.5800,239.5000,245.6600,242.8339,342800,0.0000,1.0000
2019-05-08,247.0700,249.0400,241.6400,241.8900,239.1073,572500,0.0000,1.0000
2019-05-07,239.6200,249.5500,239.1300,246.8900,244.0498,598000,0.0000,1.0000
2019-05-06,236.0100,239.4750,236.0100,237.7900,235.0545,296000,0.0000,1.0000
2019-05-03,237.5200,238.9600,236.3300,238.6600,235.9145,294800,0.0000,1.0000
2019-05-02,236.8900,239.0700,235.5700,236.7900,234.0660,268000,0.0000,1.0000
2019-05-01,235.6000,238.8659,235.6000,236.4600,233.7398,294400,0.0000,1.0000
2019-04-30,231.5200,235.6800,230.5300,235.5000,232.7908,324000,0.0000,1.0000
2019-04-29,231.0000,233.1400,231.0000,231.3100,228.6490,193700,0.0000,1.0000
2019-04-26,228.0500,231.2100,227.0700,230.7100,228.0559,270000,0.0000,1.0000
2019-04-25,230.3200,230.9000,226.8871,228.5000,225.8714,282900,0.0000,1.0000
2019-04-24,229.7600,232.3650,229.7000,231.2800,228.6194,222500,0.0000,1.0000
2019-04-23,229.2100,230.7020,228.0600,229.7700,227.1268,238500,0.0000,1.0000
2019-04-22,228.3600,228.9766,227.4200,228.5100,225.8812,121700,0.0000,1.0000
2019-04-18,228.6000,230.2850,228.1800,229.0400,226.4051,238900,0.0000,1.0000
2019-04-17,229.8300,229.8400,227.5200,228.6900,226.0592,199400,0.0000,1.0000
2019-04-16,226.3000,229.9000,226.3000,229.3000,226.6621,226700,0.0000,1.0000
2019-04-15,227.9592,227.9600,224.9700,226.2100,223.6077,202700,0.0000,1.0000
2019-04-12,223.5000,227.0900,223.3100,226.3400,223.7362,330500,0.0000,1.0000
2019-04-11,217.9200,222.6300,217.6456,221.9100,219.3572,363300,0.0000,1.0000
2019-04-10,214.5500,216.8500,214.1800,216.8100,214.3158,330100,0.0000,1.0000
2019-04-09,217.9900,217.9900,213.8600,214.6900,212.2202,313300,0.0000,1.0000
2019-04-08,216.5600,219.0800,215.7900,217.9400,215.4328,227200,0.0000,1.0000
2019-04-05,215.2600,216.4804,215.1450,216.3100,213.8216,197400,0.0000,1.0000
2019-04-04,216.1382,217.4600,214.9400,215.2900,212.8133,166900,0.0000,1.0000
2019-04-03,216.1600,216.2600,214.3713,216.1400,213.6535,246800,0.0000,1.0000
2019-04-02,217.6300,217.7507,214.8900,214.8900,212.4179,237900,0.0000,1.0000
2019-04-01,216.5800,218.4500,216.1250,217.3300,214.8298,232000,0.0000,1.0000
2019-03-29,215.7500,216.3166,214.6400,215.9600,213.4756,215500,0.0000,1.0000
2019-03-28,213.0103,215.7100,213.0200,215.3700,212.8924,246200,0.0000,1.0000
2019-03-27,215.6100,217.1020,214.4800,214.6500,212.1807,217000,0.0000,1.0000
2019-03-26,215.7445,216.2600,214.6500,215.4800,213.0011,220800,0.0000,1.0000
2019-03-25,215.1700,215.9850,214.1300,214.8000,212.3290,246900,0.0000,1.0000
2019-03-22,214.7600,217.4000,214.7200,214.9900,212.5168,345800,0.0000,1.0000
2019-03-21,211.1400,216.0100,210.1300,215.4800,213.0011,223100,0.0000,1.0000
2019-03-20,218.5000,219.0200,211.6500,211.9500,209.5117,375900,0.0000,1.0000
2019-03-19,220.7700,221.7800,218.4800,218.8900,216.3719,181600,0.0000,1.0000
2019-03-18,219.9200,221.5000,219.9200,220.3900,217.8546,239100,0.0000,1.0000
2019-03-15,218.5100,221.6700,218.1900,219.0500,216.5301,595900,0.0000,1.0000
2019-03-14,218.5700,219.7900,218.1200,219.0100,216.4905,220000,0.0000,1.0000
2019-03-13,218.5000,220.4000,218.1500,218.3100,215.7986,275100,0.0000,1.0000
2019-03-12,218.6200,220.2800,218.0200,218.2300,215.7195,330000,0.0000,1.0000
2019-03-11,217.1500,219.4969,216.4900,217.9300,215.4229,285400,0.0000,1.0000
2019-03-08,216.5400,218.0780,215.9300,216.7800,214.2862,281700,0.0000,1.0000
2019-03-07,221.9900,221.9900,218.1000,218.1400,215.6305,256600,0.0000,1.0000
2019-03-06,223.7500,225.4100,222.0900,222.1100,219.5549,251100,0.0000,1.0000
2019-03-05,223.4100,224.9197,222.8900,223.0300,220.4643,298200,1.4000,1.0000
2019-03-04,225.1400,226.8050,222.5200,224.8800,220.9091,209400,0.0000,1.0000
2019-03-01,226.6400,227.6400,223.4600,225.3900,221.4101,210000,0.0000,1.0000
2019-02-28,224.8300,226.3000,223.0900,226.1100,222.1174,231900,0.0000,1.0000
2019-02-27,222.6500,224.9500,221.9500,224.2900,220.3295,255800,0.0000,1.0000
