timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,195.6800,200.8200,194.5600,198.0700,198.0700,1496499,0.0000,1.0000
2019-11-12,201.0300,207.1100,196.3400,198.0100,198.0100,4117500,0.0000,1.0000
2019-11-11,177.1200,181.0000,176.8400,179.2000,179.2000,1210100,0.0000,1.0000
2019-11-08,176.6400,178.1500,176.2700,177.8200,177.8200,627300,1.0200,1.0000
2019-11-07,180.4300,180.8400,177.6800,178.0500,177.0300,1058400,0.0000,1.0000
2019-11-06,181.4500,181.4600,177.6800,178.4200,177.3979,1123700,0.0000,1.0000
2019-11-05,182.0800,183.3600,180.9600,181.8700,180.8281,802200,0.0000,1.0000
2019-11-04,179.9700,181.9300,178.9700,181.8500,180.8082,777900,0.0000,1.0000
2019-11-01,173.3900,177.7000,173.3100,177.7000,176.6820,661900,0.0000,1.0000
2019-10-31,174.8200,175.2000,170.8900,171.9900,171.0047,658200,0.0000,1.0000
2019-10-30,174.5400,175.2200,171.9200,175.2000,174.1963,802700,0.0000,1.0000
2019-10-29,175.6400,177.5900,174.5800,174.9400,173.9378,965100,0.0000,1.0000
2019-10-28,178.7100,179.3200,175.5300,176.7400,175.7275,790100,0.0000,1.0000
2019-10-25,174.9900,177.8200,173.8300,177.3800,176.3638,716400,0.0000,1.0000
2019-10-24,173.2400,174.4500,171.8700,173.6300,172.6353,551600,0.0000,1.0000
2019-10-23,171.6800,173.9900,170.3200,172.2400,171.2533,760400,0.0000,1.0000
2019-10-22,171.3800,173.5200,169.8100,170.9800,170.0005,811300,0.0000,1.0000
2019-10-21,169.8600,171.7400,169.7500,171.6200,170.6368,533800,0.0000,1.0000
2019-10-18,166.6400,169.7600,166.4800,169.1900,168.2208,971700,0.0000,1.0000
2019-10-17,166.6400,169.0900,166.0300,166.3600,165.4070,691100,0.0000,1.0000
2019-10-16,166.3200,167.8200,164.8600,164.9500,164.0051,780200,0.0000,1.0000
2019-10-15,164.7000,168.3000,163.9300,167.3700,166.4112,875700,0.0000,1.0000
2019-10-14,162.4000,164.6900,160.6900,164.1300,163.1897,469700,0.0000,1.0000
2019-10-11,158.0700,166.2600,158.0700,164.1000,163.1599,1504600,0.0000,1.0000
2019-10-10,153.5700,156.5600,152.6100,154.8000,153.9132,667900,0.0000,1.0000
2019-10-09,154.9900,154.9900,152.9600,153.9100,153.0283,760200,0.0000,1.0000
2019-10-08,154.8000,155.2900,152.6700,153.2800,152.4019,593700,0.0000,1.0000
2019-10-07,159.2300,159.3900,156.8200,156.9400,156.0409,664900,0.0000,1.0000
2019-10-04,158.4100,159.4300,156.8900,159.3700,158.4570,486800,0.0000,1.0000
2019-10-03,155.1000,158.4800,153.0600,158.3700,157.4627,815000,0.0000,1.0000
2019-10-02,160.5900,160.5900,153.7900,155.8300,154.9373,1651600,0.0000,1.0000
2019-10-01,166.3700,167.9400,162.0800,162.2900,161.3603,959500,0.0000,1.0000
2019-09-30,162.0000,165.2000,160.0100,164.8000,163.8559,1149700,0.0000,1.0000
2019-09-27,164.7900,166.4900,163.0000,166.2500,165.2976,757700,0.0000,1.0000
2019-09-26,162.2300,164.9100,162.2300,163.4900,162.5534,986800,0.0000,1.0000
2019-09-25,160.7300,163.0300,158.5900,162.4200,161.4895,888000,0.0000,1.0000
2019-09-24,164.3700,164.6800,160.6200,161.1400,160.2169,1241300,0.0000,1.0000
2019-09-23,160.9500,164.7900,160.0200,164.1700,163.2295,1009700,0.0000,1.0000
2019-09-20,164.2400,165.0200,161.8300,162.0600,161.1316,1625100,0.0000,1.0000
2019-09-19,163.6700,165.1200,162.9600,163.0100,162.0762,1044200,0.0000,1.0000
2019-09-18,163.0400,164.5000,161.5000,163.5800,162.6429,1203100,0.0000,1.0000
2019-09-17,164.4100,164.7900,161.7400,164.0600,163.1201,791000,0.0000,1.0000
2019-09-16,166.0800,167.1500,164.8400,165.8000,164.8502,1150100,0.0000,1.0000
2019-09-13,167.5800,170.1000,165.9100,166.7500,165.7947,997800,0.0000,1.0000
2019-09-12,165.0000,167.7400,163.5100,166.1300,165.1783,1071000,0.0000,1.0000
2019-09-11,161.7700,163.8700,160.0400,163.7800,162.8418,917600,0.0000,1.0000
2019-09-10,161.9700,163.8700,160.4500,163.8700,162.9312,857200,0.0000,1.0000
2019-09-09,162.0100,163.4200,161.4000,161.9900,161.0620,852700,0.0000,1.0000
2019-09-06,158.6600,161.7000,157.8600,161.0400,160.1174,1034600,0.0000,1.0000
2019-09-05,153.1300,160.1100,152.8400,158.7000,157.7908,1086300,0.0000,1.0000
2019-09-04,150.1000,150.6500,148.8300,149.8300,148.9717,665100,0.0000,1.0000
2019-09-03,150.9500,151.0000,145.9300,148.2300,147.3808,722400,0.0000,1.0000
2019-08-30,152.8900,153.7000,152.5300,152.7900,151.9147,728200,0.0000,1.0000
2019-08-29,149.9200,151.7900,149.9200,151.2400,150.3736,630300,0.0000,1.0000
2019-08-28,145.6500,148.2800,144.6600,147.8900,147.0428,547600,0.0000,1.0000
2019-08-27,146.0000,146.7500,145.0600,146.2500,145.4122,582700,0.0000,1.0000
2019-08-26,148.8800,150.3100,143.9100,144.5500,143.7219,1258500,0.0000,1.0000
2019-08-23,151.2100,152.0700,146.9200,147.8700,147.0229,793500,0.0000,1.0000
2019-08-22,152.5100,153.4300,150.7200,152.5100,151.6363,504600,0.0000,1.0000
2019-08-21,153.0200,153.3600,151.0800,151.8800,151.0099,433600,0.0000,1.0000
2019-08-20,152.9900,152.9900,150.4000,150.7000,149.8367,512300,0.0000,1.0000
2019-08-19,152.8600,153.5400,151.5400,153.2400,152.3621,621400,0.0000,1.0000
2019-08-16,147.3200,150.6600,145.1700,150.3100,149.4489,853100,0.0000,1.0000
2019-08-15,147.3400,147.3400,145.1700,145.9300,145.0940,782700,0.0000,1.0000
2019-08-14,150.0000,150.5200,146.6200,146.9200,146.0783,931800,0.0000,1.0000
2019-08-13,149.4836,155.9200,149.1900,153.0400,152.1633,1001700,0.0000,1.0000
2019-08-12,152.7237,153.0100,149.4800,149.9000,149.1009,769800,0.0000,1.0000
2019-08-09,154.3500,154.9890,152.3850,153.4900,152.6107,851800,0.9700,1.0000
2019-08-08,153.0637,156.6400,152.8300,156.3900,154.5296,1159400,0.0000,1.0000
2019-08-07,150.3000,152.0600,148.1400,151.9300,150.1227,1052300,0.0000,1.0000
2019-08-06,151.8300,153.3300,151.1000,153.1300,151.3084,928900,0.0000,1.0000
2019-08-05,151.0100,152.2600,149.3900,150.8000,149.0061,1243800,0.0000,1.0000
2019-08-02,155.0700,155.4700,152.7163,153.8000,151.9705,1118700,0.0000,1.0000
2019-08-01,160.3300,162.8300,154.9601,155.7600,153.9071,1557400,0.0000,1.0000
2019-07-31,165.3189,165.3300,158.8500,160.7800,158.8674,1270500,0.0000,1.0000
2019-07-30,161.9300,165.7500,161.3100,165.3900,163.4226,1157900,0.0000,1.0000
2019-07-29,164.4700,165.3000,162.5100,163.2500,161.3080,1096700,0.0000,1.0000
2019-07-26,167.2600,167.4500,163.5100,164.6200,162.6617,1087700,0.0000,1.0000
2019-07-25,160.5500,169.0479,160.4100,167.2200,165.2308,2440000,0.0000,1.0000
2019-07-24,165.3000,169.7700,163.3100,168.8800,166.8711,1911200,0.0000,1.0000
2019-07-23,160.2527,167.0500,160.0100,166.7200,164.7368,1253800,0.0000,1.0000
2019-07-22,159.9900,161.8100,159.1000,159.3100,157.4149,770100,0.0000,1.0000
2019-07-19,159.5400,161.6600,158.9900,159.9500,158.0473,1077500,0.0000,1.0000
2019-07-18,159.4700,160.2200,158.0000,159.1500,157.2568,668900,0.0000,1.0000
2019-07-17,161.9900,162.4300,159.5600,159.9400,158.0374,1061000,0.0000,1.0000
2019-07-16,158.9300,165.4600,157.5900,162.5700,160.6361,1842800,0.0000,1.0000
2019-07-15,160.3500,161.0300,158.8000,159.2900,157.3951,903900,0.0000,1.0000
2019-07-12,157.2500,161.0300,156.2500,160.3600,158.4524,1107700,0.0000,1.0000
2019-07-11,154.1100,156.3200,152.3800,156.2000,154.3419,1073200,0.0000,1.0000
2019-07-10,155.9500,156.6400,152.9200,153.5700,151.7432,1177900,0.0000,1.0000
2019-07-09,156.1200,157.2800,154.6300,155.1500,153.3044,1164700,0.0000,1.0000
2019-07-08,158.5900,160.6000,157.3900,157.4400,155.5672,780900,0.0000,1.0000
2019-07-05,162.5900,162.5900,156.9390,159.3900,157.4939,1047300,0.0000,1.0000
2019-07-03,163.0000,164.0600,162.7250,164.0600,162.1084,423900,0.0000,1.0000
2019-07-02,164.2600,164.5200,161.4500,162.8600,160.9227,687100,0.0000,1.0000
2019-07-01,166.0500,166.8700,163.4400,164.6000,162.6420,714500,0.0000,1.0000
2019-06-28,162.7400,164.6200,162.3500,163.8300,161.8811,955500,0.0000,1.0000
2019-06-27,162.3700,164.1500,161.3600,162.1300,160.2014,432500,0.0000,1.0000
2019-06-26,161.8275,163.0900,161.3800,162.3700,160.4385,571100,0.0000,1.0000
2019-06-25,162.9400,163.3300,160.9400,161.1600,159.2429,567200,0.0000,1.0000
2019-06-24,162.0800,163.8000,161.2400,162.1700,160.2409,443200,0.0000,1.0000
2019-06-21,163.5200,164.0700,161.6500,162.7200,160.7843,1051800,0.0000,1.0000
2019-06-20,161.0781,163.9500,159.5550,163.0500,161.1104,988700,0.0000,1.0000
2019-06-19,159.4708,159.6800,156.9200,158.7000,156.8122,777500,0.0000,1.0000
2019-06-18,157.2700,160.5920,156.1900,158.7700,156.8813,846700,0.0000,1.0000
2019-06-17,156.6200,157.9700,155.6600,155.8500,153.9961,577300,0.0000,1.0000
2019-06-14,158.3600,158.9100,155.3500,156.5300,154.6680,478200,0.0000,1.0000
2019-06-13,159.0100,159.3400,157.8700,159.3100,157.4149,374200,0.0000,1.0000
2019-06-12,158.8500,159.5050,156.7800,157.9800,156.1007,591700,0.0000,1.0000
2019-06-11,161.0200,161.4300,158.8500,159.0800,157.1876,1018000,0.0000,1.0000
2019-06-10,158.0600,160.5000,158.0600,158.8100,156.9209,798200,0.0000,1.0000
2019-06-07,157.3100,158.1100,155.2900,157.1300,155.2608,905700,0.0000,1.0000
2019-06-06,157.5300,158.5000,154.4000,156.1800,154.3221,825200,0.0000,1.0000
2019-06-05,158.0700,158.6000,155.0900,157.1300,155.2608,1054100,0.0000,1.0000
2019-06-04,154.0300,157.2700,152.7300,157.0600,155.1917,1109700,0.0000,1.0000
2019-06-03,148.7000,151.8500,148.7000,150.3000,148.5121,1019400,0.0000,1.0000
2019-05-31,153.1000,153.1000,148.1000,148.8500,147.0793,1575800,0.0000,1.0000
2019-05-30,153.8100,156.0700,153.8100,155.4300,153.5811,1254000,0.0000,1.0000
2019-05-29,151.6300,153.8000,151.1100,153.1100,151.2887,1074300,0.0000,1.0000
2019-05-28,155.2500,156.0000,151.5100,151.5700,149.7670,1188200,0.0000,1.0000
2019-05-24,156.3900,156.6000,153.9600,154.7800,152.9388,767800,0.0000,1.0000
2019-05-23,156.4500,158.9400,154.4300,155.1400,153.2945,972400,0.0000,1.0000
2019-05-22,160.9000,161.6000,159.4000,159.4000,157.5038,489500,0.0000,1.0000
2019-05-21,159.9500,162.4900,159.9500,161.5100,159.5887,760800,0.0000,1.0000
2019-05-20,158.7707,160.7200,157.4500,158.5800,156.6936,685000,0.0000,1.0000
2019-05-17,161.1000,162.9500,160.1900,160.3200,158.4129,579900,0.0000,1.0000
2019-05-16,162.8600,164.3470,162.4000,162.9800,161.0412,526800,0.0000,1.0000
