timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,37.3100,37.8200,37.3100,37.4400,37.4400,2528011,0.0000,1.0000
2019-11-12,38.3400,38.3900,37.4800,37.5000,37.5000,1115500,0.0000,1.0000
2019-11-11,38.4000,38.5800,38.2700,38.3400,38.3400,456500,0.0000,1.0000
2019-11-08,38.8000,38.9700,38.5600,38.6800,38.6800,710800,0.0000,1.0000
2019-11-07,38.3500,39.0800,38.3500,38.8800,38.8800,1120100,0.1550,1.0000
2019-11-06,39.0200,39.0900,38.3800,38.4200,38.2650,879500,0.0000,1.0000
2019-11-05,38.6600,38.8100,38.4900,38.6800,38.5240,719700,0.0000,1.0000
2019-11-04,38.8700,38.9900,38.2600,38.6300,38.4742,754100,0.0000,1.0000
2019-11-01,38.3000,38.7000,38.0800,38.6700,38.5140,973900,0.0000,1.0000
2019-10-31,38.0600,38.4100,37.8600,38.1100,37.9563,840300,0.0000,1.0000
2019-10-30,38.1700,38.4700,38.0600,38.1200,37.9662,808500,0.0000,1.0000
2019-10-29,37.9400,38.2500,37.8100,38.1700,38.0160,1312000,0.0000,1.0000
2019-10-28,38.5200,38.9800,37.9600,38.0000,37.8467,1872700,0.0000,1.0000
2019-10-25,38.5300,38.7600,38.1400,38.3800,38.2252,875800,0.0000,1.0000
2019-10-24,38.5300,38.6800,37.9200,38.6000,38.4443,1139300,0.0000,1.0000
2019-10-23,37.2500,40.0700,37.2500,38.5300,38.3746,3814900,0.0000,1.0000
2019-10-22,36.1400,36.4400,35.7900,35.9800,35.8348,2028800,0.0000,1.0000
2019-10-21,36.1500,36.6300,35.9300,36.6200,36.4723,1168000,0.0000,1.0000
2019-10-18,35.6600,36.2500,35.5500,35.9600,35.8149,835000,0.0000,1.0000
2019-10-17,35.5200,35.7900,35.4100,35.6300,35.4863,1755600,0.0000,1.0000
2019-10-16,35.2700,35.4600,35.1000,35.3900,35.2472,823100,0.0000,1.0000
2019-10-15,35.2100,35.4100,35.1000,35.2900,35.1476,581600,0.0000,1.0000
2019-10-14,35.0400,35.1600,34.8700,35.0600,34.9186,676700,0.0000,1.0000
2019-10-11,35.1900,35.5100,35.0000,35.1700,35.0281,1257500,0.0000,1.0000
2019-10-10,34.4800,34.8400,34.3400,34.8200,34.6795,620200,0.0000,1.0000
2019-10-09,34.3300,34.6300,34.1700,34.4900,34.3509,1153000,0.0000,1.0000
2019-10-08,33.9800,34.4300,33.8700,34.0500,33.9126,1160000,0.0000,1.0000
2019-10-07,34.4300,34.4800,34.1500,34.2200,34.0819,643500,0.0000,1.0000
2019-10-04,34.1400,34.6700,34.0600,34.4600,34.3210,893800,0.0000,1.0000
2019-10-03,33.3800,34.0600,33.0400,34.0100,33.8728,921500,0.0000,1.0000
2019-10-02,33.2500,33.5900,33.0700,33.4100,33.2752,1379900,0.0000,1.0000
2019-10-01,34.1900,34.4100,33.4900,33.5000,33.3648,1139700,0.0000,1.0000
2019-09-30,33.4800,34.1700,33.4200,34.0700,33.9325,2442500,0.0000,1.0000
2019-09-27,33.8400,33.8400,32.9200,33.4400,33.3051,1275200,0.0000,1.0000
2019-09-26,34.0000,34.1400,33.7200,33.8200,33.6836,1182800,0.0000,1.0000
2019-09-25,34.2600,34.4700,33.9300,33.9900,33.8529,1157300,0.0000,1.0000
2019-09-24,34.1800,34.2800,33.8200,34.0900,33.9525,1223200,0.0000,1.0000
2019-09-23,34.5300,34.7500,34.0100,34.0800,33.9425,1308400,0.0000,1.0000
2019-09-20,34.8500,35.0700,34.5400,34.5500,34.4106,3315700,0.0000,1.0000
2019-09-19,34.6200,34.8600,34.4900,34.7600,34.6198,1020600,0.0000,1.0000
2019-09-18,34.9900,34.9900,34.2200,34.5700,34.4305,1408700,0.0000,1.0000
2019-09-17,34.6900,35.0400,34.6100,35.0000,34.8588,1319300,0.0000,1.0000
2019-09-16,34.3700,34.7500,34.2900,34.6400,34.5002,1272100,0.0000,1.0000
2019-09-13,34.9300,34.9700,34.3100,34.5400,34.4007,962600,0.0000,1.0000
2019-09-12,34.8000,34.8700,34.5700,34.7200,34.5799,898800,0.0000,1.0000
2019-09-11,34.6400,34.9500,34.4600,34.8100,34.6696,1193900,0.0000,1.0000
2019-09-10,34.2200,34.7600,33.8700,34.5600,34.4206,1574300,0.0000,1.0000
2019-09-09,34.0500,34.3400,33.7500,34.3200,34.1815,1144600,0.0000,1.0000
2019-09-06,34.2100,34.3700,33.7900,33.9200,33.7832,1052500,0.0000,1.0000
2019-09-05,33.9300,34.6300,33.8300,34.2000,34.0620,2449200,0.0000,1.0000
2019-09-04,33.4100,33.6600,33.1100,33.5800,33.4445,1312200,0.0000,1.0000
2019-09-03,32.5600,33.1700,32.5500,33.1400,33.0063,1883300,0.0000,1.0000
2019-08-30,32.8300,32.9900,32.6300,32.8100,32.6776,1190100,0.0000,1.0000
2019-08-29,32.3100,32.7000,32.3100,32.6400,32.5083,891100,0.0000,1.0000
2019-08-28,31.4300,32.0100,31.3600,31.9900,31.8609,942800,0.0000,1.0000
2019-08-27,32.0100,32.5800,31.4900,31.5300,31.4028,1239900,0.0000,1.0000
2019-08-26,32.0400,32.2900,31.6200,31.7200,31.5920,1377800,0.0000,1.0000
2019-08-23,32.7700,32.8800,31.8300,31.9700,31.8410,1198700,0.0000,1.0000
2019-08-22,33.1900,33.4000,32.9200,33.0100,32.8768,844800,0.0000,1.0000
2019-08-21,33.4300,33.4700,33.0700,33.2300,33.0959,778700,0.0000,1.0000
2019-08-20,33.0800,33.2900,32.7200,33.1600,33.0262,1332100,0.0000,1.0000
2019-08-19,33.3800,33.4800,32.9700,33.2500,33.1159,1075800,0.0000,1.0000
2019-08-16,32.7600,33.5400,32.1300,33.0500,32.9167,1474900,0.0000,1.0000
2019-08-15,32.3400,32.6100,32.1271,32.5500,32.4187,1043100,0.0000,1.0000
2019-08-14,32.1600,32.5400,32.0200,32.2000,32.0701,1540700,0.0000,1.0000
2019-08-13,32.3000,32.8700,32.2600,32.5600,32.4286,823900,0.0000,1.0000
2019-08-12,32.7700,32.8932,32.2200,32.5000,32.3689,1004100,0.0000,1.0000
2019-08-09,33.2274,33.3800,32.9200,32.9300,32.7971,747100,0.0000,1.0000
2019-08-08,32.9300,33.2600,32.6700,33.2100,33.0760,1233300,0.1050,1.0000
2019-08-07,32.2200,32.8500,31.8050,32.7200,32.4834,2270500,0.0000,1.0000
2019-08-06,32.3300,32.9700,32.1600,32.5100,32.2749,2711200,0.0000,1.0000
2019-08-05,32.5100,32.7400,31.8700,32.1500,31.9175,2261400,0.0000,1.0000
2019-08-02,32.9303,33.1400,32.5600,33.0100,32.7713,1835300,0.0000,1.0000
2019-08-01,33.5700,34.0800,33.0100,33.0700,32.8309,1899700,0.0000,1.0000
2019-07-31,34.0000,34.2100,33.4100,33.5300,33.2876,986300,0.0000,1.0000
2019-07-30,33.8000,34.2900,33.6100,34.0100,33.7641,1631500,0.0000,1.0000
2019-07-29,34.2600,34.6900,33.7200,33.8800,33.6350,1181000,0.0000,1.0000
2019-07-26,34.1900,34.4900,33.0000,34.2600,34.0123,2540700,0.0000,1.0000
2019-07-25,33.6900,34.6600,33.0600,34.0200,33.7740,2483900,0.0000,1.0000
2019-07-24,37.5300,37.5300,33.8000,34.1600,33.9130,8937400,0.0000,1.0000
2019-07-23,38.2400,38.3400,37.7803,38.1500,37.8742,1909200,0.0000,1.0000
2019-07-22,37.8100,38.2800,37.6000,38.0300,37.7550,1152900,0.0000,1.0000
2019-07-19,38.0700,38.1000,37.7800,37.8200,37.5465,944300,0.0000,1.0000
2019-07-18,37.7700,38.1000,37.7000,37.9000,37.6260,630400,0.0000,1.0000
2019-07-17,37.7800,38.2400,37.7200,37.8000,37.5267,839900,0.0000,1.0000
2019-07-16,37.6276,38.1000,37.6300,37.7700,37.4969,818900,0.0000,1.0000
2019-07-15,37.4600,37.8600,37.3900,37.6700,37.3976,690900,0.0000,1.0000
2019-07-12,37.3000,37.5700,36.9200,37.4600,37.1891,662700,0.0000,1.0000
2019-07-11,37.2800,37.3800,36.9900,37.2700,37.0005,520800,0.0000,1.0000
2019-07-10,36.9900,37.5000,36.9900,37.2300,36.9608,958700,0.0000,1.0000
2019-07-09,36.9200,37.0500,36.6100,37.0200,36.7523,750900,0.0000,1.0000
2019-07-08,37.0900,37.2000,36.7200,37.0600,36.7920,1253700,0.0000,1.0000
2019-07-05,37.0000,37.2200,36.7900,37.1900,36.9211,794000,0.0000,1.0000
2019-07-03,36.8500,37.2387,36.8300,37.0600,36.7920,702900,0.0000,1.0000
2019-07-02,36.2300,37.0615,36.2300,36.6800,36.4148,1866400,0.0000,1.0000
2019-07-01,36.1100,36.5700,36.0100,36.2400,35.9780,1175000,0.0000,1.0000
2019-06-28,36.6100,36.6100,35.3100,35.8700,35.6106,3635300,0.0000,1.0000
2019-06-27,35.4100,36.8700,35.3994,36.6300,36.3652,4129700,0.0000,1.0000
2019-06-26,34.7800,35.4350,34.0000,35.4100,35.1540,7091900,0.0000,1.0000
2019-06-25,36.6700,36.8700,36.3500,36.6400,36.3751,1513300,0.0000,1.0000
2019-06-24,37.4300,37.6900,36.5950,36.6500,36.3850,1336600,0.0000,1.0000
2019-06-21,37.8500,37.8647,37.5100,37.5800,37.3083,1336400,0.0000,1.0000
2019-06-20,38.0000,38.2550,37.7800,37.9700,37.6955,1275700,0.0000,1.0000
2019-06-19,37.6700,37.9300,37.5050,37.8500,37.5763,966500,0.0000,1.0000
2019-06-18,37.6006,37.9300,37.6000,37.6900,37.4175,1018900,0.0000,1.0000
2019-06-17,37.7300,37.9700,37.4550,37.4800,37.2090,565600,0.0000,1.0000
2019-06-14,37.7000,37.7781,37.3800,37.6500,37.3778,688800,0.0000,1.0000
2019-06-13,37.9000,38.0600,37.6000,37.7500,37.4771,548600,0.0000,1.0000
2019-06-12,37.5700,37.9100,37.5700,37.7900,37.5168,815100,0.0000,1.0000
2019-06-11,38.2916,38.3250,37.3550,37.5400,37.2686,932100,0.0000,1.0000
2019-06-10,38.6600,38.8700,38.1700,38.2200,37.9437,762800,0.0000,1.0000
2019-06-07,38.2100,38.8127,37.9930,38.4900,38.2117,940700,0.0000,1.0000
2019-06-06,37.9800,38.1400,37.6000,37.9700,37.6955,741700,0.0000,1.0000
2019-06-05,38.1615,38.2100,37.5950,37.9900,37.7153,856900,0.0000,1.0000
2019-06-04,37.4300,38.0050,37.3500,37.9700,37.6955,820800,0.0000,1.0000
2019-06-03,37.5200,37.9400,37.1300,37.3200,37.0502,1695000,0.0000,1.0000
2019-05-31,37.3300,37.9100,37.2800,37.5700,37.2984,1351600,0.0000,1.0000
2019-05-30,37.0000,37.7800,36.9650,37.7300,37.4572,963400,0.0000,1.0000
2019-05-29,36.3900,36.9800,36.2400,36.9200,36.6530,1072500,0.0000,1.0000
2019-05-28,37.1500,37.2870,36.4700,36.5800,36.3155,1854300,0.0000,1.0000
