timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,341.3300,349.4000,340.1600,348.5900,348.5900,835471,0.0000,1.0000
2019-11-12,339.8900,343.8200,338.7200,343.2800,343.2800,446600,0.0000,1.0000
2019-11-11,335.2300,339.4600,334.9100,337.9400,337.9400,350900,0.0000,1.0000
2019-11-08,338.8500,341.3700,336.2000,337.5000,337.5000,440300,0.0000,1.0000
2019-11-07,345.4400,349.0600,338.2500,340.3300,340.3300,464000,0.0000,1.0000
2019-11-06,339.9000,343.9700,338.5800,343.9700,343.9700,543300,0.0000,1.0000
2019-11-05,339.0400,342.0100,337.4000,340.9500,340.9500,723500,0.0000,1.0000
2019-11-04,345.0000,345.4900,338.1900,338.9900,338.9900,543100,0.0000,1.0000
2019-11-01,340.0900,342.5600,338.8700,342.1100,342.1100,478600,0.0000,1.0000
2019-10-31,338.2200,338.7300,332.1800,336.9600,336.9600,520100,0.0000,1.0000
2019-10-30,343.1100,343.1100,337.5200,338.2900,338.2900,359700,0.0000,1.0000
2019-10-29,330.7600,343.1600,330.7600,341.8400,341.8400,657500,0.0000,1.0000
2019-10-28,334.3300,335.8400,331.2600,332.9500,332.9500,658500,0.0000,1.0000
2019-10-25,331.1400,335.1800,330.5700,334.4700,334.4700,704000,0.0000,1.0000
2019-10-24,338.6400,339.1500,322.2000,332.3300,332.3300,1069200,0.0000,1.0000
2019-10-23,332.0900,335.2900,331.5400,334.9200,334.9200,736300,0.0000,1.0000
2019-10-22,335.9100,338.2300,332.4000,332.7300,332.7300,628600,0.0000,1.0000
2019-10-21,340.5600,342.0900,335.3000,337.0300,337.0300,588700,0.0000,1.0000
2019-10-18,339.8800,342.2800,337.4800,337.9200,337.9200,416100,0.0000,1.0000
2019-10-17,338.1000,341.2700,337.2000,340.7500,340.7500,517100,0.0000,1.0000
2019-10-16,338.6500,340.2000,335.3200,335.6800,335.6800,520400,0.0000,1.0000
2019-10-15,340.1600,341.4100,338.5900,338.9900,338.9900,440500,0.0000,1.0000
2019-10-14,342.2100,342.6300,338.3400,338.7000,338.7000,302200,0.0000,1.0000
2019-10-11,344.0900,348.3500,342.0600,342.4800,342.4800,464900,0.0000,1.0000
2019-10-10,337.0900,342.0000,337.0900,340.0500,340.0500,344200,0.0000,1.0000
2019-10-09,336.2200,338.9800,333.9900,338.4000,338.4000,414400,0.0000,1.0000
2019-10-08,335.0500,337.2000,332.4500,332.5800,332.5800,555400,0.0000,1.0000
2019-10-07,342.7900,343.1700,338.3700,338.5600,338.5600,429300,0.0000,1.0000
2019-10-04,340.8400,345.7600,340.0800,344.7300,344.7300,340100,0.0000,1.0000
2019-10-03,336.2900,340.6400,333.6700,340.0800,340.0800,392500,0.4630,1.0000
2019-10-02,341.6500,341.6800,332.4900,337.9000,337.4370,839100,0.0000,1.0000
2019-10-01,357.9300,359.9700,345.1600,345.4500,344.9767,460100,0.0000,1.0000
