timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,215.5000,217.2804,214.8500,215.3700,215.3700,1031738,0.0000,1.0000
2019-11-12,215.7000,217.3200,214.2300,216.8800,216.8800,875600,0.0000,1.0000
2019-11-11,215.0900,217.2000,214.7800,216.0000,216.0000,624300,0.0000,1.0000
2019-11-08,214.7800,216.3000,211.5400,215.8400,215.8400,1158400,0.0000,1.0000
2019-11-07,216.1900,217.3300,214.7800,215.0000,215.0000,1065600,0.0000,1.0000
2019-11-06,213.0900,215.8000,212.5500,215.3300,215.3300,1358600,0.0000,1.0000
2019-11-05,214.0800,214.0900,211.5100,213.0900,213.0900,1992500,0.0000,1.0000
2019-11-04,216.4400,218.0000,212.1600,214.3400,214.3400,2312900,0.0000,1.0000
2019-11-01,213.2700,217.1900,213.2700,216.0900,216.0900,1736900,0.0000,1.0000
2019-10-31,213.7200,215.1800,211.9400,212.2100,212.2100,1269900,0.0000,1.0000
2019-10-30,211.3700,214.7200,210.2400,214.3200,214.3200,1069000,0.0000,1.0000
2019-10-29,210.9300,213.5000,210.8200,211.6500,211.6500,1526100,0.0000,1.0000
2019-10-28,212.1100,216.5400,211.1700,211.6100,211.6100,1968900,0.0000,1.0000
2019-10-25,212.5000,215.3600,209.5000,212.1500,212.1500,2039600,0.0000,1.0000
2019-10-24,205.0000,214.0600,203.6000,211.2100,211.2100,3277300,0.0000,1.0000
2019-10-23,203.8400,204.2800,201.8900,203.5500,203.5500,1149100,0.0000,1.0000
2019-10-22,204.0000,207.4800,203.0000,204.7100,204.7100,2183700,0.0000,1.0000
2019-10-21,199.6400,203.2100,199.2800,202.2400,202.2400,1354100,0.0000,1.0000
2019-10-18,200.0900,200.1400,197.6500,199.7500,199.7500,1689700,0.0000,1.0000
2019-10-17,203.9600,203.9600,199.1100,199.3500,199.3500,1475900,0.0000,1.0000
2019-10-16,199.3300,203.2500,199.3300,200.3800,200.3800,1466600,0.0000,1.0000
2019-10-15,199.8800,202.7000,199.0300,199.4300,199.4300,961500,0.0000,1.0000
2019-10-14,198.8600,200.2700,197.9000,199.3800,199.3800,1525300,0.0000,1.0000
2019-10-11,199.7900,201.2300,197.3100,198.7200,198.7200,2142900,0.0000,1.0000
2019-10-10,195.9000,200.9400,195.9000,198.6100,198.6100,1772900,0.0000,1.0000
2019-10-09,193.1700,198.9700,191.8300,196.1200,196.1200,2018500,0.0000,1.0000
2019-10-08,191.8000,194.3100,191.4400,192.2200,192.2200,1406200,0.9430,1.0000
2019-10-07,194.4800,195.1000,193.0200,193.9800,193.0370,982700,0.0000,1.0000
2019-10-04,194.1500,194.6400,190.3600,194.4500,193.5047,2064400,0.0000,1.0000
2019-10-03,193.1900,193.7500,189.9700,193.7400,192.7982,1879800,0.0000,1.0000
2019-10-02,190.4000,192.4900,188.2400,191.2800,190.3501,3142300,0.0000,1.0000
2019-10-01,196.7300,197.0500,190.4600,192.1300,191.1960,2048200,0.0000,1.0000
2019-09-30,195.5000,197.8800,194.8100,196.1900,195.2363,1306400,0.0000,1.0000
