timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,167.4800,168.5600,164.2800,164.3100,164.3100,313748,0.0000,1.0000
2019-11-12,168.4800,169.4800,167.2900,168.9400,168.9400,280000,0.0000,1.0000
2019-11-11,165.5000,167.9700,165.5000,167.9500,167.9500,167000,0.0000,1.0000
2019-11-08,166.9700,167.9800,165.5000,166.9400,166.9400,497900,0.0000,1.0000
2019-11-07,168.0000,168.4200,166.4900,166.9700,166.9700,324500,0.0000,1.0000
2019-11-06,167.4400,167.4400,165.0800,166.8100,166.8100,624000,0.0000,1.0000
2019-11-05,168.1500,168.8700,166.4900,168.0700,168.0700,448900,0.0000,1.0000
2019-11-04,168.4300,168.9300,167.0900,168.5100,168.5100,728400,0.0000,1.0000
2019-11-01,164.2900,166.8700,163.0400,166.8700,166.8700,318200,0.0000,1.0000
2019-10-31,164.1400,164.8900,161.8500,162.6700,162.6700,370000,0.0000,1.0000
2019-10-30,165.3400,165.3400,163.0100,164.8700,164.8700,298800,0.0000,1.0000
2019-10-29,165.2100,167.2000,164.9000,165.7000,165.7000,319000,0.0000,1.0000
2019-10-28,167.4800,168.0000,165.9800,166.3300,166.3300,245700,0.0000,1.0000
2019-10-25,165.5000,167.4900,165.5000,166.6400,166.6400,327200,0.0000,1.0000
2019-10-24,165.6200,166.0700,163.8500,165.5500,165.5500,447800,0.0000,1.0000
2019-10-23,162.4300,165.0800,162.0100,164.9300,164.9300,397800,0.0000,1.0000
2019-10-22,159.5000,163.5000,158.6900,162.6400,162.6400,347700,0.0000,1.0000
2019-10-21,158.7400,161.0000,158.7400,159.3600,159.3600,417000,0.0000,1.0000
2019-10-18,154.8100,158.0100,154.4700,157.5200,157.5200,490500,0.0000,1.0000
2019-10-17,157.9700,162.4000,152.8400,155.6600,155.6600,780400,0.0000,1.0000
2019-10-16,158.0400,160.1700,157.4200,158.0300,158.0300,531500,0.0000,1.0000
2019-10-15,157.4800,159.5000,157.1200,158.3000,158.3000,496000,0.0000,1.0000
2019-10-14,155.6400,158.0000,155.0400,157.9500,157.9500,255200,0.0000,1.0000
2019-10-11,155.4400,159.5200,155.1500,156.4600,156.4600,243300,0.0000,1.0000
2019-10-10,152.5300,153.8600,152.1000,153.1500,153.1500,350100,0.0000,1.0000
2019-10-09,153.4400,153.4400,151.6300,151.8400,151.8400,386000,0.0000,1.0000
