timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,145.1900,147.2400,144.6999,146.8500,146.8500,1238337,0.0000,1.0000
2019-11-12,142.7100,145.1200,142.6100,144.9300,144.9300,2537200,0.0000,1.0000
2019-11-11,142.2100,142.4800,141.4200,142.3300,142.3300,847000,0.0000,1.0000
2019-11-08,141.6800,142.8600,141.5100,142.1200,142.1200,884000,0.0000,1.0000
2019-11-07,142.6800,142.8600,141.0800,142.1100,142.1100,1433800,0.0000,1.0000
2019-11-06,143.3500,144.0000,142.2600,143.2200,143.2200,1448100,0.0000,1.0000
2019-11-05,145.2000,145.2900,142.9800,143.3500,143.3500,2113800,0.0000,1.0000
2019-11-04,147.3000,147.3000,144.9200,145.8400,145.8400,1490900,0.0000,1.0000
2019-11-01,146.0200,148.4700,145.2200,147.2900,147.2900,2896500,0.0000,1.0000
2019-10-31,142.0600,144.5700,141.5400,144.5100,144.5100,2838900,0.0000,1.0000
2019-10-30,141.2500,142.0000,140.3400,141.5600,141.5600,2845300,0.0000,1.0000
2019-10-29,141.2000,141.5800,140.8100,141.2000,141.2000,3080100,0.0000,1.0000
2019-10-28,142.9000,143.2100,140.9100,141.1700,141.1700,3859900,0.0000,1.0000
2019-10-25,148.5100,148.5100,143.4200,143.9700,143.9700,3193100,0.0000,1.0000
2019-10-24,147.9100,148.9000,147.4400,148.0600,148.0600,1719600,0.0000,1.0000
2019-10-23,147.2500,148.0000,146.4600,148.0000,148.0000,970300,0.0000,1.0000
2019-10-22,146.6800,147.6800,146.5800,146.8800,146.8800,941500,0.0000,1.0000
2019-10-21,146.1800,146.5700,145.2500,146.4800,146.4800,1003900,0.0000,1.0000
2019-10-18,144.9900,146.9300,144.6300,146.2300,146.2300,1997000,0.0000,1.0000
2019-10-17,144.8500,145.4600,144.5300,144.9600,144.9600,922000,0.0000,1.0000
2019-10-16,144.8600,145.0400,143.5400,144.8500,144.8500,1272000,0.0000,1.0000
2019-10-15,145.5700,145.8300,144.3000,145.0000,145.0000,1029100,0.0000,1.0000
2019-10-14,146.0400,146.9200,144.7900,145.4300,145.4300,970700,0.0000,1.0000
2019-10-11,146.2300,146.5000,145.2900,145.4900,145.4900,925000,0.0000,1.0000
2019-10-10,146.4000,147.0600,145.4200,146.4100,146.4100,1027200,0.0000,1.0000
2019-10-09,146.2200,147.4200,145.9700,146.6400,146.6400,801100,0.0000,1.0000
2019-10-08,146.2800,146.8200,144.5000,145.9100,145.9100,1239900,0.0000,1.0000
2019-10-07,146.9300,147.0700,146.0000,146.4300,146.4300,1019300,0.0000,1.0000
2019-10-04,145.8600,147.3800,145.2700,147.2300,147.2300,987900,0.0000,1.0000
2019-10-03,144.0200,145.7300,143.5500,145.6600,145.6600,2011700,0.0000,1.0000
2019-10-02,145.4000,146.0800,143.3200,143.7300,143.7300,1573000,0.0000,1.0000
2019-10-01,147.4300,148.0400,146.0800,146.0800,146.0800,1356900,0.0000,1.0000
2019-09-30,145.4100,148.1400,144.4800,147.6100,147.6100,2513800,0.0000,1.0000
2019-09-27,145.0700,145.0700,143.4500,144.4800,144.4800,1779000,0.0000,1.0000
