timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,69.7400,70.5800,69.2300,70.2300,70.2300,1301456,0.0000,1.0000
2019-11-12,70.0100,70.4500,69.8000,70.3900,70.3900,917600,0.0000,1.0000
2019-11-11,70.4100,70.6500,69.9100,70.1200,70.1200,1458200,0.0000,1.0000
2019-11-08,70.3300,71.1300,70.1200,71.0400,71.0400,1529000,0.0000,1.0000
2019-11-07,71.1900,71.6600,70.4400,70.6100,70.6100,2094800,0.5600,1.0000
2019-11-06,71.2200,71.4400,70.6500,71.2700,70.7100,4404500,0.0000,1.0000
2019-11-05,70.7400,71.7600,70.7400,71.4200,70.8588,3382800,0.0000,1.0000
2019-11-04,70.3000,70.7300,70.1900,70.4100,69.8568,1893800,0.0000,1.0000
2019-11-01,69.1300,69.8900,68.9300,69.8900,69.3408,1412000,0.0000,1.0000
2019-10-31,68.8200,69.2400,67.6400,68.3400,67.8030,5811900,0.0000,1.0000
2019-10-30,69.9300,69.9300,69.0600,69.2400,68.6959,1264300,0.0000,1.0000
2019-10-29,69.3400,70.1600,69.3000,70.0100,69.4599,2319400,0.0000,1.0000
2019-10-28,69.3100,69.8700,69.1500,69.5700,69.0234,1422800,0.0000,1.0000
2019-10-25,68.4200,69.4000,68.2900,69.0900,68.5471,622200,0.0000,1.0000
2019-10-24,69.0400,69.2600,68.0800,68.4300,67.8923,1250600,0.0000,1.0000
2019-10-23,68.6800,69.1000,68.5100,69.0300,68.4876,1862000,0.0000,1.0000
2019-10-22,68.8300,69.5200,68.3400,68.8100,68.2693,1079700,0.0000,1.0000
2019-10-21,68.4800,68.9100,68.2700,68.8500,68.3090,1456300,0.0000,1.0000
2019-10-18,67.6000,68.3500,67.5300,67.8900,67.3566,2882100,0.0000,1.0000
2019-10-17,68.1100,68.1300,66.2200,67.5700,67.0391,2768900,0.0000,1.0000
2019-10-16,68.1900,68.7100,67.9300,68.2500,67.7137,2472700,0.0000,1.0000
2019-10-15,67.2700,68.3100,67.0100,68.0300,67.4955,2057500,0.0000,1.0000
2019-10-14,66.5800,67.2200,66.5300,66.9200,66.3942,1907800,0.0000,1.0000
2019-10-11,67.2500,67.7900,66.9000,66.9600,66.4339,2298500,0.0000,1.0000
2019-10-10,65.7700,66.6900,65.7600,66.1700,65.6501,2431400,0.0000,1.0000
2019-10-09,66.3600,66.3600,65.5000,65.7900,65.2731,997800,0.0000,1.0000
2019-10-08,65.6900,66.2900,65.4700,65.7200,65.2036,1946100,0.0000,1.0000
2019-10-07,66.5200,67.2300,66.1800,66.4700,65.9477,1883500,0.0000,1.0000
2019-10-04,65.6000,66.5600,65.3400,66.5000,65.9775,2471700,0.0000,1.0000
2019-10-03,65.5500,65.8700,64.5200,65.3500,64.8365,3749400,0.0000,1.0000
2019-10-02,66.9000,66.9000,65.5500,65.8400,65.3227,4176600,0.0000,1.0000
2019-10-01,69.2100,69.5100,67.3900,67.4900,66.9597,3050200,0.0000,1.0000
2019-09-30,69.2600,69.3300,68.6900,68.8000,68.2594,3635400,0.0000,1.0000
2019-09-27,69.0000,69.5700,68.6500,68.8500,68.3090,4424900,0.0000,1.0000
2019-09-26,68.0000,68.5400,67.7600,68.2600,67.7237,2042600,0.0000,1.0000
2019-09-25,67.4700,68.3800,67.3500,68.1900,67.6542,1455100,0.0000,1.0000
2019-09-24,67.8200,67.9300,66.5900,67.2300,66.7017,2354600,0.0000,1.0000
2019-09-23,66.9600,67.9900,66.8900,67.8600,67.3268,2365300,0.0000,1.0000
2019-09-20,68.4200,68.6600,67.4800,67.4800,66.9498,4483100,0.0000,1.0000
2019-09-19,68.3800,68.6300,68.0500,68.1100,67.5748,1803700,0.0000,1.0000
2019-09-18,67.7200,69.1500,67.4600,68.5400,68.0014,1775600,0.0000,1.0000
2019-09-17,68.1000,68.1300,67.4700,68.0900,67.5550,1445500,0.0000,1.0000
2019-09-16,68.0300,68.6200,67.6100,68.3400,67.8030,1755100,0.0000,1.0000
2019-09-13,68.8400,69.3500,68.1600,68.6500,68.1106,2482400,0.0000,1.0000
2019-09-12,66.9500,68.5300,66.2700,68.1600,67.6244,2020800,0.0000,1.0000
2019-09-11,66.4700,67.3100,65.1600,67.2800,66.7514,1973900,0.0000,1.0000
2019-09-10,65.2200,66.2100,64.2400,66.1900,65.6699,2112400,0.0000,1.0000
2019-09-09,63.5100,65.4100,63.3100,64.9700,64.4595,2420400,0.0000,1.0000
2019-09-06,62.8000,63.2500,62.5900,62.9000,62.4058,2288400,0.0000,1.0000
2019-09-05,62.2900,63.2700,62.2600,62.9100,62.4157,2592900,0.0000,1.0000
2019-09-04,60.9300,61.3600,60.6800,61.0800,60.6001,2892300,0.0000,1.0000
2019-09-03,60.9800,61.0200,59.9500,60.3600,59.8857,3120900,0.0000,1.0000
2019-08-30,61.7400,62.2100,61.2900,61.5100,61.0267,2577300,0.0000,1.0000
2019-08-29,60.8900,61.6000,60.8900,61.2700,60.7886,887200,0.5600,1.0000
2019-08-28,59.2000,61.0400,59.2000,60.7900,59.7567,2285700,0.0000,1.0000
2019-08-27,60.2200,60.4500,59.1900,59.6100,58.5968,1519000,0.0000,1.0000
2019-08-26,59.4800,60.1300,59.0400,60.1300,59.1080,2312800,0.0000,1.0000
2019-08-23,60.6700,61.1300,58.6900,59.0500,58.0463,3878900,0.0000,1.0000
2019-08-22,60.8300,61.1600,60.2000,60.9300,59.8944,2034900,0.0000,1.0000
2019-08-21,60.4600,60.6300,59.8900,60.3500,59.3242,2218400,0.0000,1.0000
2019-08-20,60.9100,60.9100,59.9600,60.1000,59.0785,5216100,0.0000,1.0000
2019-08-19,61.7500,61.7600,61.0300,61.3600,60.3171,2327000,0.0000,1.0000
2019-08-16,59.7900,60.9700,58.9200,60.6800,59.6486,2171700,0.0000,1.0000
2019-08-15,59.2400,59.8600,58.9200,59.2800,58.2724,3265200,0.0000,1.0000
2019-08-14,59.9433,60.4280,58.6100,59.1000,58.0955,3589200,0.0000,1.0000
2019-08-13,60.3000,61.7200,59.7600,60.7900,59.7567,1809200,0.0000,1.0000
2019-08-12,60.3200,60.6361,59.9800,60.2100,59.1866,1431000,0.0000,1.0000
2019-08-09,61.1146,61.4300,60.4900,61.0900,60.0516,1041500,0.0000,1.0000
2019-08-08,61.4200,61.5500,60.8100,61.3600,60.3171,1510900,0.0000,1.0000
2019-08-07,60.1900,60.9900,59.3400,60.8800,59.8452,4331200,0.0000,1.0000
2019-08-06,61.4000,61.5400,59.9600,61.5200,60.4743,2702400,0.0000,1.0000
2019-08-05,62.2800,62.4000,60.1800,61.0200,59.9828,2454400,0.0000,1.0000
2019-08-02,63.8500,64.1200,62.5800,63.5400,62.4600,3061500,0.0000,1.0000
2019-08-01,66.3800,66.6500,63.7400,64.0000,62.9122,3215800,0.0000,1.0000
2019-07-31,66.1700,66.8800,65.8900,66.6000,65.4680,4089000,0.0000,1.0000
2019-07-30,65.3400,66.1900,65.2100,66.1400,65.0158,3449900,0.0000,1.0000
2019-07-29,66.4700,66.9700,65.7700,65.8400,64.7209,4778000,0.0000,1.0000
2019-07-26,66.1700,66.7100,65.9600,66.4600,65.3304,2357000,0.0000,1.0000
2019-07-25,66.5500,66.6800,65.5900,66.0100,64.8880,3333200,0.0000,1.0000
2019-07-24,65.6800,66.4817,65.3600,66.3800,65.2517,2060900,0.0000,1.0000
2019-07-23,65.2500,66.1300,65.1900,65.8100,64.6914,2583900,0.0000,1.0000
2019-07-22,65.2900,65.4300,64.8290,65.2100,64.1016,3989200,0.0000,1.0000
2019-07-19,65.8600,65.9500,65.0600,65.3900,64.2786,3975000,0.0000,1.0000
2019-07-18,63.6700,65.9300,63.3000,65.7400,64.6226,3955900,0.0000,1.0000
2019-07-17,63.7500,64.0200,63.4600,63.9900,62.9024,2761600,0.0000,1.0000
2019-07-16,64.1500,64.3900,63.5000,63.9300,62.8434,3418200,0.0000,1.0000
2019-07-15,64.8400,64.8500,64.0400,64.2200,63.1284,3953900,0.0000,1.0000
2019-07-12,64.8100,65.0400,64.6400,64.8100,63.7084,3487500,0.0000,1.0000
2019-07-11,64.1900,64.9000,63.7900,64.7000,63.6003,1558900,0.0000,1.0000
2019-07-10,64.4100,64.4100,63.8400,64.0200,62.9318,4067900,0.0000,1.0000
2019-07-09,63.5100,64.5500,63.0600,64.3700,63.2759,3297200,0.0000,1.0000
2019-07-08,63.5100,63.5900,63.1200,63.5300,62.4502,2370600,0.0000,1.0000
2019-07-05,63.2600,64.0117,63.2600,63.9600,62.8729,1821200,0.0000,1.0000
2019-07-03,62.9700,63.1200,62.5800,62.8100,61.7424,1653000,0.0000,1.0000
2019-07-02,63.2800,63.6300,62.3350,62.4900,61.4279,1734500,0.0000,1.0000
2019-07-01,63.4200,63.9000,63.0500,63.5300,62.4502,1645900,0.0000,1.0000
2019-06-28,62.1500,62.9900,61.9600,62.8500,61.7817,5761400,0.0000,1.0000
2019-06-27,61.5400,61.9900,60.9200,61.5100,60.4645,4151400,0.0000,1.0000
2019-06-26,62.0100,62.5200,61.5600,61.5800,60.5333,3630900,0.0000,1.0000
2019-06-25,62.1600,62.3100,61.2900,61.8600,60.8086,2926500,0.0000,1.0000
2019-06-24,62.3900,63.1100,61.8700,62.2100,61.1526,1960400,0.0000,1.0000
