timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,184.0000,185.9150,183.0200,184.0100,184.0100,774427,0.0000,1.0000
2019-11-12,184.8800,184.9100,182.1700,183.8300,183.8300,1501100,0.0000,1.0000
2019-11-11,187.0000,187.1700,184.0200,184.5200,184.5200,1484900,0.0000,1.0000
2019-11-08,190.4000,190.6000,186.5000,187.5600,187.5600,1435900,0.0000,1.0000
2019-11-07,193.2700,193.9700,190.1400,190.2800,190.2800,741200,0.7500,1.0000
2019-11-06,192.0000,193.6500,190.8300,193.2100,192.4600,712900,0.0000,1.0000
2019-11-05,194.2200,195.5000,191.6600,191.7200,190.9758,788500,0.0000,1.0000
2019-11-04,191.5600,194.0900,191.0100,193.9200,193.1672,835600,0.0000,1.0000
2019-11-01,191.2600,193.4800,190.5600,191.0000,190.2586,1116600,0.0000,1.0000
2019-10-31,191.3200,191.8100,189.0000,190.3300,189.5912,1002300,0.0000,1.0000
2019-10-30,192.7200,192.9700,190.8200,191.5400,190.7965,928600,0.0000,1.0000
2019-10-29,192.9800,194.9300,192.2000,192.9800,192.2309,695400,0.0000,1.0000
2019-10-28,195.4100,196.4600,192.8500,192.9200,192.1711,933300,0.0000,1.0000
2019-10-25,195.8300,197.3800,194.4400,195.8400,195.0798,765100,0.0000,1.0000
2019-10-24,197.7000,197.7000,195.4800,196.6900,195.9265,665700,0.0000,1.0000
2019-10-23,196.0000,198.0000,195.1700,197.5400,196.7732,601200,0.0000,1.0000
2019-10-22,194.6400,197.1600,193.8600,196.8100,196.0460,627900,0.0000,1.0000
2019-10-21,196.7600,196.8900,194.3400,194.5800,193.8247,758500,0.0000,1.0000
2019-10-18,197.1300,198.6000,196.0000,197.0200,196.2552,843400,0.0000,1.0000
2019-10-17,198.7000,199.3000,196.5300,197.2900,196.5242,978200,0.0000,1.0000
2019-10-16,197.2700,198.6500,195.8700,198.4800,197.7095,854500,0.0000,1.0000
2019-10-15,192.9400,197.6100,192.5800,196.7600,195.9962,1102700,0.0000,1.0000
2019-10-14,192.4300,193.2800,191.0400,192.9700,192.2209,759500,0.0000,1.0000
2019-10-11,193.6100,198.5000,192.6100,193.0800,192.3305,963800,0.0000,1.0000
2019-10-10,191.4400,194.0800,190.4100,192.7100,191.9619,957000,0.0000,1.0000
2019-10-09,189.7800,192.2200,189.0800,191.4600,190.7168,1091400,0.0000,1.0000
2019-10-08,187.8400,190.2800,186.4100,189.5200,188.7843,1334500,0.0000,1.0000
2019-10-07,193.3900,193.7300,188.1000,188.7400,188.0074,1721100,0.0000,1.0000
2019-10-04,196.0200,198.6700,190.8900,193.7400,192.9879,2105800,0.0000,1.0000
2019-10-03,201.0300,202.2400,191.0200,194.2600,193.5059,4711800,0.0000,1.0000
2019-10-02,208.1400,208.1400,204.3100,206.7900,205.9873,1406700,0.0000,1.0000
2019-10-01,207.6000,210.6500,207.5900,209.4100,208.5971,1169200,0.0000,1.0000
2019-09-30,206.7400,208.4700,206.0000,207.2800,206.4754,992300,0.0000,1.0000
2019-09-27,207.3300,207.9800,205.0900,206.0000,205.2003,848000,0.0000,1.0000
2019-09-26,204.4200,207.6300,204.3300,206.0700,205.2701,925600,0.0000,1.0000
2019-09-25,206.4400,207.4500,203.6500,204.0000,203.2081,1597200,0.0000,1.0000
2019-09-24,206.7200,206.7800,203.7000,205.0400,204.2441,766100,0.0000,1.0000
2019-09-23,205.1000,206.3600,204.6600,205.7700,204.9712,853800,0.0000,1.0000
2019-09-20,207.9000,209.2900,204.5900,205.1000,204.3038,1554800,0.0000,1.0000
2019-09-19,207.2400,207.8500,205.7500,207.3400,206.5351,758000,0.0000,1.0000
2019-09-18,206.1200,207.5200,203.9800,207.3300,206.5252,979700,0.0000,1.0000
2019-09-17,204.8000,208.0000,203.2000,205.7500,204.9513,1355900,0.0000,1.0000
2019-09-16,203.6700,204.7500,202.2800,203.8400,203.0487,709300,0.0000,1.0000
2019-09-13,204.8400,205.8800,203.5400,204.0700,203.2778,595100,0.0000,1.0000
2019-09-12,206.0000,207.0600,202.3400,203.9700,203.1782,1124900,0.0000,1.0000
2019-09-11,208.1800,208.8800,205.3200,206.7700,205.9674,979700,0.0000,1.0000
2019-09-10,206.2200,208.7000,204.3500,208.1800,207.3719,920300,0.0000,1.0000
2019-09-09,204.9800,207.5400,204.6000,206.7500,205.9474,1012100,0.0000,1.0000
2019-09-06,204.7100,205.6200,203.6300,204.7500,203.9552,955300,0.0000,1.0000
2019-09-05,212.0000,212.0000,204.5800,204.9300,204.1345,1025900,0.0000,1.0000
2019-09-04,209.5000,211.9800,208.4600,210.1800,209.3641,883800,0.0000,1.0000
2019-09-03,203.3600,208.4700,202.2500,208.3500,207.5412,899700,0.0000,1.0000
2019-08-30,204.7200,205.2900,203.4300,204.3500,203.5568,983400,0.0000,1.0000
2019-08-29,202.8200,205.3000,202.6900,204.6300,203.8357,761800,0.0000,1.0000
2019-08-28,197.4600,202.3300,196.6300,201.8300,201.0465,844200,0.0000,1.0000
2019-08-27,201.9100,202.9500,197.8600,198.1900,197.4207,987500,0.0000,1.0000
2019-08-26,200.0000,203.0300,197.5200,202.4400,201.6542,1147700,0.0000,1.0000
2019-08-23,200.7000,201.5200,197.6600,198.5100,197.7394,1018400,0.0000,1.0000
2019-08-22,202.8800,203.7900,201.1500,201.6600,200.8772,906500,0.0000,1.0000
2019-08-21,203.8100,205.2900,202.8400,202.8500,202.0626,682800,0.0000,1.0000
2019-08-20,201.5500,203.7400,201.5000,202.4800,201.6940,1143600,0.0000,1.0000
2019-08-19,200.0000,202.8300,198.9400,201.8000,201.0166,1044200,0.0000,1.0000
2019-08-16,195.4900,199.8900,189.5100,198.7900,198.0183,962700,0.0000,1.0000
2019-08-15,191.0000,194.9700,189.5039,194.4000,193.6454,1004800,0.0000,1.0000
2019-08-14,193.8900,196.2500,192.4994,193.3600,192.6094,1357700,0.0000,1.0000
2019-08-13,192.0400,197.7900,192.0000,196.5300,195.7671,936900,0.0000,1.0000
2019-08-12,192.8200,194.3600,192.1200,193.0500,192.3006,695000,0.7500,1.0000
2019-08-09,193.3000,196.5323,191.8700,194.1500,192.6492,1091800,0.0000,1.0000
2019-08-08,189.0000,193.3700,187.0200,193.2600,191.7661,850200,0.0000,1.0000
2019-08-07,185.3700,188.7800,184.2950,188.1600,186.7056,801600,0.0000,1.0000
2019-08-06,189.1900,189.6900,185.5100,187.1900,185.7431,1148300,0.0000,1.0000
2019-08-05,190.5100,191.3600,185.8700,186.6900,185.2469,1672300,0.0000,1.0000
2019-08-02,194.3100,195.1900,192.4800,192.7400,191.2502,818800,0.0000,1.0000
2019-08-01,196.6687,198.3200,191.6500,193.6000,192.1035,1366300,0.0000,1.0000
2019-07-31,200.0800,200.5200,194.5700,196.8200,195.2986,884100,0.0000,1.0000
2019-07-30,197.3400,201.5600,196.4200,200.9500,199.3967,875200,0.0000,1.0000
2019-07-29,204.1300,204.2200,197.2700,199.0000,197.4618,1146800,0.0000,1.0000
2019-07-26,203.7500,205.5900,202.6600,203.9200,202.3437,739700,0.0000,1.0000
2019-07-25,204.0287,204.6500,201.1400,203.0100,201.4408,638900,0.0000,1.0000
2019-07-24,201.9336,204.3800,201.3200,204.0900,202.5124,667400,0.0000,1.0000
2019-07-23,201.1500,203.1900,200.7400,202.2900,200.7263,683600,0.0000,1.0000
2019-07-22,202.1700,203.5600,198.8900,201.1700,199.6150,1073100,0.0000,1.0000
2019-07-19,202.4500,204.0000,200.9400,201.5700,200.0119,1029200,0.0000,1.0000
2019-07-18,199.8972,203.1600,199.2300,202.6000,201.0340,823500,0.0000,1.0000
2019-07-17,198.5600,199.8000,197.7834,199.3800,197.8388,879200,0.0000,1.0000
2019-07-16,199.5600,199.6300,197.1073,197.8800,196.3504,1016800,0.0000,1.0000
2019-07-15,199.7100,199.7100,197.4900,198.5900,197.0549,812400,0.0000,1.0000
2019-07-12,197.8900,201.5000,197.6200,199.6000,198.0571,1213500,0.0000,1.0000
2019-07-11,200.7800,201.8900,196.8272,197.6700,196.1420,970600,0.0000,1.0000
2019-07-10,197.7500,201.9183,197.7500,200.7900,199.2379,1218400,0.0000,1.0000
2019-07-09,199.3600,199.5900,194.5600,198.0400,196.5092,2193800,0.0000,1.0000
2019-07-08,197.0400,200.2500,196.2600,200.1000,198.5533,1109500,0.0000,1.0000
2019-07-05,198.9600,199.1970,196.3600,197.4900,195.9635,652200,0.0000,1.0000
2019-07-03,199.1000,200.2300,196.3500,199.9000,198.3548,917100,0.0000,1.0000
2019-07-02,196.0700,198.9800,195.7860,198.6600,197.1244,1172400,0.0000,1.0000
2019-07-01,199.0000,200.0000,193.1300,196.0900,194.5743,2526500,0.0000,1.0000
2019-06-28,198.6200,200.5900,192.5300,196.9400,195.4177,7415800,0.0000,1.0000
2019-06-27,184.8204,189.0800,183.7600,188.2100,186.7552,2091400,0.0000,1.0000
2019-06-26,184.3200,185.7500,184.0600,185.0200,183.5898,1183300,0.0000,1.0000
2019-06-25,181.7600,184.2700,181.7600,183.9000,182.4785,2273100,0.0000,1.0000
2019-06-24,184.0000,184.8300,181.0600,181.2600,179.8589,1607100,0.0000,1.0000
2019-06-21,185.3500,185.6800,181.2900,183.7300,182.3098,2121100,0.0000,1.0000
2019-06-20,185.5500,188.0884,185.4740,185.7400,184.3043,1029800,0.0000,1.0000
2019-06-19,182.7500,184.4000,181.6200,184.3200,182.8952,1391500,0.0000,1.0000
2019-06-18,188.5700,188.5700,181.8700,181.9700,180.5634,1848800,0.0000,1.0000
2019-06-17,187.2900,187.8800,186.3300,187.2300,185.7827,789700,0.0000,1.0000
2019-06-14,189.2200,190.0300,187.5400,187.6300,186.1797,724100,0.0000,1.0000
2019-06-13,189.0000,190.0500,186.7500,189.3400,187.8764,1111400,0.0000,1.0000
2019-06-12,195.1200,195.3600,189.1200,189.3200,187.8566,1041100,0.0000,1.0000
2019-06-11,192.0100,195.3000,191.8100,194.9600,193.4530,1306800,0.0000,1.0000
2019-06-10,194.0100,194.5400,191.4500,191.9600,190.4762,2042300,0.0000,1.0000
2019-06-07,185.0300,190.0200,184.7000,188.4000,186.9437,1814800,0.0000,1.0000
2019-06-06,185.8600,187.2550,181.7400,184.1600,182.7365,2310100,0.0000,1.0000
2019-06-05,185.9300,187.8550,183.7800,187.0000,185.5545,1639600,0.0000,1.0000
2019-06-04,181.3800,184.7300,179.8000,184.4400,183.0143,2238700,0.0000,1.0000
2019-06-03,177.2800,179.5820,176.5600,177.2300,175.8600,4607900,0.0000,1.0000
2019-05-31,175.0000,177.3100,171.2700,176.4500,175.0861,6252400,0.0000,1.0000
2019-05-30,188.8900,190.6600,186.0900,187.2900,185.8423,1083400,0.0000,1.0000
2019-05-29,193.5600,193.5600,187.5768,188.9000,187.4398,1483300,0.0000,1.0000
2019-05-28,198.3500,198.5970,193.3350,194.2400,192.7386,3271700,0.0000,1.0000
2019-05-24,202.5000,202.9900,196.2741,198.6800,197.1442,2526800,0.0000,1.0000
2019-05-23,204.1250,206.5020,203.7400,206.2100,204.6160,877200,0.0000,1.0000
2019-05-22,204.5000,205.4200,203.0563,204.9700,203.3856,865700,0.0000,1.0000
2019-05-21,205.0400,206.7800,202.9300,205.0000,203.4154,1765700,0.0000,1.0000
2019-05-20,204.5900,205.3300,202.6900,203.0500,201.4805,1062000,0.0000,1.0000
2019-05-17,205.0864,207.6700,204.7700,204.7900,203.2070,893500,0.0000,1.0000
2019-05-16,205.0500,207.5340,204.1200,206.8000,205.2015,873000,0.0000,1.0000
2019-05-15,203.9600,207.7900,203.6200,204.9900,203.4055,1368700,0.0000,1.0000
2019-05-14,202.0000,207.2500,201.4700,205.3300,203.7428,1202000,0.0000,1.0000
2019-05-13,200.0800,201.6669,199.0200,201.0600,199.5058,1320100,0.0000,1.0000
2019-05-10,201.0600,204.0100,199.2700,203.2300,201.6591,1617000,0.0000,1.0000
2019-05-09,205.1600,206.5800,201.8200,201.8900,200.3294,1833400,0.7500,1.0000
2019-05-08,207.1600,208.7700,206.7500,207.1900,204.8443,840800,0.0000,1.0000
2019-05-07,209.1373,209.6400,206.7400,207.8700,205.5166,1227900,0.0000,1.0000
2019-05-06,208.2800,211.3050,208.0000,210.4100,208.0278,1166400,0.0000,1.0000
2019-05-03,210.1300,212.0600,209.7900,211.4000,209.0066,1113900,0.0000,1.0000
2019-05-02,211.1400,211.6900,207.6600,209.1200,206.7524,1569400,0.0000,1.0000
2019-05-01,211.6000,213.7000,211.2100,212.0900,209.6888,876500,0.0000,1.0000
2019-04-30,212.1000,212.7700,209.9100,211.6700,209.2735,1532600,0.0000,1.0000
2019-04-29,212.3600,213.3450,210.6800,212.5400,210.1337,1078400,0.0000,1.0000
2019-04-26,213.0000,214.3600,211.5000,212.1600,209.7580,1329600,0.0000,1.0000
2019-04-25,208.8100,214.4800,208.8100,212.1600,209.7580,1900700,0.0000,1.0000
2019-04-24,208.1500,210.4210,207.9000,210.1400,207.7609,1666900,0.0000,1.0000
2019-04-23,206.8300,209.2000,204.9300,207.4800,205.1310,2256500,0.0000,1.0000
2019-04-22,198.5300,205.7500,198.2600,205.4600,203.1339,2196900,0.0000,1.0000
2019-04-18,193.3400,199.8800,193.3272,198.8000,196.5493,2881500,0.0000,1.0000
2019-04-17,190.9500,192.8700,189.8500,191.5800,189.4110,1090900,0.0000,1.0000
2019-04-16,191.0100,191.4600,189.5500,190.0100,187.8588,2025300,0.0000,1.0000
2019-04-15,190.7041,191.0000,189.3200,190.9200,188.7585,1447600,0.0000,1.0000
2019-04-12,192.2000,192.5200,190.2300,190.5300,188.3729,948500,0.0000,1.0000
