timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,200.0100,202.2800,199.6000,201.7300,201.7300,1123749,0.0000,1.0000
2019-11-12,199.6500,201.1300,198.9200,200.1800,200.1800,1365500,0.0000,1.0000
2019-11-11,199.5700,200.6100,197.7100,198.4200,198.4200,1333000,0.0000,1.0000
2019-11-08,200.7700,201.8000,199.6200,199.7800,199.7800,1420600,0.0000,1.0000
2019-11-07,202.2600,203.3700,198.7300,200.7800,200.7800,1986900,0.0000,1.0000
2019-11-06,200.0100,201.5900,198.6800,201.0100,201.0100,3056400,0.0000,1.0000
2019-11-05,205.2700,206.1500,197.9300,198.3700,198.3700,4224600,0.0000,1.0000
2019-11-04,206.0000,206.9700,202.0000,205.1700,205.1700,4457200,0.0000,1.0000
2019-11-01,217.8900,218.9000,212.7200,212.7700,212.7700,1443700,0.0000,1.0000
2019-10-31,216.6200,218.5900,214.3700,216.2700,216.2700,1082500,0.0000,1.0000
2019-10-30,214.9900,220.5100,214.1900,217.0900,217.0900,1937600,0.0000,1.0000
2019-10-29,213.1500,221.4900,213.1500,220.5300,220.5300,1834600,0.0000,1.0000
2019-10-28,211.6400,214.4200,211.0300,213.7200,213.7200,1754900,0.0000,1.0000
2019-10-25,211.3700,212.1700,209.6200,211.6200,211.6200,672900,0.0000,1.0000
2019-10-24,210.9100,211.8000,209.8800,211.4100,211.4100,710800,0.0000,1.0000
2019-10-23,210.7400,211.3700,209.6700,210.4600,210.4600,594800,0.0000,1.0000
2019-10-22,215.6000,216.3900,209.4200,209.7600,209.7600,675200,0.0000,1.0000
2019-10-21,216.2500,216.2500,214.5300,215.0700,215.0700,680600,0.0000,1.0000
2019-10-18,215.7000,215.9800,214.2800,215.3200,215.3200,903900,0.0000,1.0000
2019-10-17,215.7500,217.0000,215.0800,215.5600,215.5600,715200,0.0000,1.0000
2019-10-16,214.4000,216.1400,213.1200,215.7500,215.7500,1086000,0.0000,1.0000
2019-10-15,214.3500,216.1200,213.6200,214.9500,214.9500,556000,0.0000,1.0000
2019-10-14,214.0900,214.4800,212.2200,212.6600,212.6600,682600,0.0000,1.0000
2019-10-11,213.8700,215.5400,212.5100,213.8100,213.8100,934900,0.0000,1.0000
2019-10-10,209.5600,211.9600,208.6000,211.2900,211.2900,920200,0.0000,1.0000
2019-10-09,209.6700,211.0700,207.5200,210.8700,210.8700,1512600,0.0000,1.0000
2019-10-08,211.6500,211.6500,207.8100,207.8800,207.8800,1037500,0.0000,1.0000
2019-10-07,214.4500,215.1300,212.6800,212.9400,212.9400,673100,0.0000,1.0000
2019-10-04,213.9700,215.9300,213.9700,215.4900,215.4900,709700,0.0000,1.0000
2019-10-03,208.4000,213.3700,207.4900,213.1300,213.1300,789500,0.0000,1.0000
2019-10-02,210.9900,211.7000,207.1900,209.1000,209.1000,1388100,0.0000,1.0000
2019-10-01,216.5000,217.1400,212.1700,212.7200,212.7200,1140700,0.0000,1.0000
2019-09-30,214.2100,217.4700,213.9900,216.3000,216.3000,1338800,0.0000,1.0000
2019-09-27,217.1700,217.1700,212.7000,213.6100,213.6100,945500,0.5200,1.0000
2019-09-26,219.0400,219.5200,214.8200,216.3900,215.8700,875200,0.0000,1.0000
2019-09-25,217.5100,218.3800,214.9200,217.9500,217.4262,918800,0.0000,1.0000
2019-09-24,221.3600,223.0100,216.8400,217.9900,217.4662,1114200,0.0000,1.0000
2019-09-23,219.7700,221.4600,218.7900,220.1900,219.6609,1089500,0.0000,1.0000
2019-09-20,221.8200,222.4200,219.1900,221.2000,220.6684,3744300,0.0000,1.0000
2019-09-19,220.9100,222.7300,220.2600,221.0500,220.5188,997100,0.0000,1.0000
2019-09-18,218.6600,220.6500,217.4200,220.4800,219.9502,983300,0.0000,1.0000
2019-09-17,216.0000,219.6200,215.9600,218.4000,217.8752,815900,0.0000,1.0000
2019-09-16,217.0000,217.9100,215.0000,215.2900,214.7726,845700,0.0000,1.0000
2019-09-13,220.3600,220.7100,217.4800,218.1800,217.6557,721800,0.0000,1.0000
2019-09-12,220.1300,221.9200,219.8600,220.0400,219.5112,1059700,0.0000,1.0000
2019-09-11,213.3900,218.1700,213.0300,217.9500,217.4262,925800,0.0000,1.0000
2019-09-10,215.9400,216.2900,210.4300,213.6900,213.1765,1733600,0.0000,1.0000
2019-09-09,221.9300,221.9300,216.4600,217.1800,216.6581,1337500,0.0000,1.0000
2019-09-06,220.1100,222.2500,219.7000,221.4000,220.8680,745500,0.0000,1.0000
2019-09-05,220.9400,221.2200,219.3500,220.2200,219.6908,721200,0.0000,1.0000
2019-09-04,219.1400,220.1500,217.4100,219.0000,218.4737,624500,0.0000,1.0000
2019-09-03,219.1200,220.3500,215.9100,218.1200,217.5958,1102200,0.0000,1.0000
2019-08-30,223.2000,223.4500,219.8200,220.6600,220.1297,1038600,0.0000,1.0000
2019-08-29,221.1800,222.2800,219.8800,221.8200,221.2870,669400,0.0000,1.0000
