timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,39.1900,39.3100,39.0500,39.1600,39.1600,14570721,0.0000,1.0000
2019-11-12,39.3500,39.4800,39.0700,39.1700,39.1700,16547600,0.0000,1.0000
2019-11-11,39.2600,39.3800,39.2000,39.3700,39.3700,13574800,0.0000,1.0000
2019-11-08,39.3400,39.4200,39.0900,39.3800,39.3800,18630700,0.0000,1.0000
2019-11-07,39.2900,39.5800,39.2500,39.4200,39.4200,25542400,0.0000,1.0000
2019-11-06,39.2500,39.2800,38.9900,39.2500,39.2500,21999300,0.0000,1.0000
2019-11-05,38.8100,39.3100,38.7900,39.1700,39.1700,29715500,0.0000,1.0000
2019-11-04,39.1000,39.5000,38.8600,38.8900,38.8900,35861700,0.0000,1.0000
2019-11-01,38.9500,39.0200,38.7400,38.9500,38.9500,35232700,0.0000,1.0000
2019-10-31,38.2100,38.4900,37.8800,38.4900,38.4900,39485000,0.0000,1.0000
2019-10-30,38.3900,38.8700,38.1100,38.2000,38.2000,34018800,0.0000,1.0000
2019-10-29,38.4900,38.4900,37.9800,38.0600,38.0600,26710000,0.0000,1.0000
2019-10-28,38.3000,38.8600,37.9700,38.4900,38.4900,62238100,0.0000,1.0000
2019-10-25,36.9400,37.1700,36.7200,36.9100,36.9100,33280800,0.0000,1.0000
2019-10-24,37.6900,37.7700,36.5400,36.8200,36.8200,40074000,0.0000,1.0000
2019-10-23,38.0100,38.1400,37.6300,37.7400,37.7400,24190100,0.0000,1.0000
2019-10-22,37.8200,38.3600,37.6000,38.1700,38.1700,20153800,0.0000,1.0000
2019-10-21,38.4200,38.6200,38.1900,38.2300,38.2300,26645100,0.0000,1.0000
2019-10-18,37.8100,38.5300,37.7900,38.4700,38.4700,37662100,0.0000,1.0000
2019-10-17,37.8600,37.8600,37.6100,37.8100,37.8100,18520900,0.0000,1.0000
2019-10-16,37.8200,38.0000,37.7000,37.7900,37.7900,22034100,0.0000,1.0000
2019-10-15,37.4500,38.0700,37.4200,37.9000,37.9000,22706300,0.0000,1.0000
2019-10-14,37.5800,37.6900,37.3100,37.4700,37.4700,20775600,0.0000,1.0000
2019-10-11,37.5900,37.8000,37.4700,37.5800,37.5800,27685600,0.0000,1.0000
2019-10-10,37.0000,37.5500,36.9700,37.4200,37.4200,23360200,0.0000,1.0000
2019-10-09,37.2100,37.2200,36.8900,37.0500,37.0500,24560100,0.5100,1.0000
2019-10-08,37.6800,37.7100,37.3800,37.4800,36.9700,28170700,0.0000,1.0000
2019-10-07,37.5800,37.8700,37.5200,37.6600,37.1475,21036400,0.0000,1.0000
2019-10-04,37.2200,37.5200,37.1300,37.5100,36.9996,21914100,0.0000,1.0000
2019-10-03,37.0000,37.2000,36.6600,37.1900,36.6839,20372600,0.0000,1.0000
2019-10-02,37.3500,37.3500,36.9200,37.0800,36.5754,26257000,0.0000,1.0000
2019-10-01,37.9500,37.9600,37.3700,37.4100,36.9010,23038500,0.0000,1.0000
2019-09-30,37.5900,37.9200,37.5300,37.8400,37.3251,28341900,0.0000,1.0000
2019-09-27,37.6100,37.7300,37.1800,37.4300,36.9207,24222800,0.0000,1.0000
2019-09-26,37.4000,37.4600,37.1800,37.3800,36.8714,19252300,0.0000,1.0000
2019-09-25,37.3300,37.5600,37.2400,37.3800,36.8714,22328800,0.0000,1.0000
2019-09-24,37.7900,37.8500,37.3400,37.3800,36.8714,27679600,0.0000,1.0000
2019-09-23,37.6200,37.8500,37.4800,37.6000,37.0884,21595900,0.0000,1.0000
2019-09-20,37.3000,38.0100,37.1800,37.9100,37.3941,77472800,0.0000,1.0000
2019-09-19,37.0300,37.2200,36.8000,37.1500,36.6445,27002400,0.0000,1.0000
2019-09-18,36.7600,36.9800,36.4900,36.7600,36.2598,37481400,0.0000,1.0000
2019-09-17,37.0400,37.2500,36.7900,37.1600,36.6544,35027000,0.0000,1.0000
2019-09-16,37.7000,37.8300,37.1100,37.3100,36.8023,49189900,0.0000,1.0000
