timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,52.8200,52.8200,51.7200,51.9500,51.9500,1473465,0.0000,1.0000
2019-11-12,53.5000,53.5300,52.6200,52.6700,52.6700,1481300,0.0000,1.0000
2019-11-11,53.7400,53.7900,53.0500,53.3100,53.3100,1035200,0.0000,1.0000
2019-11-08,53.5500,53.8400,53.1900,53.7900,53.7900,1061900,0.0000,1.0000
2019-11-07,54.7100,55.0600,53.4000,53.5100,53.5100,1308500,0.0000,1.0000
2019-11-06,54.7200,54.9200,54.1200,54.4800,54.4800,1394200,0.0000,1.0000
2019-11-05,53.8500,55.0600,53.6500,54.3800,54.3800,2068000,0.0000,1.0000
2019-11-04,53.1300,54.0700,52.8200,53.6100,53.6100,1275600,0.0000,1.0000
2019-11-01,52.7900,53.3300,52.5800,52.7000,52.7000,1455300,0.0000,1.0000
2019-10-31,52.9500,53.2100,52.3400,52.7200,52.7200,1963800,0.0000,1.0000
2019-10-30,52.9700,54.8600,51.9000,53.0000,53.0000,4119100,0.0000,1.0000
2019-10-29,54.6600,54.9900,54.0700,54.6900,54.6900,3482500,0.0000,1.0000
2019-10-28,56.7400,57.1300,54.5500,54.5700,54.5700,3442700,0.0000,1.0000
2019-10-25,57.4100,57.8900,56.0600,56.8400,56.8400,3497200,0.0000,1.0000
2019-10-24,59.5500,59.7200,58.5300,58.9000,58.9000,1582000,0.0000,1.0000
2019-10-23,58.9000,59.5600,58.6100,59.4700,59.4700,1502100,0.0000,1.0000
2019-10-22,57.3600,59.3200,57.1200,59.3000,59.3000,2654000,0.0000,1.0000
2019-10-21,57.1800,57.3100,56.9700,57.1600,57.1600,1352500,0.0000,1.0000
2019-10-18,57.1500,57.1500,56.7400,56.9800,56.9800,1572300,0.0000,1.0000
2019-10-17,56.5800,57.6100,56.3700,57.0000,57.0000,1474300,0.0000,1.0000
2019-10-16,56.9500,56.9500,56.2100,56.3200,56.3200,1260100,0.0000,1.0000
2019-10-15,56.2500,56.8300,55.9700,56.6800,56.6800,1875200,0.0000,1.0000
2019-10-14,55.8200,56.3300,55.5700,56.2400,56.2400,805500,0.0000,1.0000
2019-10-11,55.5200,56.5400,55.5200,56.0600,56.0600,1024800,0.0000,1.0000
2019-10-10,55.5200,56.0800,55.2200,55.7200,55.7200,976000,0.0000,1.0000
2019-10-09,55.7100,55.8800,55.1600,55.5100,55.5100,1311000,0.0000,1.0000
2019-10-08,56.0000,56.0000,55.0700,55.3400,55.3400,1328200,0.0000,1.0000
2019-10-07,56.7300,57.1200,56.1300,56.1700,56.1700,1192400,0.0000,1.0000
2019-10-04,56.6100,56.8800,55.6500,56.6300,56.6300,1254700,0.0000,1.0000
2019-10-03,56.2200,56.8500,55.1800,56.6200,56.6200,1390300,0.0000,1.0000
2019-10-02,57.6000,57.9500,56.3600,56.7200,56.7200,1341600,0.0000,1.0000
2019-10-01,57.7000,58.3600,57.6000,58.1100,58.1100,1127900,0.0000,1.0000
2019-09-30,57.6400,58.1300,57.3800,57.5000,57.5000,1575900,0.0000,1.0000
2019-09-27,57.3400,57.7100,56.9400,57.4700,57.4700,1687800,0.0000,1.0000
2019-09-26,56.3200,57.3000,56.1200,57.0900,57.0900,1398600,0.0000,1.0000
2019-09-25,56.0500,56.2200,55.5300,56.1400,56.1400,1195800,0.0000,1.0000
2019-09-24,56.2000,56.4100,55.4500,55.8500,55.8500,1122600,0.0000,1.0000
2019-09-23,56.2200,56.5200,55.7600,56.2100,56.2100,1377300,0.0000,1.0000
2019-09-20,55.5200,56.4600,55.3600,56.2600,56.2600,2106000,0.0000,1.0000
2019-09-19,55.0500,55.3100,54.7000,55.0400,55.0400,1239200,0.0000,1.0000
2019-09-18,55.4000,55.5600,54.4300,55.0400,55.0400,2007300,0.0000,1.0000
2019-09-17,57.5300,57.6300,55.5600,55.6800,55.6800,2197700,0.0000,1.0000
2019-09-16,56.9900,57.6000,56.6800,57.5500,57.5500,1476900,0.0000,1.0000
2019-09-13,56.4300,57.2400,56.3200,57.1700,57.1700,1395300,0.0000,1.0000
2019-09-12,56.9000,56.9900,56.0000,56.2500,56.2500,1183200,0.0000,1.0000
2019-09-11,56.3700,56.6500,55.5000,56.3800,56.3800,1694500,0.0000,1.0000
2019-09-10,55.8000,56.8000,55.4200,56.6000,56.6000,2342000,0.0000,1.0000
2019-09-09,53.4100,55.9300,53.4100,55.8700,55.8700,2019400,0.0000,1.0000
2019-09-06,53.3800,53.4900,53.1300,53.4200,53.4200,1464400,0.0000,1.0000
2019-09-05,53.3700,53.6900,53.1300,53.1800,53.1800,1659000,0.0000,1.0000
2019-09-04,52.8100,53.3100,52.6700,53.1300,53.1300,927100,0.0000,1.0000
2019-09-03,51.0900,52.6100,50.7800,52.3900,52.3900,2111300,0.0000,1.0000
2019-08-30,51.2000,51.6000,51.0700,51.3600,51.3600,1390300,0.0000,1.0000
2019-08-29,51.1100,51.4600,50.8900,51.0500,51.0500,768600,0.5700,1.0000
2019-08-28,50.2100,51.2600,49.9200,51.1500,50.5800,923900,0.0000,1.0000
2019-08-27,50.6300,50.7900,50.0400,50.1700,49.6109,1643700,0.0000,1.0000
2019-08-26,50.3300,50.6000,50.0900,50.5700,50.0065,1461700,0.0000,1.0000
2019-08-23,51.5600,51.6600,49.9500,50.0700,49.5120,1643200,0.0000,1.0000
2019-08-22,51.8700,52.3000,51.4800,51.6900,51.1140,1287900,0.0000,1.0000
2019-08-21,52.1100,52.4200,51.5200,51.7800,51.2030,1707300,0.0000,1.0000
2019-08-20,52.5200,52.7700,51.9900,52.1600,51.5787,935300,0.0000,1.0000
2019-08-19,52.4400,52.8400,51.9500,52.5000,51.9150,1479300,0.0000,1.0000
2019-08-16,50.9800,52.0500,50.1500,51.8800,51.3019,1504200,0.0000,1.0000
2019-08-15,50.4700,50.9500,50.1500,50.8600,50.2932,1443400,0.0000,1.0000
2019-08-14,51.2500,51.4200,50.2900,50.3400,49.7790,2103100,0.0000,1.0000
2019-08-13,52.2100,52.9500,51.6200,51.6800,51.1041,1912100,0.0000,1.0000
2019-08-12,52.3100,52.4000,51.9600,52.0100,51.4304,1835100,0.0000,1.0000
2019-08-09,52.4700,52.7500,52.1300,52.6500,52.0633,1536300,0.0000,1.0000
2019-08-08,52.4100,52.7850,51.8900,52.7200,52.1325,1368600,0.0000,1.0000
2019-08-07,50.9200,52.2900,50.5500,52.1400,51.5590,1804200,0.0000,1.0000
2019-08-06,51.0300,51.5600,50.6800,51.1900,50.6196,2697800,0.0000,1.0000
2019-08-05,51.9000,52.0740,49.9200,50.5900,50.0262,3156100,0.0000,1.0000
2019-08-02,52.6600,52.9700,52.0200,52.2400,51.6579,1980600,0.0000,1.0000
2019-08-01,53.0100,54.2500,52.4600,52.4900,51.9051,3219800,0.0000,1.0000
2019-07-31,53.0700,54.2700,51.8000,53.9900,53.3884,6778900,0.0000,1.0000
2019-07-30,56.3900,57.0000,56.0900,56.9200,56.2857,1510700,0.0000,1.0000
2019-07-29,56.7000,56.9800,56.2500,56.5100,55.8803,1236700,0.0000,1.0000
2019-07-26,56.7300,56.9770,56.3800,56.5900,55.9594,1586700,0.0000,1.0000
2019-07-25,56.8026,57.7100,56.1400,56.6700,56.0385,1696700,0.0000,1.0000
2019-07-24,56.2600,56.7600,56.0700,56.6500,56.0187,1239000,0.0000,1.0000
2019-07-23,54.5000,56.7500,54.3569,56.3000,55.6726,2525900,0.0000,1.0000
2019-07-22,54.7800,55.0500,54.0300,54.2300,53.6257,1316200,0.0000,1.0000
2019-07-19,55.0200,55.1000,54.4000,54.5900,53.9817,1545800,0.0000,1.0000
2019-07-18,54.0000,54.6500,53.4800,54.3900,53.7839,1091700,0.0000,1.0000
2019-07-17,54.6600,54.8300,54.1100,54.2900,53.6850,1266600,0.0000,1.0000
2019-07-16,53.6400,54.5700,53.3900,54.4900,53.8828,1603800,0.0000,1.0000
2019-07-15,53.2900,53.8000,52.3589,53.7000,53.1016,1956600,0.0000,1.0000
2019-07-12,54.8000,54.9800,54.2400,54.3800,53.7740,2308100,0.0000,1.0000
2019-07-11,55.8100,55.9200,54.2900,54.7700,54.1597,1116100,0.0000,1.0000
2019-07-10,55.8800,56.3100,55.6800,55.8700,55.2474,1120200,0.0000,1.0000
2019-07-09,56.1600,56.2100,55.1000,55.5400,54.9211,1017100,0.0000,1.0000
2019-07-08,56.9100,56.9600,56.2800,56.4500,55.8209,758900,0.0000,1.0000
2019-07-05,56.7700,56.9250,55.9500,56.8500,56.2165,614700,0.0000,1.0000
2019-07-03,56.5200,57.0600,56.4200,56.8600,56.2264,789200,0.0000,1.0000
2019-07-02,56.5900,56.7400,55.9300,56.1300,55.5045,772100,0.0000,1.0000
2019-07-01,56.2900,56.4850,55.7607,56.3100,55.6825,1239700,0.0000,1.0000
2019-06-28,55.7500,56.4260,55.5000,56.0000,55.3760,1959800,0.0000,1.0000
2019-06-27,54.9700,55.5500,54.7400,55.3300,54.7134,1254700,0.0000,1.0000
2019-06-26,55.2300,55.4000,54.6600,54.9600,54.3475,1580100,0.0000,1.0000
2019-06-25,55.4900,55.6800,54.5300,55.4000,54.7826,1385400,0.0000,1.0000
2019-06-24,55.4388,55.8100,54.9500,55.4600,54.8420,1073100,0.0000,1.0000
2019-06-21,55.0000,55.5400,54.3700,55.4200,54.8024,2205400,0.0000,1.0000
2019-06-20,54.7600,55.4500,54.6400,54.9800,54.3673,1420300,0.0000,1.0000
2019-06-19,54.2000,55.1100,53.8600,54.6600,54.0509,1351100,0.0000,1.0000
2019-06-18,54.2800,54.5100,53.9164,54.1100,53.5070,1328500,0.0000,1.0000
2019-06-17,53.8700,54.0000,53.2500,53.6600,53.0620,1814700,0.0000,1.0000
2019-06-14,54.9800,55.3900,53.8039,54.0000,53.3982,1954100,0.0000,1.0000
2019-06-13,55.0000,55.2750,54.5700,55.1100,54.4959,1375100,0.0000,1.0000
2019-06-12,54.9100,55.4600,54.7150,54.8500,54.2388,1405400,0.0000,1.0000
2019-06-11,54.7300,54.9800,53.8400,54.6300,54.0212,2552500,0.0000,1.0000
2019-06-10,56.5400,56.5740,54.5010,54.7400,54.1300,2508200,0.0000,1.0000
2019-06-07,58.1900,58.5550,55.7500,56.9700,56.3351,2768800,0.0000,1.0000
2019-06-06,57.5900,57.9300,57.4800,57.7100,57.0669,1322700,0.0000,1.0000
2019-06-05,58.4200,58.4200,57.2500,57.4200,56.7801,1569900,0.0000,1.0000
2019-06-04,56.4200,58.0200,56.3550,57.9800,57.3339,1785800,0.0000,1.0000
2019-06-03,54.8300,56.1000,54.6515,55.9000,55.2771,1771200,0.0000,1.0000
2019-05-31,53.7125,55.0600,53.4100,54.9800,54.3673,2538700,0.4100,1.0000
2019-05-30,55.2900,55.7200,54.3000,54.7500,53.7345,2062100,0.0000,1.0000
2019-05-29,57.0600,57.0800,55.0500,55.4600,54.4313,2175600,0.0000,1.0000
2019-05-28,58.7300,58.9600,57.1300,57.2400,56.1783,1727200,0.0000,1.0000
2019-05-24,59.4600,59.6800,58.5600,58.7200,57.6308,1081100,0.0000,1.0000
2019-05-23,58.7900,59.4400,58.3700,59.4200,58.3178,1235000,0.0000,1.0000
2019-05-22,58.5200,59.4300,58.3750,59.2500,58.1510,1021200,0.0000,1.0000
2019-05-21,58.1600,58.8200,58.0600,58.7700,57.6799,772800,0.0000,1.0000
2019-05-20,58.3300,58.7500,57.8800,58.0600,56.9831,854000,0.0000,1.0000
2019-05-17,58.3100,58.9900,58.2000,58.6600,57.5719,836800,0.0000,1.0000
2019-05-16,58.3700,59.2400,58.2600,58.5400,57.4542,1367000,0.0000,1.0000
2019-05-15,58.3400,58.9000,58.0700,58.3000,57.2186,1239900,0.0000,1.0000
2019-05-14,58.1000,58.8800,57.8900,58.4200,57.3364,1175000,0.0000,1.0000
2019-05-13,58.0210,58.0900,57.3800,57.8700,56.7966,1074300,0.0000,1.0000
2019-05-10,58.2200,58.6600,57.3600,58.6400,57.5523,1285600,0.0000,1.0000
2019-05-09,58.7900,58.9700,57.5300,58.3500,57.2677,1392200,0.0000,1.0000
2019-05-08,59.8400,59.8500,58.5200,59.1800,58.0823,1955400,0.0000,1.0000
2019-05-07,60.5900,60.7350,59.5800,60.0800,58.9656,1692800,0.0000,1.0000
2019-05-06,60.7500,61.4900,60.6200,60.9800,59.8489,1166600,0.0000,1.0000
2019-05-03,60.4600,61.4400,60.3000,61.3700,60.2317,1708000,0.0000,1.0000
2019-05-02,59.2000,59.9900,58.5100,59.9200,58.8086,1902000,0.0000,1.0000
2019-05-01,62.9900,62.9900,59.1900,59.3500,58.2491,4781100,0.0000,1.0000
2019-04-30,63.7200,64.3200,63.2700,64.1900,62.9994,2388700,0.0000,1.0000
2019-04-29,63.7200,64.0900,63.5700,63.8800,62.6951,2163300,0.0000,1.0000
2019-04-26,63.0100,64.1200,63.0085,63.8300,62.6460,1339700,0.0000,1.0000
2019-04-25,61.9600,63.0000,61.7100,62.8000,61.6351,1359300,0.0000,1.0000
2019-04-24,61.3900,62.5300,61.2459,62.5100,61.3505,1661000,0.0000,1.0000
2019-04-23,61.1500,61.2800,60.3200,61.2800,60.1433,1583800,0.0000,1.0000
2019-04-22,61.4900,62.3300,61.0400,61.1600,60.0256,1892100,0.0000,1.0000
2019-04-18,59.7000,61.5300,59.6800,61.4000,60.2611,1917900,0.0000,1.0000
2019-04-17,59.5900,60.1400,59.2190,59.4200,58.3178,1143400,0.0000,1.0000
2019-04-16,60.4500,60.7700,59.4300,59.5300,58.4258,1771300,0.0000,1.0000
2019-04-15,60.2500,60.6100,60.0000,60.4500,59.3287,990400,0.0000,1.0000
2019-04-12,60.2500,60.9400,59.8800,59.9800,58.8674,729200,0.0000,1.0000
2019-04-11,59.8200,60.7200,59.7250,60.0700,58.9558,1464000,0.0000,1.0000
2019-04-10,59.5021,59.6700,58.7600,59.4000,58.2982,1680700,0.0000,1.0000
2019-04-09,60.2800,60.5100,59.2300,59.5500,58.4454,1428600,0.0000,1.0000
2019-04-08,60.3500,61.0100,60.3500,60.7900,59.6624,1171600,0.0000,1.0000
2019-04-05,60.7600,61.0000,60.1400,60.6300,59.5054,1068800,0.0000,1.0000
2019-04-04,60.0500,60.9100,59.8289,60.7600,59.6330,1349300,0.0000,1.0000
2019-04-03,60.1000,60.4000,59.3700,59.8400,58.7300,1493000,0.0000,1.0000
2019-04-02,60.4200,60.4861,59.8400,60.1500,59.0343,1106900,0.0000,1.0000
2019-04-01,59.9600,60.6600,59.8400,60.3700,59.2502,1333300,0.0000,1.0000
2019-03-29,59.6900,60.2300,59.4404,59.6500,58.5436,1846400,0.0000,1.0000
2019-03-28,59.3900,59.7000,59.1400,59.2700,58.1706,1374300,0.0000,1.0000
2019-03-27,59.3000,59.7700,58.7800,59.2900,58.1902,1397100,0.0000,1.0000
2019-03-26,59.0900,59.4800,58.8800,59.4800,58.3767,1295600,0.0000,1.0000
2019-03-25,59.3600,59.5200,58.7500,58.7500,57.6603,1238800,0.0000,1.0000
2019-03-22,60.3400,60.3400,59.4400,59.4500,58.3473,1225200,0.0000,1.0000
2019-03-21,59.4800,60.8100,59.4500,60.8100,59.6820,1281300,0.0000,1.0000
2019-03-20,60.5200,60.6300,59.2100,59.7700,58.6613,2212800,0.0000,1.0000
2019-03-19,61.1200,61.4400,60.4700,60.7600,59.6330,1602400,0.0000,1.0000
2019-03-18,60.9800,61.2650,60.6600,60.9500,59.8194,1098000,0.0000,1.0000
2019-03-15,60.4900,61.5410,60.4300,60.8200,59.6919,2439400,0.0000,1.0000
2019-03-14,60.5700,60.8600,60.2950,60.4900,59.3680,2108700,0.0000,1.0000
2019-03-13,60.2600,61.1790,60.1600,60.5900,59.4661,2108400,0.0000,1.0000
2019-03-12,60.2000,60.5200,59.9600,60.2100,59.0932,1091700,0.0000,1.0000
2019-03-11,59.5300,60.2600,59.2700,60.1000,58.9852,1140500,0.0000,1.0000
2019-03-08,60.0800,60.1700,59.3200,59.4500,58.3473,996700,0.0000,1.0000
2019-03-07,60.2000,60.2600,59.7500,60.0400,58.9263,1552800,0.0000,1.0000
2019-03-06,61.1700,61.4300,59.8500,60.1600,59.0441,1622700,0.0000,1.0000
2019-03-05,61.0004,61.4100,60.4800,61.0900,59.9569,1711000,0.0000,1.0000
2019-03-04,61.3500,61.6752,60.6000,61.2500,60.1139,1590100,0.0000,1.0000
2019-03-01,61.5400,62.1486,61.3100,61.4100,60.2709,2098300,0.4100,1.0000
2019-02-28,61.3700,62.2901,61.1600,61.6600,60.1139,1682000,0.0000,1.0000
2019-02-27,60.8200,61.3400,60.6800,61.1100,59.5777,2507600,0.0000,1.0000
2019-02-26,61.1800,61.3600,60.8800,61.0400,59.5094,1131300,0.0000,1.0000
2019-02-25,62.2400,62.2400,61.0400,61.0400,59.5094,2404100,0.0000,1.0000
2019-02-22,61.5100,62.0600,60.5000,61.9300,60.3771,1228200,0.0000,1.0000
2019-02-21,61.6000,62.6857,61.0800,62.0800,60.5234,1425300,0.0000,1.0000
2019-02-20,60.9600,63.1600,60.9600,61.3900,59.8507,3103200,0.0000,1.0000
2019-02-19,60.6600,61.3500,60.1944,61.1100,59.5777,1634900,0.0000,1.0000
2019-02-15,60.4000,61.1500,60.1000,60.9100,59.3827,1617400,0.0000,1.0000
2019-02-14,59.3700,60.3500,59.3200,59.8400,58.3395,2387600,0.0000,1.0000
2019-02-13,59.1100,59.7600,58.4200,59.6800,58.1835,4930500,0.0000,1.0000
2019-02-12,60.2100,62.0000,59.0100,59.1900,57.7058,7651100,0.0000,1.0000
2019-02-11,65.1200,65.3900,64.5950,65.3600,63.7211,2507400,0.0000,1.0000
2019-02-08,65.4200,65.7400,64.4600,64.9400,63.3116,1683500,0.0000,1.0000
2019-02-07,65.6500,66.1199,65.2000,65.5700,63.9258,1190200,0.0000,1.0000
