timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,544.2900,553.0400,543.5400,549.2000,549.2000,205045,0.0000,1.0000
2019-11-12,543.3400,545.5200,541.1200,544.5000,544.5000,174800,0.0000,1.0000
2019-11-11,540.0900,544.3100,538.2900,543.1100,543.1100,201600,0.0000,1.0000
2019-11-08,538.8600,544.8900,538.5900,541.0800,541.0800,194500,0.0000,1.0000
2019-11-07,539.2600,543.2300,537.6500,538.3000,538.3000,253800,0.0000,1.0000
2019-11-06,535.5500,536.5800,530.5800,536.4200,536.4200,226700,0.0000,1.0000
2019-11-05,531.3700,535.6500,527.8000,535.4700,535.4700,187300,0.0000,1.0000
2019-11-04,539.5000,541.0400,529.3000,533.0400,533.0400,181500,0.0000,1.0000
2019-11-01,531.0300,539.4500,528.9200,538.2800,538.2800,239300,0.0000,1.0000
2019-10-31,532.2000,532.6500,524.5400,526.2800,526.2800,203700,0.0000,1.0000
2019-10-30,526.0600,532.6000,521.4800,531.9600,531.9600,165600,0.0000,1.0000
2019-10-29,532.0000,539.6800,525.3900,525.9700,525.9700,286600,0.0000,1.0000
2019-10-28,523.2600,530.9900,523.2600,527.5200,527.5200,198500,0.0000,1.0000
2019-10-25,527.2700,529.9700,522.6700,523.4500,523.4500,190900,0.0000,1.0000
2019-10-24,515.4400,528.9000,513.3000,527.7900,527.7900,197400,0.0000,1.0000
2019-10-23,508.2100,516.2700,508.2100,514.8700,514.8700,149000,0.0000,1.0000
2019-10-22,521.0000,524.8500,508.3300,510.9300,510.9300,348400,0.0000,1.0000
2019-10-21,525.6000,529.0600,521.1200,521.9300,521.9300,313400,0.0000,1.0000
2019-10-18,527.8800,527.8800,519.5100,526.5700,526.5700,335400,0.0000,1.0000
2019-10-17,518.8400,528.4100,518.8400,526.5500,526.5500,222200,0.0000,1.0000
2019-10-16,521.7100,522.7100,517.3900,518.8400,518.8400,197900,0.0000,1.0000
2019-10-15,520.9900,525.1300,519.0100,523.0000,523.0000,209100,0.0000,1.0000
2019-10-14,524.3800,525.6400,518.1900,518.7000,518.7000,224400,0.0000,1.0000
2019-10-11,518.6600,527.5300,515.0000,524.7800,524.7800,330500,0.0000,1.0000
2019-10-10,507.4700,514.2800,506.1000,511.0000,511.0000,176400,0.0000,1.0000
2019-10-09,511.6100,513.4700,506.0000,509.1500,509.1500,215000,0.0000,1.0000
2019-10-08,510.5100,514.5300,501.2300,508.6600,508.6600,200100,0.0000,1.0000
2019-10-07,510.3100,521.7200,510.0600,514.4200,514.4200,194900,0.0000,1.0000
2019-10-04,509.2800,514.0000,506.0000,513.6100,513.6100,212500,0.0000,1.0000
2019-10-03,499.3700,507.3100,497.3300,507.2300,507.2300,195900,0.0000,1.0000
2019-10-02,501.8400,504.2200,497.4600,499.7600,499.7600,341600,0.0000,1.0000
2019-10-01,521.6200,522.9900,506.0300,506.4700,506.4700,255900,0.0000,1.0000
2019-09-30,518.9800,523.4200,516.7300,520.6700,520.6700,220300,0.0000,1.0000
2019-09-27,534.8100,537.1400,515.4100,518.1900,518.1900,324300,0.0000,1.0000
2019-09-26,529.5000,533.9400,528.3700,530.6600,530.6600,165600,0.0000,1.0000
2019-09-25,524.8700,528.8200,521.8500,528.0600,528.0600,245600,0.0000,1.0000
2019-09-24,537.0400,537.0400,524.0900,526.3800,526.3800,368400,0.0000,1.0000
2019-09-23,524.8500,534.6000,524.5000,529.4400,529.4400,292200,0.0000,1.0000
2019-09-20,532.9400,533.7300,522.9000,527.2600,527.2600,432400,0.0000,1.0000
2019-09-19,529.9100,533.8800,527.3000,531.2800,531.2800,247800,0.0000,1.0000
2019-09-18,525.8000,531.4800,523.9300,530.3800,530.3800,332200,0.0000,1.0000
2019-09-17,523.2400,526.8400,520.2400,525.5900,525.5900,341300,0.0000,1.0000
2019-09-16,517.8300,525.4700,516.2300,523.5400,523.5400,319400,0.0000,1.0000
2019-09-13,516.0300,523.5800,513.0200,519.8200,519.8200,266100,0.0000,1.0000
2019-09-12,503.7100,515.7300,503.7100,514.7600,514.7600,474700,0.0000,1.0000
