timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,132.7000,134.3900,132.5100,134.1300,134.1300,1053406,0.0000,1.0000
2019-11-12,133.6900,133.7300,132.4400,133.3500,133.3500,1050600,0.0000,1.0000
2019-11-11,133.0000,133.9400,132.8000,133.5400,133.5400,1319100,0.0000,1.0000
2019-11-08,132.7300,133.9500,132.5000,133.2900,133.2900,1301700,0.0000,1.0000
2019-11-07,132.7000,133.8200,132.6200,133.0100,133.0100,1333700,0.0000,1.0000
2019-11-06,131.2800,132.5900,131.0800,132.3500,132.3500,1559600,0.0000,1.0000
2019-11-05,130.1900,131.9900,130.1500,131.2700,131.2700,1590600,0.0000,1.0000
2019-11-04,131.1400,131.6000,129.8400,130.2000,130.2000,1106900,0.0000,1.0000
2019-11-01,131.5200,131.5600,129.7700,130.7200,130.7200,1005000,0.0000,1.0000
2019-10-31,129.4100,131.1200,128.9500,131.0600,131.0600,1864100,0.0000,1.0000
2019-10-30,129.1000,130.2600,128.7400,129.7800,129.7800,1353300,0.0000,1.0000
2019-10-29,129.0500,129.8800,128.2900,128.9300,128.9300,2190700,0.0000,1.0000
2019-10-28,130.7500,131.2000,129.2300,129.3000,129.3000,1525500,0.0000,1.0000
2019-10-25,131.0500,131.4400,129.5000,130.4300,130.4300,1342300,0.0000,1.0000
2019-10-24,132.3400,132.7300,131.0400,131.4300,131.4300,1281500,0.0000,1.0000
2019-10-23,130.0700,133.0300,129.6900,132.1600,132.1600,1933900,0.0000,1.0000
2019-10-22,132.5700,133.7500,129.8200,130.1500,130.1500,3551600,0.0000,1.0000
2019-10-21,141.9900,142.2200,141.4100,141.9100,141.9100,1716300,0.0000,1.0000
2019-10-18,140.7600,141.6700,140.2100,141.3600,141.3600,1505000,0.0000,1.0000
2019-10-17,142.6100,142.8600,140.4300,140.4800,140.4800,1111300,0.0000,1.0000
2019-10-16,142.8400,142.9100,141.5600,142.5700,142.5700,912600,0.0000,1.0000
2019-10-15,143.4900,144.5000,143.1400,143.3100,143.3100,878200,0.0000,1.0000
2019-10-14,142.4300,143.3000,142.1600,143.1100,143.1100,602000,0.0000,1.0000
2019-10-11,143.1600,143.8400,142.4200,142.6000,142.6000,1187500,0.0000,1.0000
2019-10-10,141.1600,142.6000,140.7900,141.5600,141.5600,846200,0.0000,1.0000
2019-10-09,141.4000,141.6700,140.6200,141.3000,141.3000,724800,0.0000,1.0000
2019-10-08,142.4300,142.4300,140.6000,140.6300,140.6300,1148500,0.0000,1.0000
2019-10-07,144.6400,144.6400,143.0600,143.1500,143.1500,891500,0.0000,1.0000
2019-10-04,142.0000,145.2100,141.8000,144.9600,144.9600,1229400,0.0000,1.0000
2019-10-03,142.1200,142.4000,140.6900,141.7300,141.7300,1215300,0.0000,1.0000
2019-10-02,144.8300,145.0700,141.7600,142.3900,142.3900,1376000,0.0000,1.0000
2019-10-01,149.2700,149.5800,145.5200,145.5500,145.5500,1236600,0.0000,1.0000
2019-09-30,147.9800,149.3800,147.9800,148.6900,148.6900,886500,0.0000,1.0000
2019-09-27,148.5400,148.6500,147.1500,148.0000,148.0000,1204100,0.0000,1.0000
2019-09-26,146.9000,148.4100,146.8300,148.1000,148.1000,799900,0.0000,1.0000
2019-09-25,146.8500,147.0100,145.7800,146.8500,146.8500,839000,0.0000,1.0000
2019-09-24,146.8900,148.2100,146.4200,146.7500,146.7500,1056200,0.0000,1.0000
2019-09-23,146.1800,147.3900,145.8300,146.5400,146.5400,823800,0.0000,1.0000
2019-09-20,146.5600,148.3300,146.0700,146.2800,146.2800,2418600,0.0000,1.0000
2019-09-19,146.8000,148.4100,146.7500,146.9400,146.9400,952300,0.0000,1.0000
2019-09-18,145.8400,147.0000,144.7000,146.4700,146.4700,1276900,0.0000,1.0000
2019-09-17,146.4800,148.1200,146.2100,147.2500,147.2500,1322900,0.0000,1.0000
2019-09-16,145.7100,147.2300,145.5300,146.3400,146.3400,1161000,0.0000,1.0000
2019-09-13,148.3900,148.5700,145.5800,146.3100,146.3100,1631700,0.0000,1.0000
2019-09-12,147.1800,148.9100,146.8000,148.3000,148.3000,1358900,0.0000,1.0000
2019-09-11,145.8600,146.3600,144.3000,146.2300,146.2300,1440000,0.0000,1.0000
2019-09-10,148.8500,149.1400,145.5400,146.5700,146.5700,1629000,0.0000,1.0000
2019-09-09,152.7900,153.3800,148.0200,149.2300,149.2300,1658300,0.8200,1.0000
2019-09-06,151.7800,153.6500,151.6900,152.8400,152.0200,1277000,0.0000,1.0000
2019-09-05,151.7500,152.6300,150.9800,151.7400,150.9259,1230100,0.0000,1.0000
2019-09-04,148.4600,150.2700,147.8400,150.1600,149.3544,969400,0.0000,1.0000
2019-09-03,146.2400,147.6200,145.7800,147.5700,146.7783,1061700,0.0000,1.0000
2019-08-30,147.6700,147.9400,146.1500,146.9600,146.1716,1029800,0.0000,1.0000
2019-08-29,147.5700,147.7900,146.2600,146.9400,146.1517,1152800,0.0000,1.0000
2019-08-28,146.8800,147.3400,145.6700,146.3700,145.5847,1072700,0.0000,1.0000
2019-08-27,148.2600,148.5700,146.7000,147.1000,146.3108,987100,0.0000,1.0000
2019-08-26,145.6000,147.4200,145.2100,147.3400,146.5495,898100,0.0000,1.0000
2019-08-23,147.3300,148.7700,144.1700,144.7300,143.9535,1430500,0.0000,1.0000
2019-08-22,147.6400,148.1700,146.2900,147.8100,147.0170,696800,0.0000,1.0000
2019-08-21,146.7500,147.4600,146.2500,147.0400,146.2511,849700,0.0000,1.0000
2019-08-20,147.6300,148.4600,146.3900,146.5100,145.7240,905800,0.0000,1.0000
2019-08-19,148.4000,148.4000,147.0200,147.5800,146.7882,1379600,0.0000,1.0000
2019-08-16,146.1800,147.1400,143.0400,146.8100,146.0224,1575500,0.0000,1.0000
2019-08-15,143.4400,146.2400,143.0400,145.5900,144.8089,1203900,0.0000,1.0000
2019-08-14,146.7400,147.7924,143.4300,143.4800,142.7102,1563500,0.0000,1.0000
2019-08-13,146.6300,148.8800,146.0000,148.2200,147.4248,1110300,0.0000,1.0000
2019-08-12,148.5400,149.3206,146.2500,146.3000,145.6643,1132300,0.0000,1.0000
2019-08-09,148.5000,149.6400,147.5800,149.0700,148.2702,1385900,0.0000,1.0000
2019-08-08,147.8600,148.7800,146.2300,148.2200,147.4248,1644100,0.0000,1.0000
2019-08-07,144.2500,148.0300,143.1200,147.3600,146.5694,1555700,0.0000,1.0000
2019-08-06,143.7200,146.0400,142.7900,145.9600,145.1769,1331300,0.0000,1.0000
2019-08-05,146.2800,147.4700,143.5800,143.9300,143.1578,1664300,0.0000,1.0000
2019-08-02,146.5000,147.7600,145.4700,146.9200,146.1318,1442800,0.0000,1.0000
