timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,46.0900,46.5100,45.7200,46.2500,46.2500,1606316,0.0000,1.0000
2019-11-12,45.9800,46.8100,45.9600,46.4100,46.4100,1272300,0.0000,1.0000
2019-11-11,46.1400,46.6300,45.9100,46.1600,46.1600,1021200,0.0000,1.0000
2019-11-08,46.9600,46.9600,46.3100,46.6100,46.6100,1322300,0.0000,1.0000
2019-11-07,47.2600,47.8500,46.9800,47.1300,47.1300,1295200,0.0000,1.0000
2019-11-06,47.2900,47.4400,46.4600,46.9300,46.9300,1498400,0.0000,1.0000
2019-11-05,48.3200,48.4200,47.0600,47.3000,47.3000,1563400,0.0000,1.0000
2019-11-04,47.7600,48.3400,47.7500,48.1700,48.1700,1653900,0.0000,1.0000
2019-11-01,46.6900,47.4100,46.3900,47.2000,47.2000,2757800,0.0000,1.0000
2019-10-31,46.3500,46.5700,45.3700,46.0900,46.0900,1111600,0.0000,1.0000
2019-10-30,47.0400,47.0400,46.1600,46.6800,46.6800,1104700,0.0000,1.0000
2019-10-29,46.8500,47.6400,46.6700,47.1100,47.1100,1333900,0.0000,1.0000
2019-10-28,47.6900,48.0300,47.0300,47.0300,47.0300,1144100,0.0000,1.0000
2019-10-25,46.6100,47.4700,46.5700,47.2600,47.2600,999200,0.0000,1.0000
2019-10-24,46.9000,46.9800,46.2700,46.7500,46.7500,1276700,0.0000,1.0000
2019-10-23,46.6700,46.9400,46.3800,46.7900,46.7900,1275800,0.0000,1.0000
2019-10-22,46.2600,47.0000,45.9400,46.6400,46.6400,2488600,0.0000,1.0000
2019-10-21,46.3500,47.2300,46.0900,47.2100,47.2100,2125800,0.0000,1.0000
2019-10-18,47.7500,48.1000,46.0000,46.0100,46.0100,2459500,0.0000,1.0000
2019-10-17,47.2000,49.4200,47.2000,47.7500,47.7500,3107600,0.0000,1.0000
2019-10-16,50.4300,51.1900,50.2200,50.4700,50.4700,2012900,0.0000,1.0000
2019-10-15,49.7100,50.9600,49.4300,50.6300,50.6300,1294500,0.0000,1.0000
2019-10-14,48.6700,49.6400,48.4900,49.5500,49.5500,1160700,0.0000,1.0000
2019-10-11,48.3600,49.7900,48.3600,48.8600,48.8600,1271200,0.0000,1.0000
2019-10-10,46.9200,47.7600,46.7800,47.4600,47.4600,1091100,0.0000,1.0000
2019-10-09,46.9500,47.0300,46.5500,46.7600,46.7600,1032300,0.0000,1.0000
2019-10-08,46.9000,47.2700,46.3100,46.3400,46.3400,1248700,0.0000,1.0000
2019-10-07,47.5500,48.2500,47.2300,47.5900,47.5900,995200,0.0000,1.0000
2019-10-04,47.2900,47.6600,46.9800,47.5500,47.5500,639900,0.0000,1.0000
2019-10-03,46.5800,47.2700,45.6600,47.2600,47.2600,813200,0.0000,1.0000
2019-10-02,47.2300,47.4400,46.0500,46.7000,46.7000,1186700,0.0000,1.0000
2019-10-01,49.3700,49.8000,47.6900,47.9000,47.9000,982600,0.0000,1.0000
2019-09-30,49.3500,49.6200,48.6600,48.9600,48.9600,1542000,0.0000,1.0000
2019-09-27,50.2000,50.5100,49.0400,49.2000,49.2000,1418100,0.0000,1.0000
2019-09-26,50.9600,51.0000,50.1600,50.3800,50.3800,893600,0.0000,1.0000
2019-09-25,50.6900,51.2200,50.3400,51.0300,51.0300,1048200,0.0000,1.0000
2019-09-24,50.8300,51.2300,50.0700,50.5900,50.5900,1553900,0.0000,1.0000
2019-09-23,50.5700,51.0400,49.9300,50.7400,50.7400,1297000,0.0000,1.0000
2019-09-20,51.8300,51.8300,50.7200,50.9300,50.9300,2182300,0.0000,1.0000
2019-09-19,52.3200,52.5300,51.3800,51.4300,51.4300,896000,0.0000,1.0000
2019-09-18,52.5600,52.7000,51.6400,52.2900,52.2900,1311500,0.0000,1.0000
2019-09-17,52.4000,52.8700,51.9300,52.8400,52.8400,1656000,0.0000,1.0000
2019-09-16,51.4200,52.6300,51.1300,52.6000,52.6000,1956300,0.0000,1.0000
2019-09-13,51.2800,52.1200,51.1100,51.4000,51.4000,1125500,0.0000,1.0000
2019-09-12,51.1700,51.3400,49.8200,50.8900,50.8900,1374600,0.0200,1.0000
2019-09-11,50.2500,51.3200,49.0600,51.1800,51.1600,2188400,0.0000,1.0000
2019-09-10,47.9300,50.2500,47.8400,50.2300,50.2104,2185300,0.0000,1.0000
2019-09-09,46.6600,48.0500,46.5300,47.9500,47.9313,2031100,0.0000,1.0000
2019-09-06,46.5500,46.7800,46.2200,46.4800,46.4618,1272500,0.0000,1.0000
2019-09-05,45.0000,46.4600,45.0000,46.2900,46.2719,1771700,0.0000,1.0000
2019-09-04,44.2800,44.6100,43.9100,44.4500,44.4326,1113800,0.0000,1.0000
2019-09-03,44.5500,44.5800,43.2600,43.6400,43.6229,1433300,0.0000,1.0000
2019-08-30,44.8600,45.4800,44.8500,45.0000,44.9824,1422700,0.0000,1.0000
2019-08-29,44.0000,44.7300,43.9200,44.5900,44.5726,758200,0.0000,1.0000
2019-08-28,42.6900,43.4900,42.3000,43.4000,43.3830,844000,0.0000,1.0000
2019-08-27,43.5000,43.5500,42.7200,42.7700,42.7533,911300,0.0000,1.0000
2019-08-26,43.6800,43.7500,42.8200,43.3100,43.2931,1201700,0.0000,1.0000
2019-08-23,44.4100,44.7000,42.8700,43.0700,43.0532,1473000,0.0000,1.0000
2019-08-22,45.2000,45.3600,44.8200,44.8600,44.8425,717600,0.0000,1.0000
2019-08-21,45.3900,45.4800,44.9300,45.0800,45.0624,1087100,0.0000,1.0000
2019-08-20,44.9800,45.0500,44.1800,44.7600,44.7425,1300900,0.0000,1.0000
2019-08-19,45.1500,45.6100,44.8500,45.2000,45.1823,1167000,0.0000,1.0000
2019-08-16,43.8100,44.4600,42.5300,44.3600,44.3427,3261200,0.0000,1.0000
2019-08-15,43.2700,43.5300,42.5300,43.3600,43.3431,1904200,0.0000,1.0000
2019-08-14,44.5500,44.6600,43.0000,43.1800,43.1631,1833000,0.0000,1.0000
2019-08-13,45.6100,46.5600,45.2100,45.3900,45.3723,1874900,0.0000,1.0000
2019-08-12,46.3200,46.3500,45.3300,45.3900,45.3723,1126500,0.0000,1.0000
2019-08-09,48.0500,48.1500,46.7100,46.7700,46.7517,1469700,0.0000,1.0000
2019-08-08,47.4900,48.3200,47.4100,48.2500,48.2311,968200,0.0000,1.0000
2019-08-07,46.8300,47.2676,45.7700,47.1000,47.0816,1723800,0.0000,1.0000
2019-08-06,47.1500,47.5200,46.5700,47.4800,47.4614,1412400,0.0000,1.0000
2019-08-05,46.0000,47.0000,45.6700,46.6500,46.6318,2452800,0.0000,1.0000
2019-08-02,47.9700,47.9700,46.8400,47.0300,47.0116,1449400,0.0000,1.0000
2019-08-01,49.1400,49.4200,47.8300,48.0100,47.9912,1929100,0.0000,1.0000
2019-07-31,50.1200,50.2800,48.9700,49.3000,49.2807,1698800,0.0000,1.0000
2019-07-30,49.6100,50.3800,49.3847,50.3400,50.3203,1444100,0.0000,1.0000
2019-07-29,49.8700,50.2300,49.7100,49.8600,49.8405,1264300,0.0000,1.0000
2019-07-26,50.7300,50.7400,50.0100,50.0400,50.0204,1268200,0.0000,1.0000
2019-07-25,52.1200,52.1200,50.5100,50.7900,50.7702,2127900,0.0000,1.0000
2019-07-24,50.9900,52.1300,50.5385,52.1100,52.0896,1446800,0.0000,1.0000
2019-07-23,50.3300,51.1300,49.9473,51.0500,51.0301,1817600,0.0000,1.0000
2019-07-22,49.0900,49.8000,49.0800,49.7800,49.7605,1686700,0.0000,1.0000
2019-07-19,49.2500,49.7500,48.8900,49.1400,49.1208,2483300,0.0000,1.0000
2019-07-18,48.7600,48.9000,47.3900,48.8500,48.8309,3470900,0.0000,1.0000
2019-07-17,52.5000,53.0000,48.8704,48.8800,48.8609,6683700,0.0000,1.0000
2019-07-16,53.5600,54.2400,53.4800,54.0300,54.0089,2004900,0.0000,1.0000
2019-07-15,53.3600,53.7100,52.9800,53.4300,53.4091,1014700,0.0000,1.0000
2019-07-12,52.6500,53.6500,52.6100,53.6100,53.5891,935900,0.0000,1.0000
2019-07-11,52.3300,52.6300,51.9900,52.5200,52.4995,1327200,0.0000,1.0000
2019-07-10,53.3600,53.7000,52.4200,52.4200,52.3995,1808200,0.0000,1.0000
2019-07-09,52.2500,53.4800,52.2400,53.3400,53.3192,1312200,0.0000,1.0000
2019-07-08,52.7700,53.1500,52.2900,52.6800,52.6594,1383800,0.0000,1.0000
2019-07-05,52.4800,53.1700,51.9300,53.1500,53.1292,679600,0.0000,1.0000
2019-07-03,53.0800,53.0800,52.5600,52.8900,52.8693,619400,0.0000,1.0000
2019-07-02,53.1200,53.1200,52.6000,52.8700,52.8493,1145500,0.0000,1.0000
2019-07-01,53.7400,54.2200,52.7300,53.1300,53.1092,1038000,0.0000,1.0000
2019-06-28,52.0600,53.0600,51.8664,53.0400,53.0193,2563100,0.0000,1.0000
2019-06-27,51.4300,52.0100,51.4300,51.8700,51.8497,1182000,0.0000,1.0000
2019-06-26,51.7100,51.7400,51.3400,51.3900,51.3699,1195700,0.0000,1.0000
2019-06-25,51.8600,51.9800,51.4000,51.6100,51.5898,950800,0.0000,1.0000
2019-06-24,51.7500,52.1900,51.5700,51.8100,51.7898,1146500,0.0000,1.0000
2019-06-21,52.3800,52.6100,51.8600,51.9100,51.8897,2755500,0.0000,1.0000
2019-06-20,51.6400,52.5100,51.4900,52.4700,52.4495,1435300,0.0000,1.0000
2019-06-19,51.1800,51.4511,50.5000,51.0100,50.9901,1131300,0.0000,1.0000
2019-06-18,49.5938,51.0300,49.6000,50.9700,50.9501,1250100,0.0000,1.0000
2019-06-17,49.5300,49.7700,49.0500,49.2700,49.2507,926700,0.0000,1.0000
2019-06-14,49.5800,49.7500,49.0700,49.4500,49.4307,1152000,0.0000,1.0000
2019-06-13,48.9200,49.7300,48.7100,49.7300,49.7106,1096000,0.0200,1.0000
2019-06-12,48.4200,48.9100,48.2500,48.7500,48.7110,907700,0.0000,1.0000
2019-06-11,50.0900,50.2210,48.5700,48.6600,48.6210,1569200,0.0000,1.0000
2019-06-10,49.6300,50.2400,49.5100,49.5700,49.5303,1010700,0.0000,1.0000
2019-06-07,48.6100,49.3650,48.4400,49.1100,49.0707,919100,0.0000,1.0000
2019-06-06,48.5100,48.6600,47.8200,48.3800,48.3413,874200,0.0000,1.0000
2019-06-05,48.7874,48.8300,47.8050,48.5400,48.5011,1180500,0.0000,1.0000
2019-06-04,46.9100,48.4400,46.9100,48.3900,48.3512,1444900,0.0000,1.0000
2019-06-03,45.2111,46.6900,45.2100,46.3100,46.2729,1498200,0.0000,1.0000
2019-05-31,45.6200,45.7700,45.1750,45.3000,45.2637,1620100,0.0000,1.0000
2019-05-30,46.4700,46.7310,45.8700,46.1400,46.1030,927700,0.0000,1.0000
2019-05-29,46.6200,46.6700,46.0000,46.4500,46.4128,921800,0.0000,1.0000
2019-05-28,47.6000,47.7400,46.7200,46.7900,46.7525,1402800,0.0000,1.0000
2019-05-24,47.7600,48.0000,47.2600,47.5600,47.5219,1113500,0.0000,1.0000
2019-05-23,47.9700,47.9900,46.5100,47.4300,47.3920,2951100,0.0000,1.0000
2019-05-22,49.2700,49.3100,48.5100,48.7000,48.6610,1314300,0.0000,1.0000
2019-05-21,49.1300,49.9200,48.8900,49.4200,49.3804,1400500,0.0000,1.0000
2019-05-20,48.7000,49.0800,48.4150,48.6400,48.6010,1417200,0.0000,1.0000
2019-05-17,50.4500,50.4500,49.0710,49.1000,49.0607,1532700,0.0000,1.0000
2019-05-16,50.2900,51.2300,50.1900,50.9800,50.9392,1087100,0.0000,1.0000
2019-05-15,49.5900,50.4200,48.9760,50.0900,50.0499,1279400,0.0000,1.0000
2019-05-14,49.3500,50.5400,49.1300,50.0900,50.0499,1895300,0.0000,1.0000
2019-05-13,50.1471,50.5500,48.6400,49.1000,49.0607,1588800,0.0000,1.0000
2019-05-10,50.5000,51.6384,50.0100,51.4900,51.4488,1309800,0.0000,1.0000
2019-05-09,51.1700,51.2200,50.3900,50.8400,50.7993,1564900,0.0000,1.0000
2019-05-08,51.8300,52.3500,51.6100,51.7400,51.6986,1409100,0.0000,1.0000
2019-05-07,52.4500,52.6800,51.3500,51.7600,51.7185,1375800,0.0000,1.0000
2019-05-06,52.3100,53.3400,51.8700,53.1900,53.1474,1402300,0.0000,1.0000
2019-05-03,52.7362,53.3500,52.5700,53.3000,53.2573,1116300,0.0000,1.0000
2019-05-02,52.8100,53.0900,52.3230,52.4900,52.4480,1125700,0.0000,1.0000
2019-05-01,53.1900,53.7400,52.8400,52.8600,52.8177,1408200,0.0000,1.0000
2019-04-30,53.4400,53.6160,52.4300,53.0000,52.9576,1879100,0.0000,1.0000
2019-04-29,53.6500,54.0000,53.3400,53.4900,53.4472,998200,0.0000,1.0000
2019-04-26,53.4000,53.8050,53.2725,53.6000,53.5571,1281400,0.0000,1.0000
2019-04-25,53.7300,53.9000,53.0900,53.3400,53.2973,1577300,0.0000,1.0000
2019-04-24,54.5500,54.8350,54.1780,54.2300,54.1866,1938500,0.0000,1.0000
2019-04-23,54.3200,54.6400,53.8500,54.2800,54.2365,1909200,0.0000,1.0000
2019-04-22,54.8100,55.0700,53.8200,53.9200,53.8768,1715100,0.0000,1.0000
2019-04-18,54.3800,55.1900,53.5200,55.1500,55.1058,3600700,0.0000,1.0000
2019-04-17,55.0200,58.0000,54.0200,54.2300,54.1866,5908600,0.0000,1.0000
2019-04-16,51.7100,52.3800,51.6577,52.1400,52.0982,2430300,0.0000,1.0000
2019-04-15,51.6900,51.7800,51.1300,51.4100,51.3688,1518200,0.0000,1.0000
2019-04-12,51.3300,51.7250,51.3100,51.6400,51.5986,1402700,0.0000,1.0000
2019-04-11,50.5600,51.0295,50.5500,50.7700,50.7293,1264100,0.0000,1.0000
2019-04-10,50.3400,50.5000,49.8900,50.4600,50.4196,1137100,0.0000,1.0000
2019-04-09,51.0000,51.1200,50.3742,50.4400,50.3996,1223700,0.0000,1.0000
2019-04-08,51.1700,51.5900,50.9950,51.5000,51.4588,1742500,0.0000,1.0000
2019-04-05,51.1700,51.6100,51.0900,51.4600,51.4188,1815000,0.0000,1.0000
2019-04-04,50.5000,51.4893,50.4900,51.1300,51.0891,1045500,0.0000,1.0000
2019-04-03,51.1000,51.3000,50.1400,50.4700,50.4296,1795800,0.0000,1.0000
