timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,241.9900,245.1400,238.6429,244.0400,244.0400,540522,0.0000,1.0000
2019-11-12,241.1600,246.1000,239.7400,243.9700,243.9700,865400,0.0000,1.0000
2019-11-11,238.7800,243.6800,238.7800,241.9600,241.9600,606900,0.0000,1.0000
2019-11-08,242.2300,243.2000,238.3000,239.2900,239.2900,849600,0.0000,1.0000
2019-11-07,246.5900,248.8800,243.4500,243.7700,243.7700,760900,0.0000,1.0000
2019-11-06,246.1100,246.7500,241.3500,243.9900,243.9900,619500,0.0000,1.0000
2019-11-05,237.5100,247.6400,237.5100,245.4200,245.4200,1509100,0.0000,1.0000
2019-11-04,233.9500,237.5800,232.0900,237.1900,237.1900,1881300,0.0000,1.0000
2019-11-01,235.1600,235.4700,232.9000,233.1100,233.1100,1528200,0.0000,1.0000
2019-10-31,239.9600,240.2500,229.7900,233.1500,233.1500,2429800,0.0000,1.0000
2019-10-30,241.7600,241.7700,238.1800,240.2500,240.2500,587000,0.0000,1.0000
2019-10-29,242.0800,243.9800,237.3700,242.1100,242.1100,898300,0.0000,1.0000
2019-10-28,240.0000,246.6000,240.0000,241.7400,241.7400,1159800,0.0000,1.0000
2019-10-25,238.3800,242.4800,237.7300,240.9000,240.9000,655700,0.0000,1.0000
2019-10-24,237.7700,240.8500,236.2700,238.9300,238.9300,885900,0.0000,1.0000
2019-10-23,237.4100,238.2400,231.0800,237.8700,237.8700,951800,0.0000,1.0000
2019-10-22,236.2600,240.3800,236.2600,236.9100,236.9100,989100,0.0000,1.0000
2019-10-21,240.5700,241.0400,235.2400,235.3000,235.3000,1673400,0.0000,1.0000
2019-10-18,246.8000,247.2400,239.8000,239.9200,239.9200,1313200,0.0000,1.0000
2019-10-17,244.9700,251.6700,244.9700,248.1000,248.1000,1152100,0.0000,1.0000
2019-10-16,245.7100,247.7300,243.5100,244.9800,244.9800,722500,0.0000,1.0000
2019-10-15,247.0100,249.1900,244.2500,245.4000,245.4000,720400,0.0000,1.0000
2019-10-14,247.0700,249.3900,245.8000,246.5700,246.5700,763300,0.0000,1.0000
2019-10-11,245.4100,249.5500,244.1200,248.4600,248.4600,1241800,0.0000,1.0000
2019-10-10,237.6500,242.3000,237.0200,241.7500,241.7500,1134300,0.0000,1.0000
2019-10-09,238.1400,240.6700,235.6700,238.0400,238.0400,1482600,0.0000,1.0000
2019-10-08,240.0600,240.9900,235.2000,237.0300,237.0300,3518800,0.0000,1.0000
2019-10-07,250.2500,250.9800,242.3200,242.7500,242.7500,2291100,0.0000,1.0000
2019-10-04,257.7100,258.0900,250.2600,250.6000,250.6000,1713600,0.0000,1.0000
2019-10-03,263.3700,265.2100,250.6500,257.4300,257.4300,2242300,0.0000,1.0000
2019-10-02,263.3100,264.0000,256.8900,262.7900,262.7900,2309400,0.0000,1.0000
2019-10-01,253.4500,267.2500,253.0100,265.9900,265.9900,4303500,0.0000,1.0000
2019-09-30,245.5800,251.7600,245.0000,250.6500,250.6500,2313000,0.0000,1.0000
2019-09-27,238.1400,246.4600,237.4000,244.4000,244.4000,2086000,0.0000,1.0000
2019-09-26,236.4000,238.5300,234.7500,236.3100,236.3100,1188200,0.0000,1.0000
2019-09-25,238.7500,239.4300,233.2800,235.5400,235.5400,1417300,0.0000,1.0000
2019-09-24,237.8900,241.3000,235.2900,239.4800,239.4800,2321800,0.0000,1.0000
2019-09-23,229.5500,239.9200,229.2700,237.3100,237.3100,2358300,0.0000,1.0000
2019-09-20,229.7900,232.2600,227.6500,228.7500,228.7500,1947000,0.0000,1.0000
2019-09-19,229.6000,232.7000,228.6100,230.0700,230.0700,1103200,0.0000,1.0000
2019-09-18,233.7400,233.7400,227.3800,229.3400,229.3400,1678500,0.0000,1.0000
2019-09-17,225.6900,235.0900,225.1500,233.8500,233.8500,2201600,0.0000,1.0000
2019-09-16,226.2600,230.1200,224.6600,225.4500,225.4500,1361700,0.0000,1.0000
2019-09-13,227.6000,227.9500,225.5300,226.8600,226.8600,1127000,0.0000,1.0000
2019-09-12,229.0600,229.3600,225.1200,226.1600,226.1600,1872500,0.0000,1.0000
2019-09-11,231.6800,233.8800,227.2600,228.1500,228.1500,1496700,0.0000,1.0000
2019-09-10,225.5000,233.1700,225.2800,231.4200,231.4200,2241500,0.0000,1.0000
2019-09-09,233.7400,234.1700,226.0300,226.1600,226.1600,2181300,0.0000,1.0000
2019-09-06,237.8400,239.2400,233.0300,233.1000,233.1000,2026000,0.0000,1.0000
2019-09-05,229.0300,237.8500,227.7100,236.7100,236.7100,3260700,0.0000,1.0000
2019-09-04,238.0000,239.8600,228.2000,228.7600,228.7600,4016900,0.0000,1.0000
2019-09-03,234.0500,244.2100,231.0200,237.4100,237.4100,5428100,0.0000,1.0000
2019-08-30,252.8100,254.5000,235.7600,237.7300,237.7300,16029100,0.0000,1.0000
2019-08-29,337.5000,342.0000,333.0900,337.4500,337.4500,2707400,0.0000,1.0000
2019-08-28,323.7700,331.4500,321.1600,330.3800,330.3800,753400,0.0000,1.0000
2019-08-27,333.1600,334.8000,323.6000,323.7700,323.7700,1000700,0.0000,1.0000
2019-08-26,327.0000,331.9900,324.5400,330.2200,330.2200,1008600,0.0000,1.0000
2019-08-23,330.6400,332.3700,321.2400,322.1000,322.1000,1098500,0.0000,1.0000
2019-08-22,328.5400,338.5000,328.5400,334.8600,334.8600,753000,0.0000,1.0000
2019-08-21,327.2400,331.4900,326.8100,328.1200,328.1200,521100,0.0000,1.0000
2019-08-20,325.1700,328.2800,320.5100,323.0800,323.0800,475800,0.0000,1.0000
2019-08-19,327.4300,328.7700,322.4500,325.2500,325.2500,807100,0.0000,1.0000
2019-08-16,323.5200,327.8900,319.2600,322.0300,322.0300,564200,0.0000,1.0000
2019-08-15,320.7400,324.8700,315.4900,320.4400,320.4400,989200,0.0000,1.0000
2019-08-14,330.0600,332.2000,320.1700,321.0000,321.0000,1249300,0.0000,1.0000
2019-08-13,334.3100,348.3189,333.3300,341.2000,341.2000,571800,0.0000,1.0000
2019-08-12,345.9100,345.9100,332.6800,336.5100,336.5100,759200,0.0000,1.0000
2019-08-09,351.4900,353.4107,345.0000,346.7000,346.7000,522700,0.0000,1.0000
2019-08-08,345.1800,355.3600,344.7600,353.0400,353.0400,588200,0.0000,1.0000
2019-08-07,337.2200,344.3766,336.7000,343.6800,343.6800,756100,0.0000,1.0000
2019-08-06,330.3700,340.9500,329.0000,340.2800,340.2800,688200,0.0000,1.0000
2019-08-05,331.9800,331.9800,326.3400,330.1400,330.1400,728400,0.0000,1.0000
2019-08-02,346.2400,348.5700,334.1600,337.0200,337.0200,811100,0.0000,1.0000
2019-08-01,348.7300,352.0800,341.9000,345.5100,345.5100,683900,0.0000,1.0000
2019-07-31,347.6200,354.0000,344.3700,349.2500,349.2500,521300,0.0000,1.0000
2019-07-30,345.0300,350.4500,342.1500,348.6300,348.6300,577500,0.0000,1.0000
2019-07-29,352.6700,353.2000,341.4000,346.1300,346.1300,815700,0.0000,1.0000
2019-07-26,355.7200,356.0500,349.5600,353.8800,353.8800,497600,0.0000,1.0000
2019-07-25,353.7300,359.7400,351.9942,354.6200,354.6200,486900,0.0000,1.0000
2019-07-24,351.9900,353.1700,348.7500,352.9400,352.9400,532100,0.0000,1.0000
2019-07-23,354.0000,354.1100,349.9800,351.9900,351.9900,648400,0.0000,1.0000
2019-07-22,357.7900,359.8000,351.0900,352.9500,352.9500,549900,0.0000,1.0000
2019-07-19,365.1900,367.0100,356.4500,357.0000,357.0000,574600,0.0000,1.0000
2019-07-18,363.5500,368.7200,363.5500,366.2100,366.2100,504800,0.0000,1.0000
2019-07-17,361.5200,368.8300,361.5200,366.3900,366.3900,713600,0.0000,1.0000
2019-07-16,356.5700,361.8500,355.6221,360.5400,360.5400,1409500,0.0000,1.0000
2019-07-15,356.9700,361.2700,354.3000,355.6800,355.6800,741700,0.0000,1.0000
2019-07-12,348.0000,357.2800,347.2700,356.3900,356.3900,651400,0.0000,1.0000
2019-07-11,348.0000,349.9500,346.1600,346.9800,346.9800,537200,0.0000,1.0000
2019-07-10,349.3800,349.9100,342.7800,347.2000,347.2000,595600,0.0000,1.0000
2019-07-09,351.2000,353.1900,347.0000,348.4800,348.4800,729100,0.0000,1.0000
2019-07-08,343.6100,353.0800,343.6100,352.6900,352.6900,622700,0.0000,1.0000
2019-07-05,343.3300,348.4900,343.3300,344.9500,344.9500,481300,0.0000,1.0000
2019-07-03,343.6500,346.0000,341.2280,345.4300,345.4300,330000,0.0000,1.0000
2019-07-02,340.7600,345.7800,338.2500,341.3300,341.3300,590600,0.0000,1.0000
2019-07-01,350.5500,353.7600,339.8800,340.3800,340.3800,793700,0.0000,1.0000
2019-06-28,345.9400,347.3800,343.8900,346.8900,346.8900,784300,0.0000,1.0000
2019-06-27,346.5000,347.4250,339.5310,344.2200,344.2200,619500,0.0000,1.0000
2019-06-26,350.5800,352.6500,344.2700,344.8200,344.8200,561800,0.0000,1.0000
2019-06-25,345.0000,348.9525,340.8750,348.6900,348.6900,640700,0.0000,1.0000
2019-06-24,357.7300,358.6718,340.2600,346.5400,346.5400,1684700,0.0000,1.0000
2019-06-21,359.2800,360.4700,355.2800,355.8100,355.8100,730100,0.0000,1.0000
2019-06-20,360.4200,365.5350,355.1650,358.3400,358.3400,743500,0.0000,1.0000
2019-06-19,346.7700,358.4300,343.6280,357.8400,357.8400,564900,0.0000,1.0000
2019-06-18,352.5800,354.0900,345.9000,347.2100,347.2100,617800,0.0000,1.0000
2019-06-17,355.6100,357.5400,349.5600,350.1900,350.1900,605400,0.0000,1.0000
2019-06-14,349.3400,355.6100,349.0270,354.6200,354.6200,905100,0.0000,1.0000
2019-06-13,344.6200,350.2000,343.6240,349.8100,349.8100,731900,0.0000,1.0000
2019-06-12,341.8800,343.8800,339.1400,342.8200,342.8200,480800,0.0000,1.0000
2019-06-11,341.2235,341.8900,334.5600,340.0100,340.0100,430900,0.0000,1.0000
2019-06-10,339.1100,344.4900,335.6300,337.0500,337.0500,561600,0.0000,1.0000
2019-06-07,340.6900,343.9600,337.6800,338.1600,338.1600,567300,0.0000,1.0000
2019-06-06,339.8500,341.9600,336.3800,340.3300,340.3300,590700,0.0000,1.0000
2019-06-05,338.0126,338.6400,331.2600,337.4800,337.4800,577200,0.0000,1.0000
2019-06-04,332.3000,340.5500,331.6000,335.5300,335.5300,773500,0.0000,1.0000
2019-06-03,333.8900,337.3600,327.8500,330.6000,330.6000,1023700,0.0000,1.0000
2019-05-31,315.3300,335.1260,304.0400,333.3800,333.3800,3197800,0.0000,1.0000
2019-05-30,327.6400,334.0250,321.1800,328.4600,328.4600,1318000,0.0000,1.0000
2019-05-29,332.3866,334.5900,321.8200,322.0700,322.0700,1033400,0.0000,1.0000
2019-05-28,336.2200,338.5000,333.0100,334.8500,334.8500,1026300,0.0000,1.0000
2019-05-24,338.8100,340.8400,330.4300,335.0900,335.0900,615100,0.0000,1.0000
2019-05-23,347.0002,347.1400,336.0700,337.8300,337.8300,1026800,0.0000,1.0000
2019-05-22,351.8000,354.6200,348.8900,349.0900,349.0900,466200,0.0000,1.0000
2019-05-21,348.6100,354.5400,347.9000,353.1600,353.1600,545400,0.0000,1.0000
2019-05-20,340.5000,348.3100,339.0330,347.8900,347.8900,829200,0.0000,1.0000
2019-05-17,342.5900,349.5600,342.1000,342.4500,342.4500,573400,0.0000,1.0000
2019-05-16,341.3100,348.4600,341.3100,343.2400,343.2400,512100,0.0000,1.0000
2019-05-15,335.0600,340.9651,333.4700,340.7000,340.7000,677900,0.0000,1.0000
2019-05-14,332.5600,336.8000,325.6190,335.3200,335.3200,949200,0.0000,1.0000
2019-05-13,337.2100,338.9800,328.3400,330.2300,330.2300,813500,0.0000,1.0000
2019-05-10,347.0100,347.0100,337.0100,343.2400,343.2400,685600,0.0000,1.0000
2019-05-09,344.5200,349.1300,343.2800,348.0500,348.0500,460600,0.0000,1.0000
2019-05-08,341.8200,350.5500,340.0300,348.1500,348.1500,577200,0.0000,1.0000
2019-05-07,344.2900,347.3100,338.8950,342.3600,342.3600,698100,0.0000,1.0000
2019-05-06,336.5300,347.6100,335.7800,346.6800,346.6800,712100,0.0000,1.0000
2019-05-03,344.2700,346.1200,339.9800,341.9600,341.9600,728400,0.0000,1.0000
2019-05-02,335.0100,344.1100,335.0100,343.6800,343.6800,875400,0.0000,1.0000
