timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,86.7400,88.0800,86.5000,87.8200,87.8200,1516833,0.0000,1.0000
2019-11-12,87.4900,87.5800,86.7200,87.1800,86.5900,1575700,0.5900,1.0000
2019-11-11,87.8300,88.1400,87.0700,87.1400,86.5503,1102200,0.0000,1.0000
2019-11-08,88.7700,89.0800,87.5300,87.8300,87.2356,2308900,0.0000,1.0000
2019-11-07,90.1100,90.5800,88.4100,88.8700,88.2686,2080900,0.0000,1.0000
2019-11-06,91.0900,92.2700,90.0100,91.2100,90.5927,2161800,0.0000,1.0000
2019-11-05,91.3200,91.8100,90.7200,91.0000,90.3841,2114600,0.0000,1.0000
2019-11-04,93.4200,93.4200,91.1300,91.6400,91.0198,1886900,0.0000,1.0000
2019-11-01,94.4900,94.7300,93.1100,93.5300,92.8970,1189200,0.0000,1.0000
2019-10-31,93.9600,94.9900,93.4700,94.4000,93.7611,1421000,0.0000,1.0000
2019-10-30,92.8100,94.1400,92.7600,93.7900,93.1553,1183700,0.0000,1.0000
2019-10-29,92.3100,92.6800,92.0200,92.4400,91.8144,1441200,0.0000,1.0000
2019-10-28,93.2900,93.6000,91.9500,92.5300,91.9038,1592200,0.0000,1.0000
2019-10-25,94.2200,94.4100,93.2300,93.7900,93.1553,1518200,0.0000,1.0000
2019-10-24,93.2100,94.1500,92.8200,94.0100,93.3738,1116700,0.0000,1.0000
2019-10-23,93.4500,94.1800,92.9000,93.1500,92.5196,1080500,0.0000,1.0000
2019-10-22,93.4500,93.9400,93.1100,93.2900,92.6586,1015100,0.0000,1.0000
2019-10-21,93.2300,93.4600,92.4000,93.2700,92.6388,755200,0.0000,1.0000
2019-10-18,92.7600,93.1200,92.2300,92.9600,92.3309,1525800,0.0000,1.0000
2019-10-17,92.7400,93.3200,92.1100,92.9000,92.2713,869500,0.0000,1.0000
2019-10-16,92.2600,92.8400,91.5100,92.7600,92.1322,1298500,0.0000,1.0000
2019-10-15,92.9500,93.4100,92.0000,92.1700,91.5462,1437700,0.0000,1.0000
2019-10-14,94.0500,94.1000,92.5000,92.7200,92.0925,1250600,0.0000,1.0000
2019-10-11,94.7400,95.1700,93.1000,93.8100,93.1751,1630000,0.0000,1.0000
2019-10-10,94.6300,95.2200,93.6900,95.1500,94.5061,1088100,0.0000,1.0000
2019-10-09,94.4700,95.2600,94.3600,94.8900,94.2478,1185000,0.0000,1.0000
2019-10-08,95.1800,95.3300,94.1500,94.1700,93.5327,1405700,0.0000,1.0000
2019-10-07,96.1300,96.1300,94.7300,95.2200,94.5756,1491100,0.0000,1.0000
2019-10-04,95.0000,96.2900,94.9300,96.0800,95.4298,1543900,0.0000,1.0000
2019-10-03,94.6200,94.9300,94.2000,94.8100,94.1684,1475400,0.0000,1.0000
2019-10-02,95.0000,95.2800,93.9800,94.3100,93.6717,1346700,0.0000,1.0000
2019-10-01,94.8900,95.2500,94.1400,95.1900,94.5458,1251200,0.0000,1.0000
2019-09-30,95.2100,95.5900,94.6900,95.1000,94.4564,1265600,0.0000,1.0000
2019-09-27,96.0800,96.1000,94.2800,94.8700,94.2280,1523400,0.0000,1.0000
2019-09-26,95.7600,96.6000,95.4000,95.9000,95.2510,1222300,0.0000,1.0000
2019-09-25,95.1000,95.3800,94.4100,95.3500,94.7047,1370500,0.0000,1.0000
2019-09-24,94.3400,95.6500,94.0400,95.0000,94.3571,2060800,0.0000,1.0000
2019-09-23,94.0600,94.3600,93.5600,93.9600,93.3241,1338000,0.0000,1.0000
2019-09-20,93.5700,94.1000,93.1600,93.7000,93.0659,2492700,0.0000,1.0000
2019-09-19,93.2900,93.6400,92.6500,93.4800,92.8474,959200,0.0000,1.0000
2019-09-18,93.2300,93.7100,92.2000,93.1500,92.5196,1440900,0.0000,1.0000
2019-09-17,91.7100,92.9500,91.7100,92.8000,92.1720,1638000,0.0000,1.0000
2019-09-16,91.2600,91.4800,90.6500,91.3100,90.6920,1212900,0.0000,1.0000
2019-09-13,91.0100,91.9000,90.6400,91.1600,90.5431,1125300,0.0000,1.0000
2019-09-12,92.0500,92.5700,91.2300,91.5500,90.9304,1481900,0.0000,1.0000
2019-09-11,90.0400,91.8000,89.3100,91.2700,90.6523,2296200,0.0000,1.0000
2019-09-10,90.4700,90.5200,89.0200,90.3000,89.6889,2264900,0.0000,1.0000
2019-09-09,92.6000,92.6000,90.4400,90.4700,89.8577,3590200,0.0000,1.0000
2019-09-06,95.2400,95.5900,91.5000,93.1300,92.4997,4625300,0.0000,1.0000
2019-09-05,96.9600,97.3300,94.4800,95.3300,94.6848,3586200,0.0000,1.0000
2019-09-04,97.3000,98.1900,96.9400,97.6500,96.9891,1562300,0.0000,1.0000
2019-09-03,95.9300,97.7500,95.6300,97.7300,97.0686,2274400,0.0000,1.0000
2019-08-30,96.1400,96.2400,95.5400,95.7700,95.1219,1237900,0.0000,1.0000
2019-08-29,95.7000,95.9700,94.7800,95.9300,95.2808,1906400,0.0000,1.0000
