timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,154.2600,155.5200,149.0137,150.2800,150.2800,1167583,0.0000,1.0000
2019-11-12,155.8100,156.5000,154.1100,155.3100,155.3100,864200,0.0000,1.0000
2019-11-11,153.2900,155.9500,152.8000,155.9400,155.9400,500300,0.0000,1.0000
2019-11-08,156.3900,157.0700,154.3300,154.7700,154.7700,551800,0.0000,1.0000
2019-11-07,157.2600,158.5700,156.0200,156.3100,156.3100,451800,0.0000,1.0000
2019-11-06,158.0200,158.0200,154.0100,156.4600,156.4600,563100,0.0000,1.0000
2019-11-05,155.0000,158.5100,154.7400,157.7700,157.7700,928900,0.0000,1.0000
2019-11-04,151.5700,155.1200,150.8900,154.4400,154.4400,877700,0.0000,1.0000
2019-11-01,153.4100,153.7900,149.3000,150.0700,150.0700,1853900,0.0000,1.0000
2019-10-31,154.6100,154.7500,150.0500,152.1200,152.1200,567600,0.0000,1.0000
2019-10-30,155.3400,155.6900,151.7100,154.7500,154.7500,581800,0.0000,1.0000
2019-10-29,154.2700,156.9000,154.1500,155.4800,155.4800,796500,0.0000,1.0000
2019-10-28,160.1300,161.4700,154.2700,154.5400,154.5400,894900,0.0000,1.0000
2019-10-25,160.0000,161.8400,159.2800,159.3600,159.3600,706000,0.0000,1.0000
2019-10-24,162.2500,162.9600,159.4100,160.5300,160.5300,777900,0.0000,1.0000
2019-10-23,154.6100,163.3500,153.6100,162.1600,162.1600,1974600,0.0000,1.0000
2019-10-22,161.8400,162.3100,158.8700,160.6200,160.6200,1293300,0.0000,1.0000
2019-10-21,162.3900,163.6400,160.1800,160.6600,160.6600,874700,0.0000,1.0000
2019-10-18,159.5600,161.8700,159.3200,161.0600,161.0600,694000,0.0000,1.0000
2019-10-17,159.8700,160.6300,158.4100,160.1700,160.1700,323200,0.0000,1.0000
2019-10-16,157.8400,160.7300,157.3000,159.5400,159.5400,600400,0.0000,1.0000
2019-10-15,158.8300,160.0000,157.5800,158.6200,158.6200,712300,0.0000,1.0000
2019-10-14,157.6100,159.7300,157.2400,158.4700,158.4700,596500,0.0000,1.0000
2019-10-11,158.5000,161.0000,158.1300,158.2200,158.2200,614100,0.0000,1.0000
2019-10-10,155.7700,158.1800,154.9800,157.3200,157.3200,337300,0.0000,1.0000
2019-10-09,156.4900,156.4900,153.8500,156.0800,156.0800,566000,0.0000,1.0000
2019-10-08,154.7700,157.0200,152.2600,155.0500,155.0500,676800,0.0000,1.0000
2019-10-07,154.0800,158.4100,153.5000,156.9500,156.9500,786000,0.0000,1.0000
2019-10-04,152.9500,156.0000,152.9300,155.3300,155.3300,618700,0.0000,1.0000
2019-10-03,152.4700,153.4500,149.1600,153.1300,153.1300,608300,0.0000,1.0000
2019-10-02,153.6200,154.3800,150.7400,152.9300,152.9300,557900,0.0000,1.0000
2019-10-01,158.3900,159.3500,153.9100,154.7900,154.7900,581300,0.0000,1.0000
2019-09-30,156.6000,159.0000,155.6500,158.3600,158.3600,745100,0.0000,1.0000
2019-09-27,154.8100,156.5700,153.2500,155.5000,155.5000,972200,0.0000,1.0000
2019-09-26,154.5600,159.2100,152.3000,154.8400,154.8400,1383600,0.0000,1.0000
2019-09-25,148.7000,151.1400,147.9300,150.3600,150.3600,508200,0.0000,1.0000
2019-09-24,151.0000,151.2100,148.3900,149.1800,149.1800,449700,0.0000,1.0000
2019-09-23,147.2000,150.4900,146.9400,149.4400,149.4400,386200,0.0000,1.0000
2019-09-20,148.9700,150.8200,148.0500,148.5900,148.5900,651600,0.0000,1.0000
2019-09-19,150.1900,151.4500,148.5600,148.5700,148.5700,526800,0.0000,1.0000
2019-09-18,148.7400,150.9600,146.8200,149.0300,149.0300,621800,0.0000,1.0000
2019-09-17,148.2400,152.9800,146.0600,152.2000,152.2000,768500,0.0000,1.0000
2019-09-16,148.4000,149.4900,148.1100,148.7700,148.7700,334400,0.0000,1.0000
2019-09-13,151.4100,152.9800,149.7100,149.8600,149.8600,353500,0.0000,1.0000
2019-09-12,152.8800,153.0000,150.7500,150.8300,150.8300,599700,0.0000,1.0000
2019-09-11,150.3200,153.2200,148.9000,152.7800,152.7800,645100,0.0000,1.0000
2019-09-10,147.1300,151.0400,146.1000,150.6200,150.6200,1145800,0.0000,1.0000
2019-09-09,144.6200,148.5600,143.9600,147.8700,147.8700,803200,0.0000,1.0000
2019-09-06,143.4400,145.2200,143.0000,143.8800,143.8800,542400,0.0000,1.0000
