timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,119.1600,121.3600,118.6600,120.9800,120.9800,7586420,0.0000,1.0000
2019-11-12,119.6000,120.0000,118.8100,119.1200,119.1200,5063100,0.0000,1.0000
2019-11-11,118.7000,119.6300,118.2800,119.0400,119.0400,4439000,0.0000,1.0000
2019-11-08,120.3100,120.8800,118.9400,119.4400,119.4400,3832700,0.0000,1.0000
2019-11-07,120.0000,120.9200,119.5400,120.2300,120.2300,4441400,0.0000,1.0000
2019-11-06,118.8300,119.6200,118.7100,119.5000,119.5000,3614400,0.0000,1.0000
2019-11-05,117.6800,119.1400,117.0800,118.8600,118.8600,4217100,0.0000,1.0000
2019-11-04,118.4000,119.1100,117.1700,117.5700,117.5700,4646000,0.0000,1.0000
2019-11-01,117.9200,117.9700,117.2300,117.6200,117.6200,3762600,0.0000,1.0000
2019-10-31,117.9300,118.2800,116.8300,117.2600,117.2600,4881300,0.0000,1.0000
2019-10-30,117.1800,118.3700,117.0500,118.1000,118.1000,2996000,0.0000,1.0000
2019-10-29,118.5000,118.7300,117.0800,117.1500,117.1500,4791100,0.0000,1.0000
2019-10-28,119.2500,119.7000,118.5300,119.2200,119.2200,3404300,0.0000,1.0000
2019-10-25,119.0000,119.3300,118.2000,119.0400,119.0400,2564100,0.0000,1.0000
2019-10-24,119.1500,119.5700,118.5100,119.1000,119.1000,2900300,0.0000,1.0000
2019-10-23,119.1700,119.8500,118.6900,119.3500,119.3500,2840000,0.0000,1.0000
2019-10-22,119.7500,120.1700,119.3900,119.5800,119.5800,2544700,0.0000,1.0000
2019-10-21,119.3000,119.8300,118.8200,119.7400,119.7400,3410100,0.0000,1.0000
2019-10-18,120.4500,120.6000,119.1300,119.1400,119.1400,5592300,0.0000,1.0000
2019-10-17,119.6700,120.2500,119.3600,119.8400,119.8400,3910900,0.0000,1.0000
2019-10-16,119.3100,120.1100,119.1000,119.4200,119.4200,3781600,0.0000,1.0000
2019-10-15,119.3300,119.9900,118.8700,119.5300,119.5300,4516700,0.0000,1.0000
2019-10-14,119.8500,120.4600,119.1000,119.1700,119.1700,4573300,0.0000,1.0000
2019-10-11,119.9200,120.7100,118.7200,120.2400,120.2400,6127900,0.0000,1.0000
2019-10-10,118.9000,119.8800,118.6000,119.6100,119.6100,4341500,0.0000,1.0000
2019-10-09,118.1800,119.3000,118.0200,118.9300,118.9300,3903400,0.0000,1.0000
2019-10-08,116.8100,118.6700,116.6600,117.5800,117.5800,5125100,0.0000,1.0000
2019-10-07,118.1000,118.3000,116.8800,117.2300,117.2300,4695000,0.0000,1.0000
2019-10-04,116.4000,118.3000,116.1900,118.1600,118.1600,4627000,0.0000,1.0000
2019-10-03,115.8800,116.8000,114.5800,116.3100,116.3100,5206500,0.0000,1.0000
2019-10-02,117.4000,117.5500,115.6100,116.1200,116.1200,5944500,0.0000,1.0000
2019-10-01,118.8500,119.1100,117.7200,117.8500,117.8500,3729300,0.0000,1.0000
2019-09-30,118.6700,119.4400,118.5600,118.6800,118.6800,3401400,0.0000,1.0000
2019-09-27,119.2100,119.2300,117.7500,118.4500,118.4500,3434700,0.0000,1.0000
2019-09-26,118.8000,119.5500,118.1900,118.3000,118.3000,3986900,0.0000,1.0000
2019-09-25,118.4700,118.7200,117.8100,118.4700,118.4700,4613600,0.0000,1.0000
2019-09-24,118.2500,119.8600,118.0100,118.4000,118.4000,7273100,0.0000,1.0000
2019-09-23,116.6100,118.4100,116.5600,117.6200,117.6200,5162500,0.0000,1.0000
2019-09-20,117.3500,117.6400,116.8000,116.9800,116.9800,11332400,0.0000,1.0000
2019-09-19,117.4000,117.8100,116.7700,117.1100,117.1100,3380600,0.0000,1.0000
2019-09-18,116.9100,117.2300,116.1800,117.1600,117.1600,3956000,0.0000,1.0000
2019-09-17,115.3200,116.6900,115.2500,116.5100,116.5100,4604500,0.0000,1.0000
2019-09-16,116.5400,117.1700,115.3800,115.5700,115.5700,6090300,0.0000,1.0000
2019-09-13,117.1600,118.1900,116.9500,117.4300,117.4300,5638600,0.0000,1.0000
2019-09-12,116.6500,117.0700,115.9000,116.9200,116.9200,4474300,0.0000,1.0000
2019-09-11,116.0000,116.7000,115.2200,116.0200,116.0200,5284100,0.0000,1.0000
2019-09-10,115.9900,116.9600,115.4800,116.0500,116.0500,4857400,0.0000,1.0000
2019-09-09,114.5000,116.6100,114.4000,116.3300,116.3300,5973700,0.0000,1.0000
2019-09-06,115.4400,115.7500,114.6200,114.7300,114.7300,4346400,0.0000,1.0000
2019-09-05,117.6700,117.9600,115.2700,115.4400,115.4400,5826400,0.0000,1.0000
2019-09-04,115.6900,115.9600,114.8200,115.9100,115.9100,5782900,0.0000,1.0000
2019-09-03,113.6800,115.3100,113.4900,114.6400,114.6400,5942700,0.0000,1.0000
2019-08-30,115.0000,115.3800,113.9000,114.2600,114.2600,5705300,0.0000,1.0000
2019-08-29,114.2000,114.5900,113.3100,114.0800,114.0800,5270500,0.0000,1.0000
2019-08-28,112.2800,113.0800,111.6800,112.7200,112.7200,5371000,0.0000,1.0000
2019-08-27,112.4200,112.8100,111.5100,112.4200,112.4200,5733700,0.0000,1.0000
2019-08-26,111.5600,112.2700,111.2200,111.9900,111.9900,5935700,0.0000,1.0000
2019-08-23,111.6200,111.9100,110.1300,110.8300,110.8300,6236700,0.0000,1.0000
2019-08-22,112.2000,112.7900,111.3500,111.9100,111.9100,5995400,0.0000,1.0000
2019-08-21,113.9800,114.0700,111.8800,112.0200,112.0200,8156400,0.0000,1.0000
2019-08-20,113.8600,114.0400,112.0100,112.0500,112.0500,6112300,0.0000,1.0000
2019-08-19,114.3500,114.7800,113.6000,113.8100,113.8100,7178100,0.0000,1.0000
2019-08-16,114.0800,114.9300,110.1600,112.9900,112.9900,10965200,0.0000,1.0000
2019-08-15,112.5300,113.6400,110.1600,112.6900,112.6900,19812900,0.0000,1.0000
2019-08-14,105.4800,108.0600,105.1400,106.2000,106.2000,9312800,0.0000,1.0000
2019-08-13,105.2500,108.0949,104.8500,107.4100,107.4100,6675300,0.0000,1.0000
2019-08-12,106.7200,106.8400,104.8400,105.2200,105.2200,5868400,0.0000,1.0000
2019-08-09,108.0600,108.4600,106.7100,107.2800,107.2800,4193500,0.0000,1.0000
2019-08-08,108.0100,108.8400,107.7700,108.5200,108.5200,4374400,0.5300,1.0000
2019-08-07,107.0200,108.6379,105.9200,108.2000,107.6700,7278500,0.0000,1.0000
2019-08-06,106.1900,107.8400,105.5900,107.2700,106.7446,7016400,0.0000,1.0000
2019-08-05,108.0050,108.0000,105.5900,105.8200,105.3017,7570000,0.0000,1.0000
2019-08-02,109.7400,110.1400,108.1500,109.4000,108.8641,5656700,0.0000,1.0000
2019-08-01,110.3200,112.1700,109.3200,109.3800,108.8442,7455000,0.0000,1.0000
2019-07-31,111.9100,112.3400,109.6300,110.3800,109.8393,6211300,0.0000,1.0000
2019-07-30,112.0600,112.4000,111.6700,112.0600,111.5111,3035200,0.0000,1.0000
2019-07-29,112.8400,112.9800,111.7600,112.2700,111.7201,3746600,0.0000,1.0000
2019-07-26,112.1200,113.3400,111.8200,113.0200,112.4664,4729000,0.0000,1.0000
2019-07-25,112.1800,112.3981,111.6600,112.2200,111.6703,3851500,0.0000,1.0000
2019-07-24,112.0300,112.7900,111.5700,112.0000,111.4514,4177300,0.0000,1.0000
2019-07-23,113.1200,113.2000,111.5700,112.0900,111.5409,5754200,0.0000,1.0000
2019-07-22,114.1000,114.3400,112.3200,112.8200,112.2674,4516900,0.0000,1.0000
2019-07-19,115.0000,115.3100,113.8600,113.9000,113.3421,3796300,0.0000,1.0000
2019-07-18,114.3500,114.7800,113.7400,114.7200,114.1581,3223600,0.0000,1.0000
2019-07-17,114.8100,115.1700,114.2000,114.6000,114.0387,2688500,0.0000,1.0000
2019-07-16,115.3300,115.4900,114.0400,114.7600,114.1979,3488200,0.0000,1.0000
2019-07-15,114.6700,115.0800,114.4500,114.9800,114.4168,3346000,0.0000,1.0000
2019-07-12,114.0900,114.7700,113.6200,114.6000,114.0387,3743300,0.0000,1.0000
2019-07-11,113.3400,113.9400,113.0200,113.9200,113.3620,3896600,0.0000,1.0000
2019-07-10,113.1200,113.6100,112.3900,112.9800,112.4266,4579000,0.0000,1.0000
2019-07-09,112.8900,113.3800,112.6000,112.8800,112.3271,5423400,0.0000,1.0000
2019-07-08,111.9200,112.9245,111.7000,112.7200,112.1679,4715700,0.0000,1.0000
2019-07-05,112.0000,112.2400,111.2100,111.9800,111.4315,3579400,0.0000,1.0000
2019-07-03,111.1800,112.4000,111.0000,112.3200,111.7698,3207300,0.0000,1.0000
2019-07-02,110.8300,111.6100,110.3400,111.6000,111.0533,4062900,0.0000,1.0000
2019-07-01,111.3000,111.9700,110.0200,110.6200,110.0782,5514700,0.0000,1.0000
2019-06-28,110.5500,111.5100,110.2447,110.4900,109.9488,6506700,0.0000,1.0000
2019-06-27,110.0600,110.5100,108.8600,110.1000,109.5607,5481300,0.0000,1.0000
2019-06-26,110.8500,111.0800,110.1000,110.1600,109.6204,4161700,0.0000,1.0000
2019-06-25,110.8800,111.4300,110.3934,110.7200,110.1777,6105000,0.0000,1.0000
2019-06-24,111.4900,112.2200,111.0300,111.2400,110.6951,6032800,0.0000,1.0000
2019-06-21,110.3400,112.1900,110.2600,111.1300,110.5856,13178600,0.0000,1.0000
2019-06-20,109.8200,110.4900,109.2728,110.3200,109.7796,5001500,0.0000,1.0000
2019-06-19,109.8000,109.8400,108.8700,109.6200,109.0831,3924600,0.0000,1.0000
2019-06-18,109.8000,109.9600,108.9059,109.6500,109.1129,4911200,0.0000,1.0000
2019-06-17,109.1200,109.5500,108.2600,109.1600,108.6253,4147000,0.0000,1.0000
2019-06-14,108.7800,109.5963,108.4600,109.0700,108.5357,4525900,0.0000,1.0000
2019-06-13,109.0000,109.5800,108.1700,108.6500,108.1178,5485000,0.0000,1.0000
2019-06-12,107.9200,108.9100,107.9200,108.8200,108.2870,4635100,0.0000,1.0000
2019-06-11,107.9934,108.9700,107.7500,107.9400,107.4113,6747300,0.0000,1.0000
2019-06-10,106.4800,107.7800,106.3700,107.5200,106.9933,6325700,0.0000,1.0000
2019-06-07,105.2300,106.3600,105.0500,106.0600,105.5405,6809400,0.0000,1.0000
2019-06-06,104.4900,105.6600,104.2000,105.1100,104.5951,8063700,0.0000,1.0000
2019-06-05,102.7500,104.7800,102.6000,104.4200,103.9085,6902900,0.0000,1.0000
2019-06-04,102.6100,102.6487,101.4400,102.5600,102.0576,5964900,0.0000,1.0000
2019-06-03,101.6300,102.6800,101.4000,101.9600,101.4606,6614700,0.0000,1.0000
2019-05-31,101.3500,102.0200,100.6000,101.4400,100.9431,5927500,0.0000,1.0000
2019-05-30,102.4900,103.4900,101.9100,102.1900,101.6894,5019600,0.0000,1.0000
2019-05-29,102.1100,102.8812,101.4700,102.1200,101.6198,6520200,0.0000,1.0000
2019-05-28,102.5600,103.5700,102.4000,102.4200,101.9183,10271700,0.0000,1.0000
2019-05-24,102.1800,102.8900,102.0800,102.6700,102.1671,4483200,0.0000,1.0000
2019-05-23,101.8200,101.9300,100.6500,101.8600,101.3611,6454600,0.0000,1.0000
2019-05-22,101.6000,102.4300,101.0600,102.2300,101.7292,7340900,0.0000,1.0000
2019-05-21,101.5100,101.6500,100.4039,101.1200,100.6247,6889100,0.0000,1.0000
2019-05-20,100.3900,101.9800,100.2500,101.5200,101.0227,7194100,0.0000,1.0000
2019-05-17,100.2400,101.9500,99.9100,100.8600,100.3660,12371300,0.0000,1.0000
2019-05-16,102.8300,103.9600,100.8400,101.3100,100.8138,17122000,0.0000,1.0000
2019-05-15,100.2000,100.3600,99.1300,99.8800,99.3908,6740300,0.0000,1.0000
2019-05-14,100.1400,100.8700,99.8900,100.2900,99.7988,6353700,0.0000,1.0000
2019-05-13,100.4500,101.1500,99.0100,99.8900,99.4007,7361500,0.0000,1.0000
2019-05-10,99.7600,102.1100,99.7000,101.9100,101.4108,8742700,0.0000,1.0000
2019-05-09,99.2700,99.9400,98.8500,99.5400,99.0524,6240100,0.5300,1.0000
2019-05-08,100.2500,101.0400,99.8600,100.3000,99.2813,5882000,0.0000,1.0000
2019-05-07,101.8000,102.1700,100.7689,101.3000,100.2711,4575600,0.0000,1.0000
2019-05-06,100.7500,102.5500,100.5400,102.4600,101.4194,4613700,0.0000,1.0000
2019-05-03,102.3200,102.7569,101.8000,102.0800,101.0432,5316900,0.0000,1.0000
2019-05-02,101.4300,102.0600,100.2400,101.1500,100.1227,5007000,0.0000,1.0000
2019-05-01,102.7700,102.8100,101.2800,101.3600,100.3305,5337200,0.0000,1.0000
2019-04-30,101.7700,102.9200,101.4500,102.8400,101.7955,6133600,0.0000,1.0000
2019-04-29,101.8800,102.0000,100.7800,101.5600,100.5285,6379700,0.0000,1.0000
2019-04-26,100.4500,102.3400,99.6600,101.5300,100.4988,8107700,0.0000,1.0000
2019-04-25,103.2400,104.1500,102.8300,103.5200,102.4686,3961100,0.0000,1.0000
2019-04-24,103.1400,103.8500,103.0900,103.5300,102.4785,4697800,0.0000,1.0000
2019-04-23,102.5300,103.2900,101.9400,103.0700,102.0232,5050800,0.0000,1.0000
2019-04-22,102.7800,103.5400,102.1782,102.3700,101.3303,5079400,0.0000,1.0000
2019-04-18,103.1100,103.8000,102.8900,103.1800,102.1320,3727800,0.0000,1.0000
2019-04-17,103.0000,103.4017,102.4100,103.1600,102.1123,3729200,0.0000,1.0000
2019-04-16,102.8900,103.3900,102.5400,102.9300,101.8846,4828400,0.0000,1.0000
2019-04-15,101.3000,102.9100,101.2600,102.4300,101.3897,5111900,0.0000,1.0000
2019-04-12,101.0000,102.0200,101.0000,101.5600,100.5285,5162000,0.0000,1.0000
2019-04-11,99.7000,100.8300,99.4700,100.8000,99.7762,5606900,0.0000,1.0000
2019-04-10,98.5100,99.7200,98.5000,99.6000,98.5884,4091100,0.0000,1.0000
2019-04-09,98.8000,99.2300,98.1500,98.6900,97.6877,4367500,0.0000,1.0000
2019-04-08,98.4500,99.2500,98.2600,99.2300,98.2222,5422400,0.0000,1.0000
2019-04-05,98.2468,99.2000,98.1600,98.8300,97.8262,4656000,0.0000,1.0000
2019-04-04,97.2500,98.2800,97.2400,98.1100,97.1135,4026300,0.0000,1.0000
2019-04-03,97.1200,97.4000,96.7900,97.1900,96.2029,5687500,0.0000,1.0000
2019-04-02,97.7600,98.3100,96.9000,96.9400,95.9554,6274000,0.0000,1.0000
2019-04-01,97.9700,98.3600,97.5594,97.8200,96.8265,8505800,0.0000,1.0000
2019-03-29,97.5900,97.6700,97.0400,97.5300,96.5394,7439900,0.0000,1.0000
2019-03-28,97.5900,97.8700,96.5300,97.1300,96.1435,8054300,0.0000,1.0000
2019-03-27,98.1400,98.8600,95.0000,97.2100,96.2227,8471200,0.0000,1.0000
2019-03-26,98.3600,98.8500,98.0300,98.3200,97.3214,4945900,0.0000,1.0000
2019-03-25,97.8000,98.6200,97.6300,98.1700,97.1729,5407400,0.0000,1.0000
2019-03-22,98.5800,99.5300,97.9400,98.2800,97.2818,6708100,0.0000,1.0000
2019-03-21,98.2500,99.1300,98.1000,99.0600,98.0539,6551000,0.0000,1.0000
2019-03-20,99.2000,99.5500,98.5400,98.6400,97.6382,6323100,0.0000,1.0000
2019-03-19,99.9900,100.4900,99.5700,99.8500,98.8359,5414400,0.0000,1.0000
2019-03-18,98.3000,99.7700,98.2600,99.6600,98.6478,5770100,0.0000,1.0000
2019-03-15,98.2800,98.5100,97.6000,98.4200,97.4204,14600000,0.0000,1.0000
2019-03-14,98.4100,98.4300,97.5900,98.2200,97.2224,4925800,0.5300,1.0000
2019-03-13,98.7000,99.3500,98.3900,99.0300,97.4996,5482300,0.0000,1.0000
2019-03-12,98.5300,98.7400,98.0500,98.3700,96.8498,5070500,0.0000,1.0000
2019-03-11,98.0400,98.5800,97.8200,98.4800,96.9581,5345300,0.0000,1.0000
2019-03-08,97.5500,98.4200,97.0000,97.5900,96.0818,5659000,0.0000,1.0000
2019-03-07,97.7100,98.2000,97.2400,97.4500,95.9440,6126600,0.0000,1.0000
2019-03-06,98.2700,99.0095,97.8600,98.2600,96.7415,4696600,0.0000,1.0000
2019-03-05,98.1300,99.1900,98.0900,98.3400,96.8202,6119300,0.0000,1.0000
2019-03-04,98.1200,98.5900,97.3700,97.8500,96.3378,7683800,0.0000,1.0000
2019-03-01,99.4700,99.5546,97.1200,97.9300,96.4166,10352500,0.0000,1.0000
2019-02-28,98.1062,99.4700,97.7700,98.9900,97.4602,11375900,0.0000,1.0000
2019-02-27,98.1200,98.3915,97.5900,98.1100,96.5938,7902300,0.0000,1.0000
2019-02-26,99.0200,99.0600,97.8709,98.6900,97.1648,8488100,0.0000,1.0000
2019-02-25,100.1200,100.1300,99.0500,99.1200,97.5882,9235000,0.0000,1.0000
2019-02-22,99.8200,100.1600,99.1400,99.5500,98.0116,8086900,0.0000,1.0000
2019-02-21,99.6600,99.9200,98.9100,99.3900,97.8540,6413200,0.0000,1.0000
2019-02-20,101.8100,102.3400,98.6500,99.8800,98.3364,17631800,0.0000,1.0000
2019-02-19,102.3800,104.1800,102.0700,102.2000,100.6206,20697300,0.0000,1.0000
2019-02-15,98.9800,99.9993,98.8600,99.9900,98.4447,9481000,0.0000,1.0000
