timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,76.5800,76.6000,75.3700,75.7700,75.7700,895552,0.0000,1.0000
2019-11-12,75.7800,77.3300,75.7200,76.6400,76.6400,904900,0.0000,1.0000
2019-11-11,76.5700,76.8000,75.2400,75.8100,75.8100,913600,0.0000,1.0000
2019-11-08,77.1800,78.7000,77.0300,77.3300,77.3300,960000,0.0000,1.0000
2019-11-07,78.9500,79.0000,77.0700,77.3200,77.3200,794500,0.0000,1.0000
2019-11-06,79.2700,79.5900,77.2300,78.2000,78.2000,962900,0.0000,1.0000
2019-11-05,78.5400,79.6900,78.4400,79.6700,79.6700,1297800,0.0000,1.0000
2019-11-04,79.2400,79.5300,78.2600,78.6500,78.6500,1132800,0.0000,1.0000
2019-11-01,77.4800,79.4100,76.4800,79.1200,79.1200,2921300,0.0000,1.0000
2019-10-31,80.0000,80.4100,76.1500,76.6900,76.6900,2106700,0.0000,1.0000
2019-10-30,83.9700,84.4200,83.1300,84.0600,84.0600,966700,0.2400,1.0000
2019-10-29,83.4400,85.0400,83.2500,84.7700,84.5300,735700,0.0000,1.0000
2019-10-28,83.5000,85.6700,83.5000,84.0300,83.7921,753300,0.0000,1.0000
2019-10-25,82.4600,83.5300,82.1200,83.3000,83.0642,713800,0.0000,1.0000
2019-10-24,81.9000,83.1500,80.9300,81.9800,81.7479,736300,0.0000,1.0000
2019-10-23,81.2600,81.9700,81.1200,81.6000,81.3690,841100,0.0000,1.0000
2019-10-22,80.8400,81.8000,80.5500,81.2700,81.0399,734700,0.0000,1.0000
2019-10-21,80.2600,81.0300,79.9100,81.0100,80.7806,810800,0.0000,1.0000
2019-10-18,78.8600,79.9200,78.2100,79.7800,79.5541,976700,0.0000,1.0000
2019-10-17,78.6400,79.4700,78.5300,78.8100,78.5869,624300,0.0000,1.0000
2019-10-16,77.7400,78.6100,77.4100,78.1800,77.9587,857200,0.0000,1.0000
2019-10-15,77.3800,78.8300,77.1700,78.0200,77.7991,555700,0.0000,1.0000
2019-10-14,77.3300,77.8100,76.9400,77.0100,76.7920,560600,0.0000,1.0000
2019-10-11,76.5300,78.7600,76.3700,77.6300,77.4102,667400,0.0000,1.0000
2019-10-10,74.5800,76.2400,74.3300,75.4300,75.2164,762200,0.0000,1.0000
2019-10-09,74.2500,74.9100,73.6200,74.5700,74.3589,512200,0.0000,1.0000
2019-10-08,74.6300,74.7300,73.3100,73.4300,73.2221,727700,0.0000,1.0000
2019-10-07,75.6600,76.4100,75.4200,75.5700,75.3560,655800,0.0000,1.0000
2019-10-04,75.2200,76.0600,74.9700,75.9700,75.7549,466700,0.0000,1.0000
2019-10-03,74.2800,75.1400,72.8700,75.1200,74.9073,937900,0.0000,1.0000
2019-10-02,75.7000,75.9700,74.5300,74.6100,74.3988,958700,0.0000,1.0000
2019-10-01,80.0900,80.3800,76.3700,76.8300,76.6125,850600,0.0000,1.0000
2019-09-30,80.3400,80.4700,79.5800,79.6200,79.3946,748000,0.0000,1.0000
2019-09-27,79.9300,80.4300,79.3100,80.1300,79.9031,881900,0.0000,1.0000
2019-09-26,78.6600,79.8900,78.5600,79.3300,79.1054,863100,0.0000,1.0000
2019-09-25,76.8100,78.6800,76.7100,78.5600,78.3376,605000,0.0000,1.0000
2019-09-24,77.9700,78.5900,76.5300,76.8600,76.6424,901000,0.0000,1.0000
2019-09-23,77.0200,77.9300,76.8100,77.5400,77.3205,458100,0.0000,1.0000
2019-09-20,78.3500,78.5500,77.3000,77.4800,77.2606,1440500,0.0000,1.0000
2019-09-19,78.3000,79.1100,77.8700,77.9500,77.7293,519400,0.0000,1.0000
2019-09-18,78.0200,78.4500,77.5600,78.3900,78.1681,763900,0.0000,1.0000
2019-09-17,78.0300,78.4600,77.7200,78.3300,78.1082,643300,0.0000,1.0000
2019-09-16,78.2200,78.4400,77.2900,78.0600,77.8390,583800,0.0000,1.0000
2019-09-13,78.4700,79.3700,78.0500,78.6700,78.4473,759900,0.0000,1.0000
2019-09-12,79.2600,79.4500,77.8700,78.0700,77.8490,766600,0.0000,1.0000
2019-09-11,78.5500,79.2900,78.1300,79.2900,79.0655,958400,0.0000,1.0000
2019-09-10,77.4700,78.3500,76.9200,78.3500,78.1282,714800,0.0000,1.0000
