timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,116.9900,117.7400,115.8900,116.4500,116.4500,2246258,0.0000,1.0000
2019-11-12,116.6300,118.0500,116.1000,117.2000,117.2000,2131400,0.0000,1.0000
2019-11-11,117.2900,118.1500,116.2900,117.0300,117.0300,2035200,0.0000,1.0000
2019-11-08,120.8200,121.7500,116.3100,117.8600,117.8600,3818900,0.0000,1.0000
2019-11-07,125.4000,126.0000,120.1400,121.0300,121.0300,3945400,0.0000,1.0000
2019-11-06,120.4900,121.7800,120.0400,121.4700,121.4700,3509800,0.0000,1.0000
2019-11-05,124.7600,124.8900,119.8100,120.2500,120.2500,4491900,0.0000,1.0000
2019-11-04,126.0700,126.2700,124.3100,124.7600,124.7600,1918800,0.0000,1.0000
2019-11-01,128.7800,129.1800,125.2600,125.3400,125.3400,2466200,0.0000,1.0000
2019-10-31,127.4400,128.3100,127.1300,127.9200,127.9200,1905300,0.0000,1.0000
2019-10-30,126.6600,127.9100,126.0500,127.6000,127.6000,2042100,0.0000,1.0000
2019-10-29,125.6900,127.6400,125.6900,126.1600,126.1600,1683700,0.0000,1.0000
2019-10-28,124.4600,125.8300,124.2400,125.1300,125.1300,1441800,0.0000,1.0000
2019-10-25,123.1700,124.7200,123.1100,124.3600,124.3600,1561000,0.0000,1.0000
2019-10-24,122.6100,124.0200,122.5200,122.9500,122.9500,2195800,0.0000,1.0000
2019-10-23,122.5500,123.0000,121.0400,121.8000,121.8000,2831700,0.0000,1.0000
2019-10-22,127.0000,127.2000,122.4500,122.8100,122.8100,2273800,0.0000,1.0000
2019-10-21,128.2300,128.5000,125.8500,126.4500,126.4500,1639300,0.1640,1.0000
2019-10-18,128.4100,129.3700,127.6600,128.1200,127.9560,2451400,0.0000,1.0000
2019-10-17,128.8300,129.0200,127.9300,128.4700,128.3056,1494700,0.0000,1.0000
2019-10-16,128.4200,129.1400,127.5100,127.9300,127.7662,1633200,0.0000,1.0000
2019-10-15,127.3100,130.2000,127.2300,128.7100,128.5452,2006500,0.0000,1.0000
2019-10-14,128.6000,129.0000,126.2600,126.5900,126.4280,1810100,0.0000,1.0000
2019-10-11,128.2000,130.0900,128.0500,128.4700,128.3056,2310900,0.0000,1.0000
2019-10-10,125.7100,128.4300,125.6200,127.4100,127.2469,1890600,0.0000,1.0000
2019-10-09,125.9700,126.8900,125.2200,126.4300,126.2682,1464200,0.0000,1.0000
2019-10-08,125.0100,126.8300,124.3200,125.3800,125.2195,1621200,0.0000,1.0000
2019-10-07,126.3300,127.0000,125.7900,126.0700,125.9086,1007300,0.0000,1.0000
2019-10-04,124.9600,127.2400,124.9600,127.0500,126.8874,1468400,0.0000,1.0000
2019-10-03,121.9500,124.7400,121.9000,124.2800,124.1209,1590400,0.0000,1.0000
2019-10-02,124.1200,125.2000,121.5700,122.2900,122.1335,1743300,0.0000,1.0000
2019-10-01,124.9900,126.1200,124.5300,125.1200,124.9598,1542300,0.0000,1.0000
2019-09-30,125.0100,125.3000,123.8800,124.5900,124.4305,1859200,0.0000,1.0000
2019-09-27,126.7700,126.9200,123.4300,123.9000,123.7414,1664000,0.0000,1.0000
2019-09-26,124.9000,126.5300,124.9000,126.0600,125.8986,1870800,0.0000,1.0000
2019-09-25,124.6500,125.3300,123.9000,124.7800,124.6203,1196000,0.0000,1.0000
2019-09-24,125.4800,126.3700,124.5600,125.0500,124.8899,1843800,0.0000,1.0000
2019-09-23,125.3500,126.4500,124.2700,125.0800,124.9199,1574800,0.0000,1.0000
2019-09-20,124.9200,126.1400,124.6400,125.6200,125.4592,2572300,0.0000,1.0000
2019-09-19,123.4000,124.8500,123.3200,124.2700,124.1109,1424200,0.0000,1.0000
2019-09-18,122.7800,123.5700,121.9900,123.2400,123.0822,1673800,0.0000,1.0000
2019-09-17,120.0700,122.8500,120.0700,122.4200,122.2633,2182300,0.0000,1.0000
2019-09-16,120.0000,120.7400,119.5200,119.6400,119.4869,2651000,0.0000,1.0000
2019-09-13,121.7100,122.2000,120.2400,121.0200,120.8651,3116200,0.0000,1.0000
2019-09-12,121.2900,122.8600,121.0600,121.6900,121.5342,2444800,0.0000,1.0000
2019-09-11,123.0200,124.2800,120.0100,120.7000,120.5455,3365700,0.0000,1.0000
2019-09-10,125.8200,125.8200,121.6100,123.0300,122.8725,3089400,0.0000,1.0000
2019-09-09,130.0800,130.0800,125.7900,126.6600,126.4979,2601600,0.0000,1.0000
2019-09-06,128.2800,129.4800,127.8600,128.4300,128.2656,1698200,0.0000,1.0000
2019-09-05,128.7000,129.0300,127.7100,128.0700,127.9061,1721400,0.0000,1.0000
2019-09-04,127.6500,127.7900,126.5800,127.5900,127.4267,1953900,0.0000,1.0000
2019-09-03,126.1300,127.4500,125.9800,127.0400,126.8774,1887400,0.0000,1.0000
2019-08-30,127.1300,127.4400,125.6600,126.4200,126.2582,1601200,0.0000,1.0000
2019-08-29,126.4700,126.9600,125.2000,126.6800,126.5178,1498800,0.0000,1.0000
2019-08-28,124.7500,126.2700,124.4600,125.7700,125.6090,1110400,0.0000,1.0000
2019-08-27,127.0100,127.4700,124.7500,125.2400,125.0797,2394900,0.0000,1.0000
2019-08-26,124.3100,126.2400,124.2500,126.2000,126.0385,1267400,0.0000,1.0000
2019-08-23,126.5800,127.4900,122.4200,123.0700,122.9125,2321400,0.0000,1.0000
2019-08-22,127.8800,128.1100,125.5200,126.6400,126.4779,2397900,0.0000,1.0000
2019-08-21,126.8400,128.1300,126.2000,127.6400,127.4766,1875000,0.0000,1.0000
2019-08-20,127.5400,128.4100,125.9400,126.0500,125.8886,1657100,0.0000,1.0000
2019-08-19,126.0200,127.3700,125.6500,126.7500,126.5878,1137000,0.0000,1.0000
2019-08-16,124.3200,125.6000,121.5300,125.3700,125.2095,1209700,0.0000,1.0000
2019-08-15,121.8800,124.1100,121.5300,123.6800,123.5217,1650300,0.0000,1.0000
2019-08-14,123.4000,124.4200,121.5800,121.7900,121.6341,1875200,0.0000,1.0000
2019-08-13,122.5400,125.4800,122.5400,124.7000,124.5404,1784700,0.0000,1.0000
2019-08-12,123.9700,124.4700,122.2700,123.9600,123.8013,1470300,0.0000,1.0000
2019-08-09,124.1200,125.8800,123.9200,125.0700,124.9099,1658000,0.0000,1.0000
2019-08-08,122.0600,124.3400,121.5000,124.1100,123.9511,2295000,0.0000,1.0000
2019-08-07,120.5500,121.4000,118.5600,120.8900,120.7353,2659000,0.0000,1.0000
2019-08-06,117.5900,121.8192,117.4800,121.1700,121.0149,4042200,0.0000,1.0000
2019-08-05,115.0700,115.5200,111.8700,112.5700,112.4259,3488100,0.0000,1.0000
2019-08-02,115.7000,116.9800,115.4200,116.3600,116.2111,2227000,0.0000,1.0000
2019-08-01,114.9000,117.0300,114.0200,115.7000,115.5519,2101200,0.0000,1.0000
2019-07-31,115.4700,116.3600,114.3600,114.8900,114.7429,2099800,0.0000,1.0000
2019-07-30,115.0000,115.8400,114.3100,115.7900,115.6418,1380800,0.0000,1.0000
2019-07-29,115.0700,115.9800,114.4000,115.5500,115.4021,1541500,0.0000,1.0000
2019-07-26,115.1500,115.1500,114.4600,115.1100,114.9627,1574100,0.0000,1.0000
2019-07-25,115.4200,115.9800,114.4700,114.6500,114.5032,1174500,0.0000,1.0000
2019-07-24,115.8100,115.9400,114.0400,115.4400,115.2922,1581200,0.0000,1.0000
